,instance,rule,preprocessed rules,lang
43,toot.berlin,"Be mindful of your surroundings and of your fellow participants. Alert community leaders if you notice a dangerous situation, someone in distress, or violations of this Code of Conduct, even if they seem inconsequential.",be mindful of your surroundings and of your fellow participants alert community leaders if you notice a dangerous situation someone in distress or violations of this code of conduct even if they seem inconsequential,English
60,mastodon.hk,"你發佈的內容屬於你，你需要為它們負責。
You own what you post and are responsible for it.",你發佈的內容屬於你你需要為它們負責 you own what you post and are responsible for it,English
61,mastodon.hk,"請勿發佈惡意、傷害性、騷擾、歧視或非法的內容。

No malicious, abusive, harassment, discriminatory, violent or illegal content.",請勿發佈惡意傷害性騷擾歧視或非法的內容 no malicious abusive harassment discriminatory violent or illegal content,non-Englsih
62,mastodon.hk,"我們不保證能長期在線，或者效能流暢。請緊記備份。

We cannot guarantee the availability or performance of this service.",我們不保證能長期在線或者效能流暢請緊記備份 we cannot guarantee the availability or performance of this service,English
63,mastodon.hk,"你的 IP 位址、活動時間、活動網址均有紀錄，以作維護本站服務用途。

Your IP address, time, request URL is logged on the server for maintenance purpose.",你的 ip 位址活動時間活動網址均有紀錄以作維護本站服務用途 your ip address time request url is logged on the server for maintenance purpose,English
64,mastodon.hk,"伺服器守則可能會在未來進行修訂。

This server rule may be modified in the future.",伺服器守則可能會在未來進行修訂 this server rule may be modified in the future,English
65,xoxo.zone,"No harassment. For a detailed definition, refer to the XOXO Code of Conduct at xoxofest.com/conduct.",no harassment for a detailed definition refer to the xoxo code of conduct at xoxofestcomconduct,English
66,xoxo.zone,"No hate speech, including but not limited to sexist, racist, homophobic, and transphobic posts.",no hate speech including but not limited to sexist racist homophobic and transphobic posts,English
67,xoxo.zone,No illegal content or activity.,no illegal content or activity,English
68,xoxo.zone,"Use content warnings for adult content, or posts that may be disturbing or triggering.",use content warnings for adult content or posts that may be disturbing or triggering,English
69,xoxo.zone,No sharing personal information about others without their consent.,no sharing personal information about others without their consent,English
70,xoxo.zone,No intentional sharing of false or misleading information.,no intentional sharing of false or misleading information,English
71,xoxo.zone,"No spam. Self-promotion is welcome, sending mass unsolicited replies is not.",no spam selfpromotion is welcome sending mass unsolicited replies is not,English
72,chitter.xyz,"This is a safe and welcoming community. Abusive or antisocial behaviour will not be tolerated.
",this is a safe and welcoming community abusive or antisocial behaviour will not be tolerated,English
73,chitter.xyz,"In particular, no hate speech or bigotry, including dogwhistles (implicit but deliberate discrimination through coded language).
",in particular no hate speech or bigotry including dogwhistles implicit but deliberate discrimination through coded language,English
74,chitter.xyz,No posting others' personal information or private exchanges without permission.,no posting others personal information or private exchanges without permission,English
75,chitter.xyz,"Do not continue to engage a person, or incite others to do so, after they have requested otherwise.
",do not continue to engage a person or incite others to do so after they have requested otherwise,English
76,chitter.xyz,"No content that is illegal in the United Kingdom, Germany, or France. This includes ""grey area"" content such as sexualized, artistic depictions of minors.",no content that is illegal in the united kingdom germany or france this includes grey area content such as sexualized artistic depictions of minors,English
77,chitter.xyz,"Sexual or sexually suggestive content must be tagged as such, with a clear content warning. Avatars and profile banners must be clean.
",sexual or sexually suggestive content must be tagged as such with a clear content warning avatars and profile banners must be clean,English
78,chitter.xyz,"Same goes for artistic depictions of graphic violence or gore. Real pictures and recordings of gore and violence are generally not acceptable, you better have a really good reason. Shock value is not a good reason.
",same goes for artistic depictions of graphic violence or gore real pictures and recordings of gore and violence are generally not acceptable you better have a really good reason shock value is not a good reason,English
79,chitter.xyz,"Bots are OK as long as they don't post to the public TL more than twice a day and don't interact with folks out of the blue. That means no followbots.
",bots are ok as long as they dont post to the public tl more than twice a day and dont interact with folks out of the blue that means no followbots,English
80,chitter.xyz,"When in doubt about something you'd like to post, ask a mod. When in doubt about something you saw posted, report liberally.",when in doubt about something youd like to post ask a mod when in doubt about something you saw posted report liberally,English
81,chitter.xyz,We may take administrative action for reasons not listed here.,we may take administrative action for reasons not listed here,English
82,bonn.social,"Fühl Dich wie zu Hause in Bonn. Benimm Dich so, als könnten wir uns morgen wieder persönlich auf der Straße begegnen.",fühl dich wie zu hause in bonn benimm dich so als könnten wir uns morgen wieder persönlich auf der straße begegnen,non-Englsih
83,bonn.social,Als Nutzer*in von Bonn.social bist Du für Deine eigenen Inhalte verantwortlich.,als nutzerin von bonnsocial bist du für deine eigenen inhalte verantwortlich,non-Englsih
84,bonn.social,Missbrauch kannst Du mit den Reporting-Tools oder unter email@bonn.digital melden. ,missbrauch kannst du mit den reportingtools oder unter emailbonndigital melden,non-Englsih
85,bonn.social,"Wir entwickeln die Regeln für diese Instanz so weiter, dass sich hier jeder wohlfühlen kann.",wir entwickeln die regeln für diese instanz so weiter dass sich hier jeder wohlfühlen kann,non-Englsih
86,tablegame.mstdn.cloud,このサーバーが設置されている日本の法律に従ってください,このサーバーが設置されている日本の法律に従ってください,non-Englsih
87,tablegame.mstdn.cloud,故意にこのサーバーや連合している他のサーバー、そしてそれぞれのユーザーに迷惑をかけないでください,故意にこのサーバーや連合している他のサーバーそしてそれぞれのユーザーに迷惑をかけないでください,non-Englsih
88,oransns.com,人であることをバレてはいけない,人であることをバレてはいけない,non-Englsih
89,oransns.com,あなたはbot、そうあなたはbotなのです,あなたはbotそうあなたはbotなのです,non-Englsih
90,tenforward.social,"No racism

",no racism,non-Englsih
91,tenforward.social,No sexism,no sexism,non-Englsih
92,tenforward.social,No queerphobia,no queerphobia,non-Englsih
93,tenforward.social,No fascists or fascist adjacents,no fascists or fascist adjacents,non-Englsih
94,tenforward.social,No ableism,no ableism,non-Englsih
95,otogamer.me,みんななかよく,みんななかよく,non-Englsih
96,mikumikudance.cloud,日本国内の法律及び各自治体の条例を守ってください,日本国内の法律及び各自治体の条例を守ってください,non-Englsih
97,mikumikudance.cloud,過度に露骨な性や暴力を表現した投稿はしないでください,過度に露骨な性や暴力を表現した投稿はしないでください,non-Englsih
98,mikumikudance.cloud,差別的な行為や誹謗中傷などは行わないでください,差別的な行為や誹謗中傷などは行わないでください,non-Englsih
99,mstdn.mx,NO SE ACEPTAN CUENTAS NI BOTS DE MARKETING,no se aceptan cuentas ni bots de marketing,non-Englsih
100,mstdn.mx,"NO PORN (de ningún tipo: soft, loli, etc.)",no porn de ningún tipo soft loli etc,non-Englsih
101,mstdn.mx,"NO Discriminación (raza, género, preferencia, identidad, clase, etc.)",no discriminación raza género preferencia identidad clase etc,non-Englsih
102,mstdn.mx,"No se acepta propaganda política, de ningún tipo, de ninguna persona, de ningún país",no se acepta propaganda política de ningún tipo de ninguna persona de ningún país,non-Englsih
103,mstdn.mx,"NO SPAM (usar la cuenta solo para anunciar productos/servicios, crossposting, postear imágenes y/o texto indiscriminadamente, etc...)",no spam usar la cuenta solo para anunciar productosservicios crossposting postear imágenes yo texto indiscriminadamente etc,non-Englsih
104,mstdn.mx,"Toda expresión de odio, acoso o ataque personal está prohibido.",toda expresión de odio acoso o ataque personal está prohibido,non-Englsih
105,mstdn.mx,Todo tema controversial (como política) debe publicarse con un Content Warning (CW),todo tema controversial como política debe publicarse con un content warning cw,non-Englsih
106,mastodon.uy,No difusión de contenido/actividad ilegales en Uruguay,no difusión de contenidoactividad ilegales en uruguay,non-Englsih
107,mastodon.uy,"No contenido con pedofília, acoso, doxxing o violencia explícita...",no contenido con pedofília acoso doxxing o violencia explícita,non-Englsih
108,mastodon.uy,"No discriminación, homofobia, xenofobia, sexismo, discurso de odio...",no discriminación homofobia xenofobia sexismo discurso de odio,non-Englsih
109,mastodon.uy,"No contenido o apología a la violencia, fascismo o nazismo",no contenido o apología a la violencia fascismo o nazismo,non-Englsih
110,mastodon.uy,"No inundar visualmente, ni bots ni cuentas con fines de marketing",no inundar visualmente ni bots ni cuentas con fines de marketing,non-Englsih
111,mastodon.uy,No publicaciones sexualmente explícitas sin advertencia de contenido,no publicaciones sexualmente explícitas sin advertencia de contenido,non-Englsih
112,mastodon.pl,"Nie używaj rasistowskich, seksistowskich, homofobicznych, transfobicznych, ableistycznych lub w inny sposób dyskryminujących innych ludzi wypowiedzi. Unikaj języka nienawiści. Nie promuj nienawistnych ideologii.",nie używaj rasistowskich seksistowskich homofobicznych transfobicznych ableistycznych lub w inny sposób dyskryminujących innych ludzi wypowiedzi unikaj języka nienawiści nie promuj nienawistnych ideologii,non-Englsih
113,mastodon.pl,Nie wolno nękać ani uczestniczyć w grupowym nękaniu kogokolwiek lub w inny sposób angażować się w ataki osobiste. Publikowanie lub grożenie publikacją danych osobowych innych osób jest traktowane jako nękanie.,nie wolno nękać ani uczestniczyć w grupowym nękaniu kogokolwiek lub w inny sposób angażować się w ataki osobiste publikowanie lub grożenie publikacją danych osobowych innych osób jest traktowane jako nękanie,non-Englsih
114,mastodon.pl,"Pisanie postów za pomocą automatycznego narzędzia jest w porządku, o ile jesteś aktywnym członkiem społeczności. Nie lubimy kont, których aktywność sprowadza się jedynie do automatycznej publikacji postów.",pisanie postów za pomocą automatycznego narzędzia jest w porządku o ile jesteś aktywnym członkiem społeczności nie lubimy kont których aktywność sprowadza się jedynie do automatycznej publikacji postów,non-Englsih
115,mastodon.pl,"Nie zamieszczaj spamu. Tooty (posty), które nie są niczym innym niż linkiem i/lub zawierają nadmierną ilość hashtagów możemy potraktować jako spam, podobnie jak każdą nadmiernie komercyjną autopromocję. Pisz o swojej działalności, ale nie rób tego w przesadnie komercyjny sposób.",nie zamieszczaj spamu tooty posty które nie są niczym innym niż linkiem ilub zawierają nadmierną ilość hashtagów możemy potraktować jako spam podobnie jak każdą nadmiernie komercyjną autopromocję pisz o swojej działalności ale nie rób tego w przesadnie komercyjny sposób,non-Englsih
116,mastodon.pl,Unikaj publikacji postów na tematy zapalne i kontrowersyjne bez ostrzeżenia o takiej treści. Mastodon ma narzędzie do oznaczania takich postów więc korzystaj z niego jeśli publikowana treść może być kontrowersyjna dla niektórych odbiorców.,unikaj publikacji postów na tematy zapalne i kontrowersyjne bez ostrzeżenia o takiej treści mastodon ma narzędzie do oznaczania takich postów więc korzystaj z niego jeśli publikowana treść może być kontrowersyjna dla niektórych odbiorców,non-Englsih
117,mastodon.pl,"Staraj się nie angażować w wyzwiska, nieprzyjemne epitety, ataki ad hominem ani inne niegodne zachowania. Krytykuj idee, niekoniecznie ludzi.",staraj się nie angażować w wyzwiska nieprzyjemne epitety ataki ad hominem ani inne niegodne zachowania krytykuj idee niekoniecznie ludzi,non-Englsih
118,mastodon.pl,"Nie stawaj w roli policjanta. Wpis może naruszać standardy grzeczności, które ustaliliśmy, ale postaraj się nie krytykować użytkowników za jego sposób czy ton komunikacji. Nie angażuj sie w to. Jeśli w jakiś sposób dana Ci przeszkadza możesz użytkownika zgłosić lub nie krępuj się go zablokować :)",nie stawaj w roli policjanta wpis może naruszać standardy grzeczności które ustaliliśmy ale postaraj się nie krytykować użytkowników za jego sposób czy ton komunikacji nie angażuj sie w to jeśli w jakiś sposób dana ci przeszkadza możesz użytkownika zgłosić lub nie krępuj się go zablokować,non-Englsih
119,mastodon.pl,"Mastodon.pl to instancja dla polskiej społeczności stąd taka domena i nazwa ""Mastodon Polska"". Staraj się pisać w naszym ojczystym języku. Dopuszczamy język angielski, ale umówmy się, niech to nie będzie język dominujący i jedyny w Twoich postach.",mastodonpl to instancja dla polskiej społeczności stąd taka domena i nazwa mastodon polska staraj się pisać w naszym ojczystym języku dopuszczamy język angielski ale umówmy się niech to nie będzie język dominujący i jedyny w twoich postach,non-Englsih
120,mstdn-bike.net,日本国内法は守ってください,日本国内法は守ってください,non-Englsih
121,mstdn-bike.net,露骨な性表現や暴力的なメディアの禁止,露骨な性表現や暴力的なメディアの禁止,non-Englsih
122,mstdn-bike.net,差別行為・暴力行為を行わないこと,差別行為暴力行為を行わないこと,non-Englsih
123,mstdn-bike.net,他のユーザーに対する嫌がらせ行為の禁止,他のユーザーに対する嫌がらせ行為の禁止,non-Englsih
124,mastodon.mit.edu,"The safety of yourself, of others, and of property should have highest priority.",the safety of yourself of others and of property should have highest priority,English
125,mastodon.mit.edu,Safety is more important than getting boosts and faves.,safety is more important than getting boosts and faves,English
126,mastodon.mit.edu,Be subtle: leave no evidence you were here.,be subtle leave no evidence you were here,English
127,mastodon.mit.edu,Brute force is the last resort of the incompetent.,brute force is the last resort of the incompetent,English
128,mastodon.mit.edu,"Leave things as you found them or better. Cause no permanent damage while on this instance. If you find something broken, contact an admin.",leave things as you found them or better cause no permanent damage while on this instance if you find something broken contact an admin,English
129,mastodon.mit.edu,"Do not steal anything; if you must borrow something, leave a note saying when it will be returned and remember to return it.",do not steal anything if you must borrow something leave a note saying when it will be returned and remember to return it,English
130,mastodon.mit.edu,Do not drop things without a ground crew to make sure no one is underneath.,do not drop things without a ground crew to make sure no one is underneath,English
131,mastodon.mit.edu,Shitposts are not graffiti and should not be seen by the general public. Shitposts exhibit one's pride in having had an interesting thought and should be seen only by other fedizens. Keep shitposts small and respect other posters' shitposts.,shitposts are not graffiti and should not be seen by the general public shitposts exhibit ones pride in having had an interesting thought and should be seen only by other fedizens keep shitposts small and respect other posters shitposts,English
132,mastodon.mit.edu,Never drink and post.,never drink and post,non-Englsih
133,mastodon.mit.edu,Never post alone. Have someone who can get help in an emergency.,never post alone have someone who can get help in an emergency,English
134,mastodon.mit.edu,"Know your limitations and do not exceed them. If you do not know how to boost a post, send a DM, etc., then learn from someone who knows before trying.",know your limitations and do not exceed them if you do not know how to boost a post send a dm etc then learn from someone who knows before trying,English
135,mastodon.mit.edu,"Learn how not to get caught, but if you do get caught, accept gracefully and coöperate fully.",learn how not to get caught but if you do get caught accept gracefully and coöperate fully,English
136,mastodon.mit.edu,Share your knowledge and experience with other posters.,share your knowledge and experience with other posters,English
137,mastodon.mit.edu,"Above all, exercise common sense.",above all exercise common sense,non-Englsih
138,toot.blue,●テーマは設けていません。自由に投稿してください。,テーマは設けていません自由に投稿してください,non-Englsih
139,toot.blue,"●エログロやSPAM、過度の連投や，自動大量フォロー、個人情報の書き込みの他、法に抵触する可能性のある投稿があった場合には、管理人の判断で予告なく消去する場合、アカウントの停止を行う場合があります。また、成人向画像については、たとえ画像にNSFWの処置があっても、管理人の判断で予告なく消去する場合、アカウントの停止を行う場合があります。 
",エログロやspam過度の連投や自動大量フォロー個人情報の書き込みの他法に抵触する可能性のある投稿があった場合には管理人の判断で予告なく消去する場合アカウントの停止を行う場合がありますまた成人向画像についてはたとえ画像にnsfwの処置があっても管理人の判断で予告なく消去する場合アカウントの停止を行う場合があります,non-Englsih
140,toot.blue,●人種差別、外国人差別、民族差別、性差別、LGBTQ+差別などの差別発言やヘイト発言、またそうした差別につながる可能性のある発言も厳禁です。 ,人種差別外国人差別民族差別性差別lgbtq差別などの差別発言やヘイト発言またそうした差別につながる可能性のある発言も厳禁です,non-Englsih
141,toot.blue,●小児性愛など性的な同意をすることができない対象に対する性的欲求の発露・表現（画像・テキストの掲示）を行うことを禁止します。社会的な話題として小児性愛について扱うときには内面で幼児・小児を対象とした性愛・性的嗜好を持つ「ペドフィリア」と、違法行為を実行する児童性虐待者「チャイルド・マレスター」を混同せず、区別して論じてください。,小児性愛など性的な同意をすることができない対象に対する性的欲求の発露表現画像テキストの掲示を行うことを禁止します社会的な話題として小児性愛について扱うときには内面で幼児小児を対象とした性愛性的嗜好を持つペドフィリアと違法行為を実行する児童性虐待者チャイルドマレスターを混同せず区別して論じてください,non-Englsih
142,toot.blue,●その他　規約に明確に規定されていなくても、管理者の判断で不適切と判断した場合、投稿に関する削除・停止・修正要請を行う場合や、アカウントの制限・停止・削除を行う場合があります。,その他 規約に明確に規定されていなくても管理者の判断で不適切と判断した場合投稿に関する削除停止修正要請を行う場合やアカウントの制限停止削除を行う場合があります,non-Englsih
143,moe.cat,Please be open to any user or any content that hold different opinions with you,please be open to any user or any content that hold different opinions with you,English
144,moe.cat,"Any content that introduces or instigates criminal offenses or introducing others to approach incite violence, or any terrorism content, or personal attacks towards other users, are prohibited",any content that introduces or instigates criminal offenses or introducing others to approach incite violence or any terrorism content or personal attacks towards other users are prohibited,English
145,moe.cat,"Any content that introduces or instigates suicide, sales or provides lethal substances, anti-personnel weapons, and methods of making them, which may endanger the personal safety of other users, are prohibited",any content that introduces or instigates suicide sales or provides lethal substances antipersonnel weapons and methods of making them which may endanger the personal safety of other users are prohibited,English
146,moe.cat,No content that violates the law of Japan and your nation is allowed,no content that violates the law of japan and your nation is allowed,English
147,moe.cat,"Use the ""Content Warning (CW)"" switch for any possible sensitive, NSFW content, or anything that might make others uncomfortable, to avoid troubles for other users",use the content warning cw switch for any possible sensitive nsfw content or anything that might make others uncomfortable to avoid troubles for other users,English
148,moe.cat,"Please note that ActivityPub network is not anonymous, any data may be public accessible or be provided to law enforcement agencies under proper legal framework",please note that activitypub network is not anonymous any data may be public accessible or be provided to law enforcement agencies under proper legal framework,English
149,moe.cat,"Please, no politic conversations",please no politic conversations,English
150,moe.cat,"Account(s) posting large amount of adult content, or posting mainly adult content, are NOT welcomed",accounts posting large amount of adult content or posting mainly adult content are not welcomed,English
151,moe.cat,Administrators reserve the final right to judge whether any given content is appropriate or not.,administrators reserve the final right to judge whether any given content is appropriate or not,English
152,bookwor.ms,Behave according to the laws of Japan. 日本の法に従ってください。,behave according to the laws of japan 日本の法に従ってください,English
153,bookwor.ms, Any discrimination is not allowed. いかなる差別も許容しません。 ,any discrimination is not allowed いかなる差別も許容しません,English
154,bookwor.ms,"Spoilers, Pornography, Violence, etc., should be marked sensitive when posting. ねたばらし、ポルノグラフィ、暴力などはCW/NSFWしてね",spoilers pornography violence etc should be marked sensitive when posting ねたばらしポルノグラフィ暴力などはcwnsfwしてね,English
155,bookwor.ms,We do not welcome sexually explicit content. エロ系の内容はあんまり歓迎しません。 ,we do not welcome sexually explicit content エロ系の内容はあんまり歓迎しません,English
156,bookwor.ms,See the guideline for more detail. 詳しくはガイドラインを見てね。,see the guideline for more detail 詳しくはガイドラインを見てね,English
157,esperanto.masto.host,Babilu esperante,babilu esperante,non-Englsih
158,esperanto.masto.host,Ne estu anusuloj,ne estu anusuloj,non-Englsih
159,esperanto.masto.host,Ne forgesu la akuzativon,ne forgesu la akuzativon,non-Englsih
160,toot.si,No discriminatory behaviour and content promoting or advocating the oppression of members of marginalised groups.,no discriminatory behaviour and content promoting or advocating the oppression of members of marginalised groups,English
161,toot.si,"No threatening behaviour, stalking, doxxing, mobbing, including name-calling, intentional misgendering or deadnaming.",no threatening behaviour stalking doxxing mobbing including namecalling intentional misgendering or deadnaming,English
162,toot.si,"No harassment, including brigading, dogpiling, or any other form of contact with a user who has stated that they do not wish to be contacted.",no harassment including brigading dogpiling or any other form of contact with a user who has stated that they do not wish to be contacted,English
163,toot.si,"No conspiracy narratives, nationalist propaganda, reactionary myths, Nazi symbolism or promoting the ideology of National Socialism.",no conspiracy narratives nationalist propaganda reactionary myths nazi symbolism or promoting the ideology of national socialism,English
164,toot.si,"Do not publish private conversations, except to the moderation team if you need to report them. ",do not publish private conversations except to the moderation team if you need to report them,English
165,toot.si,"No corporate accounts, no excessive advertising, no bots, or automated crossposters from other networks. ",no corporate accounts no excessive advertising no bots or automated crossposters from other networks,English
166,toot.si,Use content warnings (CW) for sexually explicit or violent media and other content that might be common triggers. ,use content warnings cw for sexually explicit or violent media and other content that might be common triggers,English
167,toot.si,No illegal content. Abide by laws. ,no illegal content abide by laws,non-Englsih
168,toot.si,You agree to our complete Code of Conduct (toot.si/about) ,you agree to our complete code of conduct tootsiabout,English
169,pokemon.mastportal.info,"アダルト（R18）コンテンツの制限
当サーバーでは、NSFW（メディアの閲覧注意）、CW（Content Warning）の付いていないアダルト（R18）コンテンツの投稿を認めておりません。

必ず適切に設定をしてください。",アダルトr18コンテンツの制限 当サーバーではnsfwメディアの閲覧注意cwcontent warningの付いていないアダルトr18コンテンツの投稿を認めておりません 必ず適切に設定をしてください,non-Englsih
170,pokemon.mastportal.info,"迷惑行為の禁止
サーバーへの負荷行為、他者への迷惑行為を禁止します。

その他、上記ルールに問わず国内法に反する投稿はすべて投稿削除、アカウント停止対象となります。",迷惑行為の禁止 サーバーへの負荷行為他者への迷惑行為を禁止します その他上記ルールに問わず国内法に反する投稿はすべて投稿削除アカウント停止対象となります,non-Englsih
171,pokemon.mastportal.info,"使い捨てメールアドレスでのアカウント作成の禁止
使い捨てメールアドレスなど、基本的に永続的に所有権のないメールアドレスでの登録を禁止します。",使い捨てメールアドレスでのアカウント作成の禁止 使い捨てメールアドレスなど基本的に永続的に所有権のないメールアドレスでの登録を禁止します,non-Englsih
172,scicomm.xyz,"Be civil, polite, and respectful in your posts and replies.",be civil polite and respectful in your posts and replies,English
173,scicomm.xyz,Read the full list of rules and acceptable behaviour and content standards. These are available at: https://about.scicomm.xyz,read the full list of rules and acceptable behaviour and content standards these are available at httpsaboutscicommxyz,English
174,scicomm.xyz,"Use the Content Warning (CW) feature for your posts when necessary. If you are not sure, do it anyway: treat it like a 'Subject' header for your message. More info: https://about.scicomm.xyz/doku.php?id=info:cws",use the content warning cw feature for your posts when necessary if you are not sure do it anyway treat it like a subject header for your message more info httpsaboutscicommxyzdokuphpidinfocws,English
175,scicomm.xyz,Avoid cross-posters wherever possible. If you do use a cross-poster then be sure to maintain regular direct engagement with your account here. More info: https://about.scicomm.xyz/doku.php?id=info:about_bots,avoid crossposters wherever possible if you do use a crossposter then be sure to maintain regular direct engagement with your account here more info httpsaboutscicommxyzdokuphpidinfoabout_bots,English
176,scicomm.xyz,"No language or imagery which is spam or advertising, harassing, pornographic, violent, xenophobic, nationalistic, racist, sexist, homophobic, transphobic, ableist, or otherwise discriminatory.",no language or imagery which is spam or advertising harassing pornographic violent xenophobic nationalistic racist sexist homophobic transphobic ableist or otherwise discriminatory,English
177,scicomm.xyz,No bots. This instance is for humans only. More info: https://about.scicomm.xyz/doku.php?id=info:about_bots,no bots this instance is for humans only more info httpsaboutscicommxyzdokuphpidinfoabout_bots,English
178,scicomm.xyz,Include an image description to all images. The description should describe the content of the image. More info: https://about.scicomm.xyz/doku.php?id=info:image_descriptions,include an image description to all images the description should describe the content of the image more info httpsaboutscicommxyzdokuphpidinfoimage_descriptions,English
179,scicomm.xyz,"Do not use URL shortening services. Always include the full URL in your posts, copied from the address bar of your browser. All URLs count as 23 characters in your post regardless of their length, long or short. More info: https://about.scicomm.xyz/doku.php?id=info:url_shorteners",do not use url shortening services always include the full url in your posts copied from the address bar of your browser all urls count as 23 characters in your post regardless of their length long or short more info httpsaboutscicommxyzdokuphpidinfourl_shorteners,English
180,scicomm.xyz,"You will not conduct bulk recording or archiving of material from this instance without specific written consent from all users and the administration and moderation team, i.e. do NOT scrape this instance's data.",you will not conduct bulk recording or archiving of material from this instance without specific written consent from all users and the administration and moderation team ie do not scrape this instances data,English
181,scicomm.xyz,">>> IMPORTANT: READ ME! <<<

Before you proceed, please visit https://about.scicomm.xyz/doku.php?id=newaccounts to understand our account registration and approval process.

If you do not understand the process then your account request may be rejected.",important read me before you proceed please visit httpsaboutscicommxyzdokuphpidnewaccounts to understand our account registration and approval process if you do not understand the process then your account request may be rejected,English
182,kirishima.cloud,みんな仲良く,みんな仲良く,non-Englsih
183,toot.kif.rocks,Beteilige dich authentisch und aktiv. Dadurch trägst du zur Gesundheit und Langlebigkeit dieser Community bei.,beteilige dich authentisch und aktiv dadurch trägst du zur gesundheit und langlebigkeit dieser community bei,non-Englsih
184,toot.kif.rocks,Verhalte dich rücksichts- und respektvoll in Wort und Tat.,verhalte dich rücksichts und respektvoll in wort und tat,non-Englsih
