,instance,rule,preprocessed rules,lang
20,mastodon.ml,Администрация сервера/модерационный состав оставляет за собой право решать спорные случаи исходя из ситуации и с учётом предыдущих жалоб на пользователей.,администрация серверамодерационный состав оставляет за собой право решать спорные случаи исходя из ситуации и с учётом предыдущих жалоб на пользователей,non-Englsih
21,mastodon.ml,"Уважаемые щитпостеры, просим вас знать меру и не засорять ленты спамом. Излишнее злоупотребление будет наказываться.",уважаемые щитпостеры просим вас знать меру и не засорять ленты спамом излишнее злоупотребление будет наказываться,non-Englsih
22,mastodon.ml,"Проставляйте Content Warning и NSFW-метки на спорный контент (политика, описание/изображения жестоких сцен, сцен насилия, крови, порнографии, эротики, хентая, использование оскорбительной лексики, и.т.п)",проставляйте content warning и nsfwметки на спорный контент политика описаниеизображения жестоких сцен сцен насилия крови порнографии эротики хентая использование оскорбительной лексики итп,non-Englsih
23,mastodon.ml,Свобода слова не означает вседозволенность,свобода слова не означает вседозволенность,non-Englsih
24,mastodon.ml,"Размещение рекламного контента, рекламирование внешних ресурсов или размещение ссылок на внешние ресурсы с целью рекламы будет рассматриваться администрацией. В некоторых случаях могут быть применены меры",размещение рекламного контента рекламирование внешних ресурсов или размещение ссылок на внешние ресурсы с целью рекламы будет рассматриваться администрацией в некоторых случаях могут быть применены меры,non-Englsih
25,mastodon.ml,"Убедительная просьба: заполняйте описания картинок. Это не обязательно, но очень сильно выручает незрячих пользователей, и не отнимает много времени",убедительная просьба заполняйте описания картинок это не обязательно но очень сильно выручает незрячих пользователей и не отнимает много времени,non-Englsih
26,mastodon.ml,"ДЛЯ РЕГИСТРИРУЮЩИХСЯ: Заявки в которых меньше пяти слов отклоняются автоматически. Если не знаете, что написать — напишите о себе, своих интересах или как узнали о Мастодоне/Федивёрсе.",для регистрирующихся заявки в которых меньше пяти слов отклоняются автоматически если не знаете что написать напишите о себе своих интересах или как узнали о мастодонефедивёрсе,non-Englsih
27,mastodon.zaclys.com,"Public francophone pro mais aussi familial, donc bienveillance, respect, courtoisie, bref des choses qui devraient aller sans dire.

Sexe, violence, extrémismes en tous genres, et trolls ne sont pas les bienvenus sur la place du village Zaclys.

Merci 😘 ",public francophone pro mais aussi familial donc bienveillance respect courtoisie bref des choses qui devraient aller sans dire sexe violence extrémismes en tous genres et trolls ne sont pas les bienvenus sur la place du village zaclys merci,non-Englsih
28,mastodon.zaclys.com,"[IMPORTANT!]

Pour permettre votre INSCRIPTION, il faut rédiger 3 belles phrases de présentation détaillant les valeurs que vous partagez avec Zaclys ainsi que vos centres d'intérêts, puis VALIDER votre email via le mail envoyé à cette adresse.",important pour permettre votre inscription il faut rédiger 3 belles phrases de présentation détaillant les valeurs que vous partagez avec zaclys ainsi que vos centres dintérêts puis valider votre email via le mail envoyé à cette adresse,non-Englsih
29,mastodon.me.uk,"Bots are allowed on this server as long as they are useful, interesting, or amusing. Bots that post excessively, that simply boost or link other posts, that just follow other users, or that produce badly-formed output will be suspended.",bots are allowed on this server as long as they are useful interesting or amusing bots that post excessively that simply boost or link other posts that just follow other users or that produce badlyformed output will be suspended,English
30,mastodon.me.uk,"Commercial use (company accounts, advertising etc) is not permitted on this server. It's OK to register an account for a non-profit or public sector organisation, and we reserve the right to make exceptions for some companies that act in good faith.",commercial use company accounts advertising etc is not permitted on this server its ok to register an account for a nonprofit or public sector organisation and we reserve the right to make exceptions for some companies that act in good faith,English
31,mastodon.me.uk,"You must comply with the Code of Conduct (see below). In general, be respectful of each other and we'll all get on just fine.",you must comply with the code of conduct see below in general be respectful of each other and well all get on just fine,English
32,freeradical.zone,"No commercial accounts, advertising, or excessive promotion.",no commercial accounts advertising or excessive promotion,English
33,freeradical.zone,"No bots, unless they're cute, funny, or useful. Bots should avoid posting to the public timeline.",no bots unless theyre cute funny or useful bots should avoid posting to the public timeline,English
34,freeradical.zone,No gore or graphic violence.,no gore or graphic violence,English
35,freeradical.zone,Content that is borderline NSFW or could be construed as NSFW at a glance should be put behind a CW (Content Warning).,content that is borderline nsfw or could be construed as nsfw at a glance should be put behind a cw content warning,English
36,freeradical.zone,No racism.,no racism,non-Englsih
37,freeradical.zone,No sexism.,no sexism,non-Englsih
38,freeradical.zone,"No discrimination based on gender, sexual minority, sexual orientation, disability, physical appearance, body size, race, ethnicity, religion (or lack thereof), or national origin.",no discrimination based on gender sexual minority sexual orientation disability physical appearance body size race ethnicity religion or lack thereof or national origin,English
39,freeradical.zone,No xenophobia or violent nationalism.,no xenophobia or violent nationalism,non-Englsih
40,freeradical.zone,No sexual depictions of children.,no sexual depictions of children,English
41,freeradical.zone,"No holocaust denialism, Nazi symbolism, or promotion of National Socialism.",no holocaust denialism nazi symbolism or promotion of national socialism,English
42,freeradical.zone,No stalking or harassment.,no stalking or harassment,non-Englsih
43,freeradical.zone,No fake accounts unless they are clearly labeled as such.,no fake accounts unless they are clearly labeled as such,English
44,freeradical.zone,No solicitation of prostitution.,no solicitation of prostitution,non-Englsih
45,freeradical.zone,"No Republican politicians, especially from Florida or Texas. The First Amendment overrules dumb state laws.",no republican politicians especially from florida or texas the first amendment overrules dumb state laws,English
46,freeradical.zone,No COVID-19 misinformation. See https://blog.freeradical.zone/new-junk-medical-advice-policy/ for more information.,no covid19 misinformation see httpsblogfreeradicalzonenewjunkmedicaladvicepolicy for more information,English
47,shelter.moe,Pas de pédopornographie,pas de pédopornographie,non-Englsih
48,shelter.moe,Pas de contenu sensible sans marquage comme tel,pas de contenu sensible sans marquage comme tel,non-Englsih
49,shelter.moe,"Pas de contenu inapproprié 

comme : Toots racistes, sexistes, homophobes ou transphobes, désinformation avec intention de tromper, harcèlement, propos injurieux et/ou diffamatoires calmonieux, doxxing, ou le retournement d'une oppression systémique. ",pas de contenu inapproprié comme toots racistes sexistes homophobes ou transphobes désinformation avec intention de tromper harcèlement propos injurieux etou diffamatoires calmonieux doxxing ou le retournement dune oppression systémique,non-Englsih
50,shelter.moe,"Pas de spam

à part les comptes promotionnels, s'ils ne sont pas intruisifs (ne mentionnent personne) et sont en phase avec le thème de l'instance (par exemple jeux vidéo, anime/manga, etc.)",pas de spam à part les comptes promotionnels sils ne sont pas intruisifs ne mentionnent personne et sont en phase avec le thème de linstance par exemple jeux vidéo animemanga etc,non-Englsih
51,mastodon.pirateparty.be,No illegal stuff according to Belgian law,no illegal stuff according to belgian law,non-Englsih
52,mastodon.pirateparty.be,"No spamming, which includes using our instance for referencing",no spamming which includes using our instance for referencing,English
53,mastodon.pirateparty.be,Be respectful to other people,be respectful to other people,English
54,mastodon.pirateparty.be,No bully / no harassment,no bully no harassment,English
55,mastodon.pirateparty.be,Respect people's gender / pronouns,respect peoples gender pronouns,English
56,mastodon.pirateparty.be,Assume good faith,assume good faith,English
57,mastodon.pirateparty.be,"Respect people's privacy (no scraping the timelines, don't post private/direct messages public, ...)",respect peoples privacy no scraping the timelines dont post privatedirect messages public,English
58,mastodon.pirateparty.be,Avoid posting graphic violence and porn in public timelines without content warning,avoid posting graphic violence and porn in public timelines without content warning,English
59,mastodon.pirateparty.be,"Avoid crossposting retweets, use the followers-only mode if you post often on Twitter",avoid crossposting retweets use the followersonly mode if you post often on twitter,English
60,mastodon.pirateparty.be,Bots and community managed accounts are tolerated as long as you don't post on the public timeline,bots and community managed accounts are tolerated as long as you dont post on the public timeline,English
61,mastodon.org.uk,Sexually explicit or violent media must be marked as sensitive when posting,sexually explicit or violent media must be marked as sensitive when posting,English
62,mastodon.org.uk,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih
63,mastodon.org.uk,No incitement of violence or promotion of violent ideologies,no incitement of violence or promotion of violent ideologies,English
64,mastodon.org.uk,"No harassment, dogpiling or doxxing of other users",no harassment dogpiling or doxxing of other users,English
65,mastodon.org.uk,No content illegal in Germany and/or France and/or the Netherlands,no content illegal in germany andor france andor the netherlands,English
66,tooot.im,"לא להטריד, להתקיף, להשפיל או לאיים",לא להטריד להתקיף להשפיל או לאיים,non-Englsih
67,tooot.im,"אם מישהו/י מבקש/ת להפסיק אינטראקציה כלשהי, להפסיק מיד",אם מישהוי מבקשת להפסיק אינטראקציה כלשהי להפסיק מיד,non-Englsih
68,tooot.im,"לנסות לאפשר מרחב נעים ומכיל עבור כולןם, ולהשתמש באזהרות תוכן כמפורט בכללי הקהילה",לנסות לאפשר מרחב נעים ומכיל עבור כולןם ולהשתמש באזהרות תוכן כמפורט בכללי הקהילה,non-Englsih
69,tooot.im,"לא להציג באופן גלוי תכנים פורנוגרפיים או ייצוגים של אלימות
פיזית",לא להציג באופן גלוי תכנים פורנוגרפיים או ייצוגים של אלימות פיזית,non-Englsih
70,tooot.im,"אפס סובלנות לגזענות, בפרט כל התבטאות כהניסטית או נאצית",אפס סובלנות לגזענות בפרט כל התבטאות כהניסטית או נאצית,non-Englsih
71,tooot.im,הפרה שיטתית של הנהגים המקובלים בתווות.ים ובקהילה הפדרטיבית שלה,הפרה שיטתית של הנהגים המקובלים בתווותים ובקהילה הפדרטיבית שלה,non-Englsih
72,tooot.im,אפס סובלנות להכחשת או הצדקת אלימות בכלל ואלימות מינית בפרט.,אפס סובלנות להכחשת או הצדקת אלימות בכלל ואלימות מינית בפרט,non-Englsih
77,mastodon.juggler.jp,日本の法律や判例で禁止されてることはダメです。ただし親告罪は関係者からの通報がない場合は黙認する場合があります。,日本の法律や判例で禁止されてることはダメですただし親告罪は関係者からの通報がない場合は黙認する場合があります,non-Englsih
78,mastodon.juggler.jp,(ネット上のアバターを含む)実在する人格へのなりすましを禁止します。,ネット上のアバターを含む実在する人格へのなりすましを禁止します,non-Englsih
79,mastodon.juggler.jp,"サーバ運営を妨害する行為はダメです。これはアカウント大量作成、無差別フォロー、無差別ブースト、無差別ファボを含みます。
",サーバ運営を妨害する行為はダメですこれはアカウント大量作成無差別フォロー無差別ブースト無差別ファボを含みます,non-Englsih
80,mastodon.juggler.jp,(GDPR免責) あなたがデータを削除したい場合、我々は可能な範囲で対応します。しかし連合先のサーバ上のデータの削除について完全な責任を持つことは非常に困難です。これはEUのGDPRに厳密には適合しません。ユーザはこれに同意した上でアカウントを作成したものとみなします。,gdpr免責 あなたがデータを削除したい場合我々は可能な範囲で対応しますしかし連合先のサーバ上のデータの削除について完全な責任を持つことは非常に困難ですこれはeuのgdprに厳密には適合しませんユーザはこれに同意した上でアカウントを作成したものとみなします,non-Englsih
81,mastodon.juggler.jp,公開TLからのサイレンス対象。セールス、政治活動、宗教勧誘、SEO目的の投稿が多い人。公開TLに自動投稿するボット。オカルトやスピリチュアルや愚痴ばかり書いて住民からの呼びかけにはほとんど答えない人。アバターアイコンや名前が食事時に見たくない感じの人。その他管理者が公開TLに不適切であると判断したアカウントはサイレンス、凍結、停止などの処置を行う場合があります。,公開tlからのサイレンス対象セールス政治活動宗教勧誘seo目的の投稿が多い人公開tlに自動投稿するボットオカルトやスピリチュアルや愚痴ばかり書いて住民からの呼びかけにはほとんど答えない人アバターアイコンや名前が食事時に見たくない感じの人その他管理者が公開tlに不適切であると判断したアカウントはサイレンス凍結停止などの処置を行う場合があります,non-Englsih
82,mastodon.juggler.jp,年齢が14歳未満のユーザはこのサーバを利用できません。,年齢が14歳未満のユーザはこのサーバを利用できません,non-Englsih
83,mastodon.berlin,"Sei immer freundlich und höflich. Behandle andere mit Respekt. Grundsätzlich gilt, dass Verstöße gegen das deutsche und EU-Recht auch hier nicht erlaubt sind.",sei immer freundlich und höflich behandle andere mit respekt grundsätzlich gilt dass verstöße gegen das deutsche und eurecht auch hier nicht erlaubt sind,non-Englsih
84,mastodon.berlin,"Belästige und beleidige niemanden und unterlasse persönliche Angriffe.Weder allein noch als Gruppe. Das Veröffentlichen oder die Androhung von Veröffentlichung von personen-identifizierenden Informationen (""doxing"") wird als Belästigung ausgelegt.",belästige und beleidige niemanden und unterlasse persönliche angriffeweder allein noch als gruppe das veröffentlichen oder die androhung von veröffentlichung von personenidentifizierenden informationen doxing wird als belästigung ausgelegt,non-Englsih
85,mastodon.berlin,"Die Nutzung oder Befürwortung von rassistischer, sexistischer, homophober, transphober, behindertenfeindlicher und anderweitig diskriminierender oder hasserfüllter Sprache wird nicht geduldet",die nutzung oder befürwortung von rassistischer sexistischer homophober transphober behindertenfeindlicher und anderweitig diskriminierender oder hasserfüllter sprache wird nicht geduldet,non-Englsih
86,mastodon.berlin,"Nachgewiesene Falschinformationen/Fakenews (inkl. Verschwörungstheorien) sind hier unerwünscht. Dazu gehört auch, sich als eine andere (z.B. prominente) Person auszugeben und in deren Namen zu posten. Das Recht auf freie Meinungsäußerung endet dort, wo Gesetze gebrochen werden. ",nachgewiesene falschinformationenfakenews inkl verschwörungstheorien sind hier unerwünscht dazu gehört auch sich als eine andere zb prominente person auszugeben und in deren namen zu posten das recht auf freie meinungsäußerung endet dort wo gesetze gebrochen werden,non-Englsih
87,mastodon.berlin,"Werbung wird ausschließlich als klar ersichtliche Ausnahme toleriert, d.h. nur in dem Spezialfall, dass ein Nutzer hier üblicherweise Beiträge mit nicht werbenden Hauptinhalten veröffentlicht. 
Im Sinne aller Nutzer können admin-seitig Ausnahmen mit Sponsoren zur Kostendeckung vereinbart werden.",werbung wird ausschließlich als klar ersichtliche ausnahme toleriert dh nur in dem spezialfall dass ein nutzer hier üblicherweise beiträge mit nicht werbenden hauptinhalten veröffentlicht im sinne aller nutzer können adminseitig ausnahmen mit sponsoren zur kostendeckung vereinbart werden,non-Englsih
88,mastodon.berlin,"Verbreitung, auch teilen, insbesondere von Äußerungen, die faschistischem oder dem sog. ""Qanon""-Umfeld zuzurechnen sind, führt - ohne Distanzierung davon - unter Berücksichtigung sonstiger Postings des jeweiligen Users ggf. zur sofortigen, unwideruflichen Löschung des verbreitenden Userkontos.  ",verbreitung auch teilen insbesondere von äußerungen die faschistischem oder dem sog qanonumfeld zuzurechnen sind führt ohne distanzierung davon unter berücksichtigung sonstiger postings des jeweiligen users ggf zur sofortigen unwideruflichen löschung des verbreitenden userkontos,non-Englsih
89,mastodon.berlin,"Beiträge, die nicht in lateinischen Buchstaben verfasst sind, werden nur ausnahmsweise geduldet. In jedem Fall werden in größerer Zahl am Stück auftretende Beiträge in anderen Buchstaben ggf. ohne inhaltliche Prüfung gelöscht, da ihre Moderation nicht zumutbar ist. ",beiträge die nicht in lateinischen buchstaben verfasst sind werden nur ausnahmsweise geduldet in jedem fall werden in größerer zahl am stück auftretende beiträge in anderen buchstaben ggf ohne inhaltliche prüfung gelöscht da ihre moderation nicht zumutbar ist,non-Englsih
90,mastodon.berlin,"Posts in Form von Linklisten, die als Werbung anzusehen sind, werden gelöscht. Accounts, die als erste oder einzige Posts solche Listen enthalten, werden ohne Vorwarnung gesperrt. ",posts in form von linklisten die als werbung anzusehen sind werden gelöscht accounts die als erste oder einzige posts solche listen enthalten werden ohne vorwarnung gesperrt,non-Englsih
91,mastodon.berlin,"NO ACCOUNTS OF CASINO, BITCOIN, LOTTO or any gambling else, NO ACCOUNTS OF NON-EUROPEAN LANGUAGE (non latin letters) WILL BE APPEROVED !!!! Any Spamming accounts are DELETED IMMEDETELY!!",no accounts of casino bitcoin lotto or any gambling else no accounts of noneuropean language non latin letters will be apperoved any spamming accounts are deleted immedetely,English
92,mastodon.berlin,All registrations of users using non-european letters will be DELETED immediately,all registrations of users using noneuropean letters will be deleted immediately,English
93,mastodon.berlin,"All registrations of bet- platforms or any other spam platforms (esp. vietnamese, thai, chinese, russian ) will be DELETED immediately",all registrations of bet platforms or any other spam platforms esp vietnamese thai chinese russian will be deleted immediately,English
94,mastodon.berlin,All obviously only-commercial registrations obviously without any benefit for the community will be DELETED immediately !,all obviously onlycommercial registrations obviously without any benefit for the community will be deleted immediately,English
95,mstdn.kemono-friends.info,"日本向けであり、日本語以外で利用された場合、スパムとの区別ができないのでアカウントが削除されることがあります。
",日本向けであり日本語以外で利用された場合スパムとの区別ができないのでアカウントが削除されることがあります,non-Englsih
96,mstdn.kemono-friends.info,当サーバーが不適切であると判断した場合、予告なくアカウントの削除が行われる場合があります。,当サーバーが不適切であると判断した場合予告なくアカウントの削除が行われる場合があります,non-Englsih
97,otoya.space,権利侵害はダメです,権利侵害はダメです,non-Englsih
98,otoya.space,法律に違反するのは当然ダメです,法律に違反するのは当然ダメです,non-Englsih
99,otoya.space,あなたが投稿した内容は、だれでもコピーできます,あなたが投稿した内容はだれでもコピーできます,non-Englsih
100,ika.queloud.net,公序良俗、国内法に反する投稿、犯罪に加担するような投稿はやめましょう,公序良俗国内法に反する投稿犯罪に加担するような投稿はやめましょう,non-Englsih
101,ika.queloud.net,"荒らしは放置が基本です。
ブロックやミュートも活用しましょう",荒らしは放置が基本です ブロックやミュートも活用しましょう,non-Englsih
102,ika.queloud.net,新規さんは宝です。率先して囲みましょう,新規さんは宝です率先して囲みましょう,non-Englsih
103,ika.queloud.net,強い言葉は争いの種になることがあるので慎重に。CWも活用しましょう,強い言葉は争いの種になることがあるので慎重にcwも活用しましょう,non-Englsih
104,ika.queloud.net,スプラトゥーンを楽しみましょう！,スプラトゥーンを楽しみましょう,non-Englsih
105,kemonodon.club,ケモノ系に理解があればどなたでも歓迎です。,ケモノ系に理解があればどなたでも歓迎です,non-Englsih
106,kemonodon.club,"自由に発言してください。ただし、迷惑を掛けたり不快感を与える投稿をしないでください。
",自由に発言してくださいただし迷惑を掛けたり不快感を与える投稿をしないでください,non-Englsih
107,kemonodon.club,適切なCWやNSFWの設定をしてください。,適切なcwやnsfwの設定をしてください,non-Englsih
108,kemonodon.club,日本国の法律に従ってください。,日本国の法律に従ってください,non-Englsih
109,wandering.shop,"Code of Conduct. All members of the Wandering Shop agree to read and abide by our Code of Conduct. These rules summarize the Code of Conduct (CoC) for reporting purposes. If reporting something that violates the CoC in a way not listed in these rules, select this option.",code of conduct all members of the wandering shop agree to read and abide by our code of conduct these rules summarize the code of conduct coc for reporting purposes if reporting something that violates the coc in a way not listed in these rules select this option,English
110,wandering.shop,"Harassment, threats, or aggressive behaviour are not permitted. Inciting actions against others, including in retaliation, is not permitted. This includes but is not limited to encouraging self-harm or sharing personal information that could result in an individual being targeted.",harassment threats or aggressive behaviour are not permitted inciting actions against others including in retaliation is not permitted this includes but is not limited to encouraging selfharm or sharing personal information that could result in an individual being targeted,English
111,wandering.shop,"Wandering Shop does not tolerate promotion of fascist, white supremacist, violent or hateful ideology or symbolism. This includes but is not limited to Holocaust denial, Nazi symbolism, and anti-trans, misogynistic, antisemitic and/or racist harassment; including in usernames, avatars, and profiles.",wandering shop does not tolerate promotion of fascist white supremacist violent or hateful ideology or symbolism this includes but is not limited to holocaust denial nazi symbolism and antitrans misogynistic antisemitic andor racist harassment including in usernames avatars and profiles,English
112,wandering.shop,"Wandering Shop does not permit the willful or persistent promotion of misinformation, disinformation, or conspiracy theories. This includes, but is not limited to, bigoted conspiracy theories and misinformation about elections and vaccines.",wandering shop does not permit the willful or persistent promotion of misinformation disinformation or conspiracy theories this includes but is not limited to bigoted conspiracy theories and misinformation about elections and vaccines,English
113,wandering.shop,"On public timelines, Wandering Shop does not permit graphic sexual, violent, or otherwise disturbing images without a content/media warning. Also not permitted: gratuitous advertising, spam, and cross-posting/automated posting of content that is irrelevant or disruptive.",on public timelines wandering shop does not permit graphic sexual violent or otherwise disturbing images without a contentmedia warning also not permitted gratuitous advertising spam and crosspostingautomated posting of content that is irrelevant or disruptive,English
114,wandering.shop,"Wandering Shop does not permit sustained disruption of conversation, including on the local timeline, in hashtags, or in replies. Only use tags that are relevant to your posts, and do not disrupt conversation with excessive tags or replies. If you are asked to leave someone alone, leave them alone.",wandering shop does not permit sustained disruption of conversation including on the local timeline in hashtags or in replies only use tags that are relevant to your posts and do not disrupt conversation with excessive tags or replies if you are asked to leave someone alone leave them alone,English
115,eletusk.club,スパムはおことわり(no spam),スパムはおことわりno spam,non-Englsih
116,eletusk.club,パスワードの使い回しは厳禁(don't reuse passwords),パスワードの使い回しは厳禁dont reuse passwords,non-Englsih
117,eletusk.club,みんな仲良く(let's all be friends),みんな仲良くlets all be friends,non-Englsih
118,mastodon.mnetwork.co.kr,서로 사이좋게 지내세요.,서로 사이좋게 지내세요,non-Englsih
119,mastodon.mnetwork.co.kr,"다른 사람을 괴롭히거나 상처를 주지 마세요.
",다른 사람을 괴롭히거나 상처를 주지 마세요,non-Englsih
120,mastodon.mnetwork.co.kr,"다른 사람의 취향을 존중해주세요.
",다른 사람의 취향을 존중해주세요,non-Englsih
121,mastodon.mnetwork.co.kr,"성적 묘사, 잔혹한 표현 등 다른 사람이 불쾌감을 느끼거나 논란이 될 수 있는 게시물을 CW 없이 작성하지 마세요. ",성적 묘사 잔혹한 표현 등 다른 사람이 불쾌감을 느끼거나 논란이 될 수 있는 게시물을 cw 없이 작성하지 마세요,non-Englsih
122,photodn.net,日本国内の法律に違反する行為,日本国内の法律に違反する行為,non-Englsih
123,photodn.net,公序良俗に反する行為,公序良俗に反する行為,non-Englsih
124,photodn.net,他者への誹謗中傷,他者への誹謗中傷,non-Englsih
125,photodn.net,他者の著作物を無断転載,他者の著作物を無断転載,non-Englsih
126,photodn.net,サーバへの極端な負荷は禁止,サーバへの極端な負荷は禁止,non-Englsih
127,linuxrocks.online, Act like an adult  (This is not a catch all for reporting content that you don't want to see),act like an adult this is not a catch all for reporting content that you dont want to see,English
128,linuxrocks.online, No illegal content,no illegal content,non-Englsih
129,linuxrocks.online," Post only safe for work content (and don't follow NSFW accounts, as it pollutes the global feed)",post only safe for work content and dont follow nsfw accounts as it pollutes the global feed,English
132,mental.social,法に触れる行為や、医療行為をしない。,法に触れる行為や医療行為をしない,non-Englsih
133,mental.social,名指しする、しないに関わらず、インスタンスの関係者に攻撃的な発言をしない。,名指しするしないに関わらずインスタンスの関係者に攻撃的な発言をしない,non-Englsih
134,mental.social,自傷の画像を含む、写実的な暴力描写および成年向けに該当するコンテンツを投稿しない。,自傷の画像を含む写実的な暴力描写および成年向けに該当するコンテンツを投稿しない,non-Englsih
135,mental.social,BOTによる自動投稿、BOTと間違われるような同じ内容の連続投稿を行わない。,botによる自動投稿botと間違われるような同じ内容の連続投稿を行わない,non-Englsih
136,mental.social,インスタンス内のトゥートのテキストやスクリーンショットを、ユーザーの許可なく転載・利用しない。,インスタンス内のトゥートのテキストやスクリーンショットをユーザーの許可なく転載利用しない,non-Englsih
137,mental.social,不快に感じたユーザーにはブロック・ミュートによる対応を原則とし、過度の反応や報復行為を行わない。,不快に感じたユーザーにはブロックミュートによる対応を原則とし過度の反応や報復行為を行わない,non-Englsih
138,mental.social,登録するメールアドレスは、管理人からのメールが受信して確認できるものを使用する。,登録するメールアドレスは管理人からのメールが受信して確認できるものを使用する,non-Englsih
139,mental.social,その他、管理人から本サーバーの利用に関して指示があった場合には従う。,その他管理人から本サーバーの利用に関して指示があった場合には従う,non-Englsih
140,social.coop,"No use of violence, threats of violence, or violent language directed against another person.",no use of violence threats of violence or violent language directed against another person,English
141,social.coop,"No harassment, defined as continuing to interact with or post about another person after having been asked to stop, including, but not limited to: unwelcome sexual attention; deliberate intimidation; stalking; and dogpiling.",no harassment defined as continuing to interact with or post about another person after having been asked to stop including but not limited to unwelcome sexual attention deliberate intimidation stalking and dogpiling,English
142,social.coop,"No offensive, harmful, or abusive comments or insults, particularly in relation to diverse traits (as referenced in our values).",no offensive harmful or abusive comments or insults particularly in relation to diverse traits as referenced in our values,English
143,social.coop,"Always use content warnings (CWs) when sharing content that: is likely to be distressing or hurtful to others; should require consent to view; includes discussions or depictions of violence, sexually explicit material, and/or common PT triggers; includes flashing or rapidly changing images.",always use content warnings cws when sharing content that is likely to be distressing or hurtful to others should require consent to view includes discussions or depictions of violence sexually explicit material andor common pt triggers includes flashing or rapidly changing images,English
144,social.coop,No posting of Personally Identifiable Information about others (“doxing”).,no posting of personally identifiable information about others doxing,English
145,social.coop,No posting of sexual material that is without consent.,no posting of sexual material that is without consent,English
146,social.coop,"No posting of sexual material that depicts individuals appearing to be under age 18, including Loli.",no posting of sexual material that depicts individuals appearing to be under age 18 including loli,English
147,social.coop,"No excessive, frequent promotions of a product or service (i.e., spam).",no excessive frequent promotions of a product or service ie spam,English
148,social.coop,"No material that promotes bigotry, including fascist, racist, misogynistic, homophobic, or transphobic content.",no material that promotes bigotry including fascist racist misogynistic homophobic or transphobic content,English
149,social.coop,Respect norms as described in Social.Coop's Code of Conduct here: https://wiki.social.coop/wiki/Code_of_conduct,respect norms as described in socialcoops code of conduct here httpswikisocialcoopwikicode_of_conduct,English
150,scholar.social,"No racism, sexism, homophobia, transphobia, able-ism, etc.",no racism sexism homophobia transphobia ableism etc,non-Englsih
151,scholar.social,No serious dishonesty that is hurtful to others (e.g. falsely representing oneself as a member of a minority; services offering to write academic papers to help students cheat; vaccine denialism; predatory conferences or journals; overt pseudoscience such as flat-earther-ism etc.),no serious dishonesty that is hurtful to others eg falsely representing oneself as a member of a minority services offering to write academic papers to help students cheat vaccine denialism predatory conferences or journals overt pseudoscience such as flateartherism etc,English
152,scholar.social,No spam,no spam,non-Englsih
153,scholar.social,No impersonating other people,no impersonating other people,English
154,scholar.social,No harassment of any kind,no harassment of any kind,English
155,scholar.social,"No bots or ""institutional"" accounts operated by non-members (Scholar Social is for individuals)",no bots or institutional accounts operated by nonmembers scholar social is for individuals,English
156,scholar.social,"No automated cross-posters from Twitter, RSS, etc. on Public privacy setting (includes other 3rd party ""timed posting"" platforms)",no automated crossposters from twitter rss etc on public privacy setting includes other 3rd party timed posting platforms,English
157,scholar.social,No providing unsolicited advice to strangers,no providing unsolicited advice to strangers,non-Englsih
158,scholar.social,No un-described images or video on Public privacy setting,no undescribed images or video on public privacy setting,English
