,instance,rule,preprocessed rules,lang
79,nagoyadon.jp,"センシティブな情報を投稿しないこと
（個人情報など）",センシティブな情報を投稿しないこと 個人情報など,non-Englsih
80,nagoyadon.jp,そのほかの事柄は「このサーバーについて」に記載されています。新規登録の前に必ずご覧ください。,そのほかの事柄はこのサーバーについてに記載されています新規登録の前に必ずご覧ください,non-Englsih
81,mstdn.mini4wd-engineer.com,法律に反していたり、犯罪行為につながるようなトゥートは禁止,法律に反していたり犯罪行為につながるようなトゥートは禁止,non-Englsih
82,mstdn.mini4wd-engineer.com,最低限のマナーや礼節を持ったトゥートを,最低限のマナーや礼節を持ったトゥートを,non-Englsih
83,mstdn.mini4wd-engineer.com,ネットストーキング行為など利用者の不利益になる行動の禁止,ネットストーキング行為など利用者の不利益になる行動の禁止,non-Englsih
84,mstdn.mini4wd-engineer.com,ブログやまとめサイト等への無断転載・無断引用はお断り,ブログやまとめサイト等への無断転載無断引用はお断り,non-Englsih
85,mstdn.mini4wd-engineer.com,けんかしない（しない）,けんかしないしない,non-Englsih
86,mstdn.mini4wd-engineer.com,ひとにやさしく（やさしく）,ひとにやさしくやさしく,non-Englsih
87,mstdn.mini4wd-engineer.com,みんな仲良く（なかよく）,みんな仲良くなかよく,non-Englsih
88,this.mouse.rocks,No Nudity without NSFW tag,no nudity without nsfw tag,English
89,this.mouse.rocks,No Pornography without NSFW tag,no pornography without nsfw tag,English
90,this.mouse.rocks,No Sexism,no sexism,non-Englsih
91,this.mouse.rocks,No Racism,no racism,non-Englsih
92,this.mouse.rocks,No Spam,no spam,non-Englsih
93,this.mouse.rocks,No Hate Speech,no hate speech,English
94,this.mouse.rocks,No Harrassment,no harrassment,non-Englsih
95,this.mouse.rocks,No Advertising (Except for personal services such as art commissions),no advertising except for personal services such as art commissions,English
96,mstdn.lalafell.org.,日本の法律に従ってご利用ください,日本の法律に従ってご利用ください,non-Englsih
97,mstdn.lalafell.org.,"詳細は以下を参照のこと
https://wiki.lalafell.org/tos",詳細は以下を参照のこと httpswikilalafellorgtos,non-Englsih
98,assortedflotsam.com,"No bigotry, discrimination, or hatespeech. Race, religion, gender, sexual orientation, nationality, ethnicity, culture, etc. This instance is inclusive.",no bigotry discrimination or hatespeech race religion gender sexual orientation nationality ethnicity culture etc this instance is inclusive,English
99,assortedflotsam.com,"No trolling, doxing, or flamewars.",no trolling doxing or flamewars,English
100,assortedflotsam.com,"No ""sex work."" Commissioned art is fine.",no sex work commissioned art is fine,English
101,assortedflotsam.com,No spam.,no spam,non-Englsih
102,assortedflotsam.com,"Self-promotion and spam accounts will be banned immediately. Some minor activity, like for independent artists or non-profits, is permissible.",selfpromotion and spam accounts will be banned immediately some minor activity like for independent artists or nonprofits is permissible,English
103,assortedflotsam.com,"Bots are allowed, but they may be muted from the public feed if they post excessively or come across as promotional.",bots are allowed but they may be muted from the public feed if they post excessively or come across as promotional,English
104,assortedflotsam.com,"NSFW content must be marked. This includes content containing nudity, excess profanity, or extremely graphic imagery.",nsfw content must be marked this includes content containing nudity excess profanity or extremely graphic imagery,English
105,assortedflotsam.com,Spoilers must be marked.,spoilers must be marked,non-Englsih
106,assortedflotsam.com,Be mindful of copyright and fair use when posting content. Flagrant violations will be removed.,be mindful of copyright and fair use when posting content flagrant violations will be removed,English
107,assortedflotsam.com,"Trigger warnings are permitted, but be aware that they are a bad idea. https://www.psychologytoday.com/blog/talking-about-men/201703/trigger-warnings-and-mental-health-where-is-the-evidence
",trigger warnings are permitted but be aware that they are a bad idea httpswwwpsychologytodaycomblogtalkingaboutmen201703triggerwarningsandmentalhealthwhereistheevidence,English
108,assortedflotsam.com,Be careful with how much you reveal about your identity.,be careful with how much you reveal about your identity,English
109,assortedflotsam.com,Follow Wheaton's Law. http://www.wheatonslaw.com/,follow wheatons law httpwwwwheatonslawcom,English
110,gamemaking.social,"There is no tolerance for harassment or discrimination of any kind, directly or indirectly. For example: racism, ableism, homophobia, transphobia and TERF shit, fascism, general channer garbage, and so on.",there is no tolerance for harassment or discrimination of any kind directly or indirectly for example racism ableism homophobia transphobia and terf shit fascism general channer garbage and so on,English
111,gamemaking.social,"We're here to encourage and support each other, and hopefully make pals (and make videogames less bad)!
I will remove accounts that: Are inactive for a year, haven't posted anything within two months of their creation, or are just here for promotion (it probably won't help FYI).",were here to encourage and support each other and hopefully make pals and make videogames less bad i will remove accounts that are inactive for a year havent posted anything within two months of their creation or are just here for promotion it probably wont help fyi,English
112,gamemaking.social,"You must use content warnings following the usual Mastodon etiquette; for example for politics, 'adult'/lewd content, eye contact, food, mental health … if in doubt ask first please!",you must use content warnings following the usual mastodon etiquette for example for politics adultlewd content eye contact food mental health if in doubt ask first please,English
113,retro.social,We won't tolerate the harassment or abuse of marginalized people. ,we wont tolerate the harassment or abuse of marginalized people,English
114,retro.social,We absolutely will block your nazi ass ,we absolutely will block your nazi ass,English
115,retro.social,"Don't index us, don't research us. ",dont index us dont research us,English
116,don.mamemo.online,なかよくつかってね！,なかよくつかってね,non-Englsih
117,djs.social,No discriminatory behaviour and content promoting or advocating the oppression of members of marginalised groups,no discriminatory behaviour and content promoting or advocating the oppression of members of marginalised groups,English
118,djs.social,"No threatening behaviour, stalking, doxxing, mobbing, including name-calling, intentional misgendering or deadnaming. ",no threatening behaviour stalking doxxing mobbing including namecalling intentional misgendering or deadnaming,English
119,djs.social,"No harassment, including brigading, dogpiling, or any other form of contact with a user who has stated that they do not wish to be contacted. ",no harassment including brigading dogpiling or any other form of contact with a user who has stated that they do not wish to be contacted,English
120,djs.social,"No conspiracy narratives, nationalist propaganda, reactionary myths, Nazi symbolism or promoting the ideology of National Socialism. ",no conspiracy narratives nationalist propaganda reactionary myths nazi symbolism or promoting the ideology of national socialism,English
121,djs.social,"Do not publish private conversations, except to the moderation team if you need to report them.",do not publish private conversations except to the moderation team if you need to report them,English
122,djs.social,"No corporate accounts, no excessive advertising, no bots, or automated crossposters from other networks.",no corporate accounts no excessive advertising no bots or automated crossposters from other networks,English
123,djs.social,Use content warnings (CW) for sexually explicit or violent media and other content that might be common triggers. ,use content warnings cw for sexually explicit or violent media and other content that might be common triggers,English
124,djs.social,"Write descriptions to all media if possible (else ask for help: #Alt4Me, @imagecaptionpls...). ",write descriptions to all media if possible else ask for help alt4me imagecaptionpls,English
125,djs.social,Do not clog the local timeline with frequent short posts. Use threads and unlisted visibility.,do not clog the local timeline with frequent short posts use threads and unlisted visibility,English
126,djs.social,No illegal content. Abide by laws.,no illegal content abide by laws,non-Englsih
127,mstdn.jaws-ug.okinawa,管理人の判断で不適切またはこのサーバに相応しくないと判断した時、アカウントの停止/削除を行う場合があります,管理人の判断で不適切またはこのサーバに相応しくないと判断した時アカウントの停止削除を行う場合があります,non-Englsih
128,mstdn.jaws-ug.okinawa,すべての参加者が楽しく参加できるよう、周りの方々にご配慮ください。,すべての参加者が楽しく参加できるよう周りの方々にご配慮ください,non-Englsih
129,mstdn.jaws-ug.okinawa,関係者の人種、性別、性的指向、障害の有無、見た目、政治、宗教（または無宗教）、使用言語などに係る表現は、いかなる場合も適切ではありません。,関係者の人種性別性的指向障害の有無見た目政治宗教または無宗教使用言語などに係る表現はいかなる場合も適切ではありません,non-Englsih
130,mstdn.yakitamago.info,"日本語が理解できる方向けに開放しています。日本語での意思疎通が難しい場合は、登録をご遠慮ください。
",日本語が理解できる方向けに開放しています日本語での意思疎通が難しい場合は登録をご遠慮ください,non-Englsih
131,mstdn.yakitamago.info,各種法律等を遵守し、善良な振る舞いを心がけてください。,各種法律等を遵守し善良な振る舞いを心がけてください,non-Englsih
132,mstdn.yakitamago.info,「詳細説明」の注意事項にも目を通してください。,詳細説明の注意事項にも目を通してください,non-Englsih
133,mastodooooooon.xyz,常識の範囲内で,常識の範囲内で,non-Englsih
134,claris.cf,"法律を守りましょう。
守らなかった人がこの前哀れにも敗れ去り、トイレットペーパーを食べる生活をする羽目になった。",法律を守りましょう 守らなかった人がこの前哀れにも敗れ去りトイレットペーパーを食べる生活をする羽目になった,non-Englsih
135,claris.cf,"他者の権利を侵害しないでね。
ウッ俺の存在が！！！！！高次存在に塩を振りかけられている！！！！！！！ぐああああああああああああ",他者の権利を侵害しないでね ウッ俺の存在が高次存在に塩を振りかけられているぐああああああああああああ,non-Englsih
136,claris.cf,"公序良俗も守ってください。
超えちゃいけないライン考えろよ",公序良俗も守ってください 超えちゃいけないライン考えろよ,non-Englsih
137,claris.cf,"ハラスメントもやめよう。
世の中にどんな人もいるよね👍",ハラスメントもやめよう 世の中にどんな人もいるよね,non-Englsih
138,mastodon.mg,"Cette instance étant hébergée à Madagascar, sa vocation est plutôt orientée vers des utilisateurs ayant un lien avec ce pays.",cette instance étant hébergée à madagascar sa vocation est plutôt orientée vers des utilisateurs ayant un lien avec ce pays,non-Englsih
139,mastodon.mg,"Restez courtois dans vos propos, nous essayons de garder un endroit sain, sans agressivité ni discrimination.",restez courtois dans vos propos nous essayons de garder un endroit sain sans agressivité ni discrimination,non-Englsih
140,yukari.cafe,法律、法令や公序良俗に反する行為は禁止します。,法律法令や公序良俗に反する行為は禁止します,non-Englsih
141,yukari.cafe,全年齢対象です。（いわゆる“R18”を含むトゥートやブーストは禁止します。）,全年齢対象ですいわゆるr18を含むトゥートやブーストは禁止します,non-Englsih
142,yukari.cafe,閲覧に注意が必要な投稿には CW機能 (Content Warning) をご利用ください。,閲覧に注意が必要な投稿には cw機能 content warning をご利用ください,English
143,yukari.cafe,閲覧に注意が必要な画像には NSFW機能 (Not Safe For Work) をご利用ください。,閲覧に注意が必要な画像には nsfw機能 not safe for work をご利用ください,non-Englsih
144,yukari.cafe,不適切な投稿を見かけた場合は「通報」機能をご利用ください。,不適切な投稿を見かけた場合は通報機能をご利用ください,non-Englsih
145,yukari.cafe,当サービスのご使用、または当サービスを使用できなかったことにより生じた、いかなる損害や不利益について一切責任を負いません。,当サービスのご使用または当サービスを使用できなかったことにより生じたいかなる損害や不利益について一切責任を負いません,non-Englsih
146,researchbuzz.masto.host,Be kind and don't talk shit about people or I'll kick you off. ,be kind and dont talk shit about people or ill kick you off,English
147,comics.town,"Comics Town is a place where anyone interested in making comics can come to share their work, connect with other creators, and learn.  To grow a safe, inclusive community, the following rules are in place:",comics town is a place where anyone interested in making comics can come to share their work connect with other creators and learn to grow a safe inclusive community the following rules are in place,English
148,comics.town,"Harassment, hate speech, dog-piling, doxxing, and similar behaviors are not welcome.
",harassment hate speech dogpiling doxxing and similar behaviors are not welcome,English
149,comics.town,"Comics Town is a welcoming environment for LGBTQIA+ , PoC and Indigenous creators.  Moderation decisions will be made with this as a priority. 
",comics town is a welcoming environment for lgbtqia poc and indigenous creators moderation decisions will be made with this as a priority,English
150,comics.town,Explicit content should use the Content Warning feature.,explicit content should use the content warning feature,English
151,comics.town,"Promotional posts are allowed, but should be in healthy balance with interaction with the community.
",promotional posts are allowed but should be in healthy balance with interaction with the community,English
152,comics.town,"Non-comics content is allowed, but please keep fandom discourse to a respectful dull roar.",noncomics content is allowed but please keep fandom discourse to a respectful dull roar,English
153,comics.town,"No AI Generated Content:
AI-derived work will be deleted and repeat offenders will lose their Comics Town accounts.",no ai generated content aiderived work will be deleted and repeat offenders will lose their comics town accounts,English
154,geeknews.chat,"Behave yourself, and do not post anything to the Metaverse that can get this server banned. No Hate Speech, No Adult Material.",behave yourself and do not post anything to the metaverse that can get this server banned no hate speech no adult material,English
155,mstdn.anqou.net,（少なくとも表面上は）仲良くしてください。,少なくとも表面上は仲良くしてください,non-Englsih
156,mstdn.anqou.net,突然サーバのデータが吹っ飛んでも怒らないでください。,突然サーバのデータが吹っ飛んでも怒らないでください,non-Englsih
157,mstdn.anqou.net,日本国の法律に従ってください。,日本国の法律に従ってください,non-Englsih
158,mstdn.anqou.net,公序良俗を守ってください。,公序良俗を守ってください,non-Englsih
159,shadowverdon.info,公序良俗に反するトゥートをする方、シャドウバースに無関係なトゥートや、愚痴ばかりをローカルタイムラインに流す方は管理人の独断でアカウントを凍結する可能性があります。,公序良俗に反するトゥートをする方シャドウバースに無関係なトゥートや愚痴ばかりをローカルタイムラインに流す方は管理人の独断でアカウントを凍結する可能性があります,non-Englsih
160,shadowverdon.info,登録しただけでトゥートなし、アイコン設定なし、ユーザー名の設定なし等の、継続的な利用が認められないアカウントは定期的に削除しています。,登録しただけでトゥートなしアイコン設定なしユーザー名の設定なし等の継続的な利用が認められないアカウントは定期的に削除しています,non-Englsih
161,shadowverdon.info,ROM専の方はプロフィールにその旨を書いて下さい。,rom専の方はプロフィールにその旨を書いて下さい,non-Englsih
162,systerserver.town,This is a space for feminists that have been somehow connected to the systerserver network.,this is a space for feminists that have been somehow connected to the systerserver network,English
163,systerserver.town,"No discrimination: No content condoning or advocating for the oppression of members of marginalised groups, or general discrimination of groups based on characteristics such as gender, race, disabilities, ethnicity, class, nationality, education, religion.",no discrimination no content condoning or advocating for the oppression of members of marginalised groups or general discrimination of groups based on characteristics such as gender race disabilities ethnicity class nationality education religion,English
164,systerserver.town,"No harassment: stalking, mobbing, deadnaming, misgendering, contacting users who have made it clear they do not wish to be contacted.",no harassment stalking mobbing deadnaming misgendering contacting users who have made it clear they do not wish to be contacted,English
165,systerserver.town,"Content warnings: We do not require a content warning (CW). However, we ask that you be kind and considerate: include CWs if you believe your post may be distressing to others.",content warnings we do not require a content warning cw however we ask that you be kind and considerate include cws if you believe your post may be distressing to others,English
166,systerserver.town,Bots: Bots are allowed. Try to make them fun.,bots bots are allowed try to make them fun,English
167,systerserver.town,"Cross-posting: Cross-posting from Twitter, RSS, etc. is fine (and even encouraged if it helps you become more active here). If you do cross-post please do it in a way that adds to the conversation in our community.",crossposting crossposting from twitter rss etc is fine and even encouraged if it helps you become more active here if you do crosspost please do it in a way that adds to the conversation in our community,English
168,systerserver.town,"Self-promotion: Please use your account to promote your work. - we want to see it or hear about it because we are convinced that the world needs more feminist contributions, be they political, artistic, pointing to history or imagning a better world, or anything else. ",selfpromotion please use your account to promote your work we want to see it or hear about it because we are convinced that the world needs more feminist contributions be they political artistic pointing to history or imagning a better world or anything else,English
169,systerserver.town,Just one thing: Please do so in a respectful tasteful and not spammy manner. ,just one thing please do so in a respectful tasteful and not spammy manner,English
170,systerserver.town,"Language: There are no language rules on this server. English is by default de facto the main language, but feel free (even encouraged!) to post in other languages. ",language there are no language rules on this server english is by default de facto the main language but feel free even encouraged to post in other languages,English
171,systerserver.town,"Accessibility: Help make this space more accessible. Use the available accessibility tools. For instance to provide a summary/description for images. Yes, even for your obscure memes.",accessibility help make this space more accessible use the available accessibility tools for instance to provide a summarydescription for images yes even for your obscure memes,English
172,systerserver.town,"Licenses: We support free art licenses, Creative Commons licenses, copyleft, public domain and we don't want to deal with copyright infringements.",licenses we support free art licenses creative commons licenses copyleft public domain and we dont want to deal with copyright infringements,English
173,systerserver.town,"The main moderators for this instance right now are @ana, @anne and @gaba. Please report any post or account through the mastodon interface (https://docs.joinmastodon.org/user/moderating/).",the main moderators for this instance right now are ana anne and gaba please report any post or account through the mastodon interface httpsdocsjoinmastodonorgusermoderating,English
174,systerserver.town,"This code of conduct is based on the following server rules:

    https://tldr.nettime.org/about/more
    https://blog.chaos.social/rules
    https://post.lurk.org/about/more",this code of conduct is based on the following server rules httpstldrnettimeorgaboutmore httpsblogchaossocialrules httpspostlurkorgaboutmore,English
175,mhz.social,"no sexism, no racism, no hate speech, no LGBTQphobia, no nazis, no spam, no public unflagged porn, etc...
Then, I also believe it's important to remind you that this server was made and is run by a queer activist.",no sexism no racism no hate speech no lgbtqphobia no nazis no spam no public unflagged porn etc then i also believe its important to remind you that this server was made and is run by a queer activist,English
179,krefeld.life,"Auf krefeld.life können sich Menschen aus Krefeld und vom Niederrhein sowie alle, die sich für Krefeld interessieren, finden und austauschen. ",auf krefeldlife können sich menschen aus krefeld und vom niederrhein sowie alle die sich für krefeld interessieren finden und austauschen,non-Englsih
180,krefeld.life,"Hier wird über Veranstaltungen informiert und von Veranstaltungen berichtet. Es gibt Tipps rund um Kunst und Kultur, zu Gastronomie und Freizeitgestaltung und ihr könnt Kontakt zu anderen Krefelder:innen knüpfen.",hier wird über veranstaltungen informiert und von veranstaltungen berichtet es gibt tipps rund um kunst und kultur zu gastronomie und freizeitgestaltung und ihr könnt kontakt zu anderen krefelderinnen knüpfen,non-Englsih
181,krefeld.life,Hier gehen Krefelder:innen immer freundlich und höflich miteinander um. Behandle andere Personen mit Respekt!,hier gehen krefelderinnen immer freundlich und höflich miteinander um behandle andere personen mit respekt,non-Englsih
182,krefeld.life,Das Persönlichkeitsrecht ist uns wichtig. Belästige und beleidige niemanden. Unterlasse persönliche Angriffe. Veröffentliche keine sensible Information eines Menschen. Beachte das Recht am eigenen Bild.,das persönlichkeitsrecht ist uns wichtig belästige und beleidige niemanden unterlasse persönliche angriffe veröffentliche keine sensible information eines menschen beachte das recht am eigenen bild,non-Englsih
183,krefeld.life,"Nimm keinen Kontakt zu einer Person auf, wenn du erwarten kannst, dass die Person keinen Kontakt wünscht. Verwende keine Killerphrasen, Scheinargumente oder schwarze Rhetorik! ",nimm keinen kontakt zu einer person auf wenn du erwarten kannst dass die person keinen kontakt wünscht verwende keine killerphrasen scheinargumente oder schwarze rhetorik,non-Englsih
184,krefeld.life,"Bitte keine Veröffentlichung, die niemand lesen will. Sexualisierte Inhalte, Pornographie oder nationalistische Propaganda führen zur Sperrung deines Accounts.",bitte keine veröffentlichung die niemand lesen will sexualisierte inhalte pornographie oder nationalistische propaganda führen zur sperrung deines accounts,non-Englsih
