,Unnamed: 0.1,Unnamed: 0,instance,rule,preprocessed rules,lang,translated rules,formality label,formality score,genre label,genre score
33,33,36,provo.lol,Sexually explicit or violent media must be marked as sensitive when posting,sexually explicit or violent media must be marked as sensitive when posting,English,sexually explicit or violent media must be marked as sensitive when posting,formal,0.9112115502357483,Legal,Legal
34,34,37,provo.lol,"No racism, sexism, homophobia, transphobia, xenophobia, ableism, or casteism",no racism sexism homophobia transphobia xenophobia ableism or casteism,non-Englsih,no racism sexism homophobia transphobia xenophobia ableism or casteism,informal,0.9975413084030151,Opinion/Argumentation,Opinion/Argumentation
35,35,38,provo.lol,No incitement of violence or promotion of violent ideologies,no incitement of violence or promotion of violent ideologies,English,no incitement of violence or promotion of violent ideologies,informal,0.9676808714866638,Promotion,Promotion
36,36,39,provo.lol,"No harassment, dogpiling or doxxing of other users",no harassment dogpiling or doxxing of other users,English,no harassment dogpiling or doxxing of other users,informal,0.9965498447418213,Legal,Legal
37,37,40,provo.lol,No content illegal in The Netherlands,no content illegal in the netherlands,English,no content illegal in the netherlands,informal,0.9959107637405396,Legal,Legal
38,38,41,provo.lol,Do not share intentionally false or misleading information,do not share intentionally false or misleading information,English,do not share intentionally false or misleading information,formal,0.916638970375061,Legal,Legal
39,39,42,provo.lol,No covid denialism or covid minimising,no covid denialism or covid minimising,non-Englsih,no covid denialism or covid minimising,informal,0.9975290894508362,Other,Other
40,40,43,luna.vg,Rule is not a list,rule is not a list,English,rule is not a list,informal,0.9950441122055054,Instruction,Instruction
41,41,44,kclc.us,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism. ",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih,no racism sexism homophobia transphobia xenophobia or casteism,informal,0.9974828362464905,Information/Explanation,Information/Explanation
42,42,45,kclc.us,No content illegal in the United States.,no content illegal in the united states,English,no content illegal in the united states,informal,0.9774076342582703,Legal,Legal
43,43,46,kclc.us,"No harassment, dogpiling or doxxing of other users. ",no harassment dogpiling or doxxing of other users,English,no harassment dogpiling or doxxing of other users,informal,0.9965498447418213,Legal,Legal
44,44,47,kclc.us,No incitement of violence or promotion of violent ideologies.,no incitement of violence or promotion of violent ideologies,English,no incitement of violence or promotion of violent ideologies,informal,0.9676808714866638,Promotion,Promotion
45,45,48,kclc.us,"Bots must be marked as bots in their profile preferences, and automated posts should be unlisted.",bots must be marked as bots in their profile preferences and automated posts should be unlisted,English,bots must be marked as bots in their profile preferences and automated posts should be unlisted,informal,0.9774667620658875,Instruction,Instruction
46,46,49,kclc.us,Do not share intentionally false or misleading information. ,do not share intentionally false or misleading information,English,do not share intentionally false or misleading information,formal,0.916638970375061,Legal,Legal
47,47,50,kclc.us,Do not spam or abuse network features.,do not spam or abuse network features,English,do not spam or abuse network features,informal,0.98069167137146,Promotion,Promotion
48,48,51,kclc.us,"Public posts which contain nudity, sexually explicit, or violent content must be marked with an ""NSFW"" content warning and media marked as sensitive when posting. ",public posts which contain nudity sexually explicit or violent content must be marked with an nsfw content warning and media marked as sensitive when posting,English,public posts which contain nudity sexually explicit or violent content must be marked with an nsfw content warning and media marked as sensitive when posting,formal,0.9022744297981262,Legal,Legal
49,49,52,social.aaroncrocco.com,Be excellent to each other.,be excellent to each other,English,be excellent to each other,informal,0.9317087531089783,Promotion,Promotion
50,50,53,calamity.world,No hate speech or discrimination of any kind.,no hate speech or discrimination of any kind,English,no hate speech or discrimination of any kind,informal,0.9968915581703186,Promotion,Promotion
51,51,54,calamity.world,"No harassment, stalking, or doxxing.",no harassment stalking or doxxing,non-Englsih,no harassment stalking or doxxing,informal,0.9972108006477356,Other,Other
52,52,55,calamity.world,NSFW posts are permitted ONLY behind a content warning and NSFW media must be marked as sensitive.,nsfw posts are permitted only behind a content warning and nsfw media must be marked as sensitive,English,nsfw posts are permitted only behind a content warning and nsfw media must be marked as sensitive,informal,0.9595046043395996,Legal,Legal
53,53,56,calamity.world,No sexual depictions or content involving anyone under 18 years.,no sexual depictions or content involving anyone under 18 years,English,no sexual depictions or content involving anyone under 18 years,informal,0.9803491830825806,Legal,Legal
54,54,57,calamity.world,No spam accounts and no using irrelevant hashtags to promote your posts.,no spam accounts and no using irrelevant hashtags to promote your posts,English,no spam accounts and no using irrelevant hashtags to promote your posts,informal,0.9954447746276855,Promotion,Promotion
55,55,58,sociala.me,"Vade Retro, ici c'est mon mien !",vade retro ici cest mon mien,non-Englsih,vade retro here is my mine,informal,0.9968822002410889,Opinion/Argumentation,Opinion/Argumentation
56,56,59,mastodon.rzgierskopp.de,"Keine Beleidigung, Diskriminierung und Belästigung.
No insult, discrimination and harassment.",keine beleidigung diskriminierung und belästigung no insult discrimination and harassment,non-Englsih,No insult discrimination and harassment no insult discrimination and harassment,formal,0.5211024284362793,Promotion,Promotion
57,57,60,mastodon.rzgierskopp.de,"Keine Anstiftung zu Straftaten.
No incitement to crime.",keine anstiftung zu straftaten no incitement to crime,non-Englsih,No incitement to criminal offenses No Incitement to Crime,informal,0.9441447257995605,Legal,Legal
58,58,61,mastodon.rzgierskopp.de,"Keine extremistischen Inhalte.
No extremist content.",keine extremistischen inhalte no extremist content,non-Englsih,No extremist content no extremist content,formal,0.7423004508018494,Other,Other
59,59,62,mastodon.rzgierskopp.de,"Sexuelle Inhalte sind entsprechend zu kennzeichnen.
Sexual content must be marked accordingly.",sexuelle inhalte sind entsprechend zu kennzeichnen sexual content must be marked accordingly,non-Englsih,Sexual content must be marked accordingly sexual content must be marked accordingly,formal,0.9985218644142151,Legal,Legal
60,60,63,mastodon.rzgierskopp.de,"Gewaltdarstellende Inhalte sind entsprechend zu kennzeichnen.
Content depicting violence must be marked accordingly.",gewaltdarstellende inhalte sind entsprechend zu kennzeichnen content depicting violence must be marked accordingly,non-Englsih,Content -portraying content must be marked accordingly.,formal,0.9986609220504761,Instruction,Instruction
61,61,64,masto.phoenixlair.net,No hate!,no hate,non-Englsih,no hate,informal,0.9967251420021057,Prose/Lyrical,Prose/Lyrical
62,62,65,masto.phoenixlair.net,LBGTQ+ friendly,lbgtq friendly,non-Englsih,lgbtq friendly,informal,0.981103777885437,Promotion,Promotion
63,63,66,mastodon.sprawl.club,"Don't be a jerk, all right? ",dont be a jerk all right,English,dont be a jerk all right,informal,0.9974836707115173,Forum,Forum
64,64,67,mastodon.sprawl.club,Don't spam people,dont spam people,non-Englsih,dont spam people,informal,0.9962484240531921,Forum,Forum
65,65,68,mastodon.sprawl.club,Harassment or discrimination of any kind will not be tolerated here. ,harassment or discrimination of any kind will not be tolerated here,English,harassment or discrimination of any kind will not be tolerated here,informal,0.9551747441291809,Legal,Legal
66,66,69,mastodon.sprawl.club,"By programmatically crawling and/or scraping content generated by the users of this instance, you agree to donate $1,000 (one thousand United States dollars) to a charity of the administrator's choice every time your automated scraper is used on this instance. You can opt-out at any time. ",by programmatically crawling andor scraping content generated by the users of this instance you agree to donate 1000 one thousand united states dollars to a charity of the administrators choice every time your automated scraper is used on this instance you can optout at any time,English,by programmatically crawling andor scraping content generated by the users of this instance you agree to donate 1000 one thousand united states dollars to a charity of the administrators choice every time your automated scraper is used on this instance you can optout at any time,formal,0.9918481111526489,Instruction,Instruction
67,67,70,sn.rongyi.io,禁止一切政党相关议题，尤其是涉及某东方大国的，出于风控考虑，讨论请去别处,禁止一切政党相关议题尤其是涉及某东方大国的出于风控考虑讨论请去别处,non-Englsih,"Related issues related to all parties, especially the discussion of a major oriental country out of risk control, please go elsewhere elsewhere",formal,0.9986639022827148,Other,Other
68,68,71,sn.rongyi.io,禁止通过自动化方式大规模抓取本站信息；除非用户本人同意，禁止一切形式的博文搬运出站,禁止通过自动化方式大规模抓取本站信息除非用户本人同意禁止一切形式的博文搬运出站,non-Englsih,It is forbidden to grasp the information of this site on a large scale unless the user agrees to prohibit all forms of blog posts from getting out of the station out of the station,formal,0.9979299306869507,Legal,Legal
69,69,72,hips.social,Be a good human being. ,be a good human being,non-Englsih,be a good human being,informal,0.9912755489349365,Information/Explanation,Information/Explanation
70,70,73,hips.social,"Do not be: a Nazi, a Bigot, a Sexist, a Racist, a Conspiracy Nut, or a Self-Promoting Multi-Level Marketing Magnate",do not be a nazi a bigot a sexist a racist a conspiracy nut or a selfpromoting multilevel marketing magnate,English,do not be a nazi a bigot a sexist a racist a conspiracy nut or a selfpromoting multilevel marketing magnate,informal,0.9785087704658508,Promotion,Promotion
71,71,74,hips.social,Do not spread the propaganda of the aforementioned bad actors.,do not spread the propaganda of the aforementioned bad actors,English,do not spread the propaganda of the aforementioned bad actors,informal,0.5771417021751404,Legal,Legal
72,72,75,hips.social,"In general, no NSFW content.",in general no nsfw content,non-Englsih,in general no nsfw content,informal,0.9974485039710999,Information/Explanation,Information/Explanation
73,73,76,hips.social,"If you must post adult-oriented content, mark it as *sensitive*",if you must post adultoriented content mark it as sensitive,English,if you must post adultoriented content mark it as sensitive,formal,0.7160154581069946,Other,Other
74,74,77,hips.social,"Most other rules follow from #1 and #2, but I reserve the right to intervene in any situation that a user might flag as problematic.",most other rules follow from 1 and 2 but i reserve the right to intervene in any situation that a user might flag as problematic,English,most other rules follow from 1 and 2 but i reserve the right to intervene in any situation that a user might flag as problematic,formal,0.8510103225708008,Forum,Forum
75,75,79,social.1bitsquared.com,Be kind and courteous to others,be kind and courteous to others,English,be kind and courteous to others,informal,0.9758658409118652,Legal,Legal
76,76,80,social.1bitsquared.com,Use welcoming and inclusive language,use welcoming and inclusive language,English,use welcoming and inclusive language,informal,0.9723367691040039,Information/Explanation,Information/Explanation
77,77,81,social.1bitsquared.com,Be respectful of differing viewpoints and experiences,be respectful of differing viewpoints and experiences,English,be respectful of differing viewpoints and experiences,informal,0.7952846884727478,Other,Other
78,78,82,social.1bitsquared.com,Collaborate with other community members,collaborate with other community members,English,collaborate with other community members,informal,0.9854507446289062,Promotion,Promotion
79,79,83,social.1bitsquared.com,Accept constructive criticism gracefully,accept constructive criticism gracefully,non-Englsih,accept constructive criticism gracefully,informal,0.9906197786331177,Other,Other
80,80,84,social.1bitsquared.com,Focus on what is best for the community,focus on what is best for the community,English,focus on what is best for the community,informal,0.9955345392227173,Promotion,Promotion
81,81,85,social.1bitsquared.com,Show empathy towards other community members,show empathy towards other community members,English,show empathy towards other community members,informal,0.9840144515037537,Promotion,Promotion
82,82,86,mwtaylor.social,Follow all rules on https://mastodon.social/about,follow all rules on httpsmastodonsocialabout,English,follow all rules on httpsmastodonsocialabout,informal,0.9968428611755371,Forum,Forum
83,83,87,social.danpalmer.me,Respect and empathy.,respect and empathy,English,respect and empathy,informal,0.9805224537849426,Promotion,Promotion
84,84,88,mastodon.xcsdm.com,Don't be an asshole,dont be an asshole,English,dont be an asshole,informal,0.9966087341308594,Prose/Lyrical,Prose/Lyrical
85,85,89,mastodon.xcsdm.com,Don't discriminate against anyone,dont discriminate against anyone,non-Englsih,dont discriminate against anyone,informal,0.9865636825561523,Forum,Forum
86,86,90,mastodon.xcsdm.com,No excessive advertising,no excessive advertising,non-Englsih,no excessive advertising,informal,0.7234464883804321,Promotion,Promotion
87,87,91,mastodon.xcsdm.com,Use Content Warnings for content that might be common triggers,use content warnings for content that might be common triggers,English,use content warnings for content that might be common triggers,informal,0.99122554063797,Instruction,Instruction
88,88,92,mastodon.xcsdm.com,Avoid posting sexually explicit or violent content,avoid posting sexually explicit or violent content,English,avoid posting sexually explicit or violent content,informal,0.9537093639373779,Instruction,Instruction
89,89,93,mastodon.xcsdm.com,You must be 16 or older to join this instance,you must be 16 or older to join this instance,English,you must be 16 or older to join this instance,informal,0.9188455939292908,Instruction,Instruction
90,90,94,mastodon.xcsdm.com,Abide by applicable laws unless it's the moral thing to do.,abide by applicable laws unless its the moral thing to do,English,abide by applicable laws unless its the moral thing to do,informal,0.98861163854599,Legal,Legal
91,91,95,compound.social,"Invite only, for family and friends.",invite only for family and friends,English,invite only for family and friends,informal,0.9953461289405823,Promotion,Promotion
92,92,96,compound.social,"Keep it family friendly. Use content warnings for anything that might be for limited audiences (politics, spicy food, she wants her rocks)",keep it family friendly use content warnings for anything that might be for limited audiences politics spicy food she wants her rocks,English,keep it family friendly use content warnings for anything that might be for limited audiences politics spicy food she wants her rocks,informal,0.9973840117454529,Promotion,Promotion
93,93,97,compound.social,Don't do anything to get us defederated! ,dont do anything to get us defederated,English,dont do anything to get us defederated,informal,0.997377872467041,Forum,Forum
94,94,98,pic.krashboyz.org,TO BE DONE,to be done,non-Englsih,to be done,informal,0.9919141530990601,Prose/Lyrical,Prose/Lyrical
95,95,99,pic.krashboyz.org,Pas de diffusion des idées d’extrême droite,pas de diffusion des idées dextrême droite,non-Englsih,No dissemination of right -wing ideas,informal,0.8959865570068359,Information/Explanation,Information/Explanation
96,96,100,pic.krashboyz.org,Pas de racisme,pas de racisme,non-Englsih,no racism,informal,0.9902772903442383,Information/Explanation,Information/Explanation
97,97,101,pic.krashboyz.org,Pas de xénophobie en général,pas de xénophobie en général,non-Englsih,No xenophobia in general,informal,0.8199684023857117,Information/Explanation,Information/Explanation
98,98,102,pic.krashboyz.org,Pas de confusionnisme,pas de confusionnisme,non-Englsih,No confusionism,formal,0.9346162676811218,Promotion,Promotion
99,99,103,pic.krashboyz.org,Utilisation du CW pour la nudité ou la pornographie,utilisation du cw pour la nudité ou la pornographie,non-Englsih,Use of CW for nudity or pornography,formal,0.9041324853897095,Information/Explanation,Information/Explanation
100,100,104,pic.krashboyz.org,Pas de spam,pas de spam,non-Englsih,no spam,informal,0.9944080114364624,Forum,Forum
101,101,105,pic.krashboyz.org,Principalement francophone,principalement francophone,non-Englsih,Mainly French -speaking,informal,0.9079973697662354,Information/Explanation,Information/Explanation
102,102,106,pic.krashboyz.org,Discussions dans le respect des autres utilisateurs,discussions dans le respect des autres utilisateurs,non-Englsih,discussions with respect for other users,informal,0.9890109896659851,Forum,Forum
103,103,107,twinports.us,Sexually explicit or violent media must be marked as sensitive when posting,sexually explicit or violent media must be marked as sensitive when posting,English,sexually explicit or violent media must be marked as sensitive when posting,formal,0.9112115502357483,Legal,Legal
104,104,108,twinports.us,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih,no racism sexism homophobia transphobia xenophobia or casteism,informal,0.9974828362464905,Information/Explanation,Information/Explanation
105,105,109,twinports.us,No incitement of violence or promotion of violent ideologies,no incitement of violence or promotion of violent ideologies,English,no incitement of violence or promotion of violent ideologies,informal,0.9676808714866638,Promotion,Promotion
106,106,110,twinports.us,"No harassment, dogpiling or doxxing of other users",no harassment dogpiling or doxxing of other users,English,no harassment dogpiling or doxxing of other users,informal,0.9965498447418213,Legal,Legal
107,107,111,twinports.us,No content illegal in the United States,no content illegal in the united states,English,no content illegal in the united states,informal,0.9774076342582703,Legal,Legal
108,108,112,twinports.us,Do not share intentionally false or misleading information,do not share intentionally false or misleading information,English,do not share intentionally false or misleading information,formal,0.916638970375061,Legal,Legal
109,109,113,spaceup.city,Do not share intentionally false or misleading information,do not share intentionally false or misleading information,English,do not share intentionally false or misleading information,formal,0.916638970375061,Legal,Legal
110,110,114,spaceup.city,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih,no racism sexism homophobia transphobia xenophobia or casteism,informal,0.9974828362464905,Information/Explanation,Information/Explanation
111,111,115,spaceup.city,"No harassment, dogpiling or doxxing of other people",no harassment dogpiling or doxxing of other people,English,no harassment dogpiling or doxxing of other people,informal,0.9969040751457214,Promotion,Promotion
112,112,116,spaceup.city,No incitement of violence or promotion of violent ideologies,no incitement of violence or promotion of violent ideologies,English,no incitement of violence or promotion of violent ideologies,informal,0.9676808714866638,Promotion,Promotion
113,113,117,spaceup.city,Sexually explicit or violent media must be marked as sensitive when posting,sexually explicit or violent media must be marked as sensitive when posting,English,sexually explicit or violent media must be marked as sensitive when posting,formal,0.9112115502357483,Legal,Legal
114,114,118,chocot.art,居心地の良さを大切にするため、他の人には干渉しない,居心地の良さを大切にするため他の人には干渉しない,non-Englsih,Do not interfere with others to value comfort,formal,0.9920709729194641,Promotion,Promotion
115,115,119,chocot.art,他のSNSと違い、繋がりを求める場所ではない,他のsnsと違い繋がりを求める場所ではない,non-Englsih,"Unlike other SNS, it's not a place to seek connections",formal,0.9299476146697998,News,News
116,116,120,chocot.art,嘘をつかない。未来の自分を守るために,嘘をつかない未来の自分を守るために,non-Englsih,To protect yourself in the future that does not lie,formal,0.961169421672821,Prose/Lyrical,Prose/Lyrical
117,117,121,chocot.art,「こうあるべき」という正義心は他人を苦しめるので捨てる,こうあるべきという正義心は他人を苦しめるので捨てる,non-Englsih,"The justice that this should be, it torments others, so throw it away",informal,0.5997138619422913,Prose/Lyrical,Prose/Lyrical
118,118,122,chocot.art,見返りを求めない。期待は自分と他人の両方を苦しめるため,見返りを求めない期待は自分と他人の両方を苦しめるため,non-Englsih,Expectations that do not require a reward are to afflict both yourself and others,formal,0.9982813596725464,Information/Explanation,Information/Explanation
119,119,123,chocot.art,「〜みたい」と決めつけない。自他の可能性を奪わないため,みたいと決めつけない自他の可能性を奪わないため,non-Englsih,In order not to take the possibility of self and others who do not decide,formal,0.9755526185035706,Prose/Lyrical,Prose/Lyrical
120,120,124,chocot.art,他人をコケにしない。醜くなる自分が未来を苦しめるから,他人をコケにしない醜くなる自分が未来を苦しめるから,non-Englsih,"Don't moss the moss of others, because you become ugly and afflict the future",formal,0.9508042335510254,Prose/Lyrical,Prose/Lyrical
121,121,125,mastodon.afromunkee.live,Sexually explicit or violent media must be marked as sensitive when posting.,sexually explicit or violent media must be marked as sensitive when posting,English,sexually explicit or violent media must be marked as sensitive when posting,formal,0.9112115502357483,Legal,Legal
122,122,126,mastodon.afromunkee.live,No spam or advertising.,no spam or advertising,non-Englsih,no spam or advertising,informal,0.9944093823432922,Promotion,Promotion
123,123,127,mastodon.afromunkee.live,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism.",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih,no racism sexism homophobia transphobia xenophobia or casteism,informal,0.9974828362464905,Information/Explanation,Information/Explanation
124,124,128,mastodon.afromunkee.live,No incitement of violence or promotion of violent ideologies.,no incitement of violence or promotion of violent ideologies,English,no incitement of violence or promotion of violent ideologies,informal,0.9676808714866638,Promotion,Promotion
125,125,129,mastodon.afromunkee.live,"No harassment, dogpiling or doxxing of other users.",no harassment dogpiling or doxxing of other users,English,no harassment dogpiling or doxxing of other users,informal,0.9965498447418213,Legal,Legal
126,126,130,mastodon.afromunkee.live,No illegal content.,no illegal content,non-Englsih,no illegal content,informal,0.9936445951461792,Promotion,Promotion
127,127,131,m.campfi.rs,Don't be rude to anyone here,dont be rude to anyone here,English,dont be rude to anyone here,informal,0.9965147376060486,Forum,Forum
128,128,132,social.transpeak.lgbt,"No homophobia, racism, ableism, transphobia, etc.
(i.e. don’t discriminate against minorities and treat people like humans)",no homophobia racism ableism transphobia etc ie dont discriminate against minorities and treat people like humans,English,no homophobia racism ableism transphobia etc ie dont discriminate against minorities and treat people like humans,informal,0.9974668025970459,Promotion,Promotion
129,129,133,social.transpeak.lgbt,Be excellent to each other.,be excellent to each other,English,be excellent to each other,informal,0.9317087531089783,Promotion,Promotion
130,130,134,social.transpeak.lgbt,Harassment of other users is prohibited.,harassment of other users is prohibited,English,harassment of other users is prohibited,informal,0.9162387251853943,Legal,Legal
131,131,135,social.transpeak.lgbt,Do not post content that endangers or exploits children or vulnerable adults.,do not post content that endangers or exploits children or vulnerable adults,English,do not post content that endangers or exploits children or vulnerable adults,formal,0.9511424899101257,Legal,Legal
132,132,136,social.transpeak.lgbt,Do not post content that glorifies abusing children or vulnerable adults.,do not post content that glorifies abusing children or vulnerable adults,English,do not post content that glorifies abusing children or vulnerable adults,formal,0.9393423199653625,Legal,Legal
