GPT category single,GPT category set,Count
Art & Culture,"{'Reposting/Crossposting', 'Copyright/ Piracy'}",2
Art & Culture,{'Trolling'},2
Art & Culture,"{'Advertising & Commercialization', 'Automated tools', 'Spam'}",1
Art & Culture,"{'Advertising & Commercialization', 'Illegal Content'}",1
Art & Culture,"{'Advertising & Commercialization', 'Off-topic/topic specific'}",1
Art & Culture,"{'Advertising & Commercialization', 'Trolling', 'Spam'}",1
Art & Culture,"{'Dogpiling', 'Harassment', 'Doxxing/ Personal Info', 'Impersonation'}",1
Art & Culture,"{'Dogpiling', 'Harassment', 'Doxxing/ Personal Info', 'Incitement of Violence'}",1
Art & Culture,"{'Dogpiling', 'Harassment', 'Doxxing/ Personal Info', 'Trolling'}",1
Art & Culture,"{'Dogpiling', 'Harassment'}",1
Art & Culture,"{'Dogpiling', 'Hate Speech', 'Harassment'}",1
Art & Culture,"{'Dogpiling', 'Mis/Disinformation/Conspiracy', 'Hate Speech', 'Harassment'}",1
Art & Culture,"{'Harassment', 'Automated tools'}",1
Art & Culture,"{'Harassment', 'Content Warnings'}",1
Art & Culture,"{'Harassment', 'Images'}",1
Art & Culture,"{'Harassment', 'Spam'}",1
Art & Culture,"{'Hate Speech', 'Harassment', 'Impersonation'}",1
Art & Culture,"{'Hate Speech', 'Trolling'}",1
Art & Culture,"{'Illegal Content', 'Doxxing/ Personal Info'}",1
Art & Culture,"{'Illegal Content', 'Harassment', 'Doxxing/ Personal Info', 'Incitement of Violence'}",1
Art & Culture,"{'Illegal Content', 'Harassment', 'Doxxing/ Personal Info'}",1
Art & Culture,"{'Illegal Content', 'Harassment'}",1
Art & Culture,"{'Illegal Content', 'Images'}",1
Art & Culture,"{'Illegal Content', 'Links & Outside Content'}",1
Art & Culture,"{'Illegal Content', 'Mis/Disinformation/Conspiracy'}",1
Art & Culture,"{'Illegal Content', 'NSFW', 'Content Warnings'}",1
Art & Culture,"{'Illegal Content', 'NSFW', 'Doxxing/ Personal Info', 'Copyright/ Piracy'}",1
Art & Culture,"{'Illegal Content', 'NSFW', 'Images'}",1
Art & Culture,"{'Illegal Content', 'Not Applicable', 'Harassment'}",1
Art & Culture,"{'Illegal Content', 'Not Applicable'}",1
Art & Culture,"{'Links & Outside Content', 'Content Warnings'}",1
Art & Culture,"{'Links & Outside Content', 'NSFW'}",1
Art & Culture,"{'Links & Outside Content', 'Not Applicable'}",1
Art & Culture,"{'Links & Outside Content', 'Off-topic/topic specific'}",1
Art & Culture,"{'Mis/Disinformation/Conspiracy', 'Copyright/ Piracy'}",1
Art & Culture,"{'Mis/Disinformation/Conspiracy', 'Hate Speech', 'Copyright/ Piracy'}",1
Art & Culture,"{'Mis/Disinformation/Conspiracy', 'Hate Speech', 'Harassment'}",1
Art & Culture,"{'Mis/Disinformation/Conspiracy', 'Incitement of Violence'}",1
Art & Culture,"{'NSFW', 'Harassment'}",1
Art & Culture,"{'NSFW', 'Hate Speech', 'Images'}",1
Art & Culture,"{'NSFW', 'Hate Speech'}",1
Art & Culture,"{'Not Applicable', 'Reposting/Crossposting'}",1
Art & Culture,"{'Off-topic/topic specific', 'Content Warnings', 'Images'}",1
Art & Culture,"{'Off-topic/topic specific', 'Content Warnings', 'Spam'}",1
Art & Culture,"{'Off-topic/topic specific', 'Content Warnings'}",1
Art & Culture,"{'Off-topic/topic specific', 'Spam'}",1
Art & Culture,"{'Off-topic/topic specific', 'Trolling', 'Spam'}",1
Art & Culture,"{'Reposting/Crossposting', 'Automated tools'}",1
Art & Culture,"{'Reposting/Crossposting', 'Spam'}",1
Art & Culture,"{'Trolling', 'Spam'}",1
Bots,{'Hate Speech'},8
Bots,{'Automated tools'},4
Bots,"{'NSFW', 'Images'}",4
Bots,"{'Advertising & Commercialization', 'Spam'}",3
Bots,{'Harassment'},3
Bots,{'Illegal Content'},3
Bots,{'Spam'},3
Bots,{'Content Warnings'},2
Bots,{'Doxxing/ Personal Info'},2
Bots,"{'Harassment', 'Doxxing/ Personal Info'}",2
Bots,"{'Hate Speech', 'Harassment'}",2
Bots,{'Impersonation'},2
Bots,{'Mis/Disinformation/Conspiracy'},2
Bots,"{'Automated tools', 'Spam'}",1
Bots,"{'Dogpiling', 'Harassment'}",1
Bots,"{'Harassment', 'Automated tools'}",1
Bots,"{'Harassment', 'Trolling'}",1
Bots,"{'Hate Speech', 'Images'}",1
Bots,"{'Illegal Content', 'Incitement of Violence'}",1
Bots,{'Incitement of Violence'},1
Bots,"{'Mis/Disinformation/Conspiracy', 'Hate Speech'}",1
Bots,"{'NSFW', 'Content Warnings', 'Images'}",1
Bots,"{'NSFW', 'Content Warnings'}",1
Bots,"{'Not Applicable', 'Automated tools'}",1
Bots,"{'Off-topic/topic specific', 'Harassment'}",1
Bots,"{'Reposting/Crossposting', 'Impersonation'}",1
Bots,"{'Spam', 'Automated tools'}",1
Community,{'Advertising & Commercialization'},1
Community,{'Content Warnings'},1
Community,"{'Hate Speech', 'Harassment', 'Doxxing/ Personal Info'}",1
Community,"{'Links & Outside Content', 'Off-topic/topic specific'}",1
Community,"{'Not Applicable', 'Automated tools'}",1
Education,{'Impersonation'},3
Education,{'Harassment'},2
Education,{'Hate Speech'},2
Education,"{'NSFW', 'Hate Speech'}",2
Education,{'Advertising & Commercialization'},1
Education,"{'Harassment', 'Doxxing/ Personal Info'}",1
Education,{'Images'},1
Education,"{'Impersonation', 'Automated tools'}",1
Education,"{'Links & Outside Content', 'Not Applicable'}",1
Education,{'Links & Outside Content'},1
Education,"{'Not Applicable', 'Mis/Disinformation/Conspiracy'}",1
Education,"{'Reposting/Crossposting', 'Automated tools'}",1
Education,"{'Spam', 'Automated tools'}",1
Education,{'Spam'},1
Entertainment,{'Hate Speech'},71
Entertainment,{'Illegal Content'},35
Entertainment,{'Mis/Disinformation/Conspiracy'},23
Entertainment,"{'NSFW', 'Content Warnings'}",21
Entertainment,{'Doxxing/ Personal Info'},18
Entertainment,{'Harassment'},17
Entertainment,{'Incitement of Violence'},17
Entertainment,"{'Hate Speech', 'Harassment'}",16
Entertainment,"{'Harassment', 'Doxxing/ Personal Info'}",15
Entertainment,"{'Content Warnings', 'Images'}",13
Entertainment,"{'Advertising & Commercialization', 'Spam'}",12
Entertainment,{'Content Warnings'},11
Entertainment,{'Spam'},11
Entertainment,{'Off-topic/topic specific'},10
Entertainment,"{'Hate Speech', 'Incitement of Violence'}",9
Entertainment,{'Impersonation'},9
Entertainment,"{'NSFW', 'Images'}",9
Entertainment,"{'Illegal Content', 'NSFW'}",8
Entertainment,{'NSFW'},8
Entertainment,{'Automated tools'},7
Entertainment,{'Advertising & Commercialization'},6
Entertainment,"{'Mis/Disinformation/Conspiracy', 'Hate Speech'}",6
Entertainment,"{'NSFW', 'Content Warnings', 'Images'}",6
Entertainment,{'Copyright/ Piracy'},5
Entertainment,"{'Harassment', 'Incitement of Violence'}",5
Entertainment,"{'Illegal Content', 'Hate Speech'}",4
Entertainment,"{'Illegal Content', 'NSFW', 'Content Warnings'}",4
Entertainment,"{'Automated tools', 'Spam'}",3
Entertainment,{'Images'},3
Entertainment,"{'Links & Outside Content', 'Not Applicable'}",3
Entertainment,{'Links & Outside Content'},3
Entertainment,"{'Mis/Disinformation/Conspiracy', 'Incitement of Violence'}",3
Entertainment,"{'Dogpiling', 'Harassment', 'Doxxing/ Personal Info'}",2
Entertainment,"{'Dogpiling', 'Harassment'}",2
Entertainment,"{'Dogpiling', 'Hate Speech', 'Harassment', 'Doxxing/ Personal Info'}",2
Entertainment,"{'Hate Speech', 'Images'}",2
Entertainment,"{'Illegal Content', 'Incitement of Violence'}",2
Entertainment,"{'Illegal Content', 'Links & Outside Content'}",2
Entertainment,"{'Links & Outside Content', 'Illegal Content'}",2
Entertainment,"{'Links & Outside Content', 'Spam'}",2
Entertainment,"{'Mis/Disinformation/Conspiracy', 'Spam'}",2
Entertainment,"{'NSFW', 'Hate Speech'}",2
Entertainment,"{'Not Applicable', 'Automated tools'}",2
Entertainment,"{'Not Applicable', 'Hate Speech'}",2
Entertainment,"{'Off-topic/topic specific', 'Harassment'}",2
Entertainment,"{'Reposting/Crossposting', 'Automated tools'}",2
Entertainment,"{'Reposting/Crossposting', 'Copyright/ Piracy'}",2
Entertainment,{'Reposting/Crossposting'},2
Entertainment,"{'Spam', 'Automated tools'}",2
Entertainment,{'Trolling'},2
Entertainment,"{'Advertising & Commercialization', 'Automated tools', 'Spam'}",1
Entertainment,"{'Advertising & Commercialization', 'Spam', 'Automated tools'}",1
Entertainment,"{'Dogpiling', 'Doxxing/ Personal Info', 'Hate Speech', 'Trolling', 'Harassment', 'Incitement of Violence'}",1
Entertainment,"{'Dogpiling', 'Harassment', 'Doxxing/ Personal Info', 'Trolling'}",1
Entertainment,"{'Harassment', 'Automated tools'}",1
Entertainment,"{'Harassment', 'Doxxing/ Personal Info', 'Impersonation'}",1
Entertainment,"{'Harassment', 'Doxxing/ Personal Info', 'Incitement of Violence'}",1
Entertainment,"{'Harassment', 'Trolling'}",1
Entertainment,"{'Hate Speech', 'Harassment', 'Doxxing/ Personal Info'}",1
Entertainment,"{'Hate Speech', 'Harassment', 'Incitement of Violence'}",1
Entertainment,"{'Hate Speech', 'Harassment', 'Off-topic/topic specific'}",1
Entertainment,"{'Hate Speech', 'Trolling'}",1
Entertainment,"{'Illegal Content', 'Copyright/ Piracy'}",1
Entertainment,"{'Illegal Content', 'Hate Speech', 'Advertising & Commercialization'}",1
Entertainment,"{'Illegal Content', 'Hate Speech', 'Harassment'}",1
Entertainment,"{'Illegal Content', 'Images'}",1
Entertainment,"{'Illegal Content', 'Mis/Disinformation/Conspiracy', 'Hate Speech'}",1
Entertainment,"{'Illegal Content', 'Mis/Disinformation/Conspiracy'}",1
Entertainment,"{'Illegal Content', 'NSFW', 'Hate Speech', 'Incitement of Violence'}",1
Entertainment,"{'Images', 'Copyright/ Piracy'}",1
Entertainment,"{'Impersonation', 'Automated tools'}",1
Entertainment,"{'Impersonation', 'Copyright/ Piracy'}",1
Entertainment,"{'Links & Outside Content', 'Illegal Content', 'Spam', 'Copyright/ Piracy'}",1
Entertainment,"{'Links & Outside Content', 'NSFW', 'Illegal Content'}",1
Entertainment,"{'Links & Outside Content', 'Off-topic/topic specific'}",1
Entertainment,"{'Links & Outside Content', 'Reposting/Crossposting'}",1
Entertainment,"{'Mis/Disinformation/Conspiracy', 'Doxxing/ Personal Info'}",1
Entertainment,"{'Mis/Disinformation/Conspiracy', 'Harassment'}",1
Entertainment,"{'NSFW', 'Automated tools', 'Images', 'Spam', 'Reposting/Crossposting'}",1
Entertainment,"{'NSFW', 'Hate Speech', 'Images'}",1
Entertainment,"{'Not Applicable', 'Images'}",1
Entertainment,"{'Not Applicable', 'NSFW'}",1
Entertainment,"{'Not Applicable', 'Reposting/Crossposting'}",1
Entertainment,"{'Off-topic/topic specific', 'Harassment', 'Trolling'}",1
Entertainment,"{'Off-topic/topic specific', 'Trolling', 'Spam'}",1
Entertainment,"{'Off-topic/topic specific', 'Trolling'}",1
Entertainment,"{'Reposting/Crossposting', 'Images', 'Spam'}",1
Entertainment,"{'Reposting/Crossposting', 'Spam'}",1
Entertainment,"{'Trolling', 'Spam'}",1
Family & Friends,{'Hate Speech'},302
Family & Friends,{'Illegal Content'},163
Family & Friends,{'Mis/Disinformation/Conspiracy'},90
Family & Friends,{'Incitement of Violence'},86
Family & Friends,"{'Harassment', 'Doxxing/ Personal Info'}",72
Family & Friends,"{'NSFW', 'Content Warnings'}",69
Family & Friends,{'Harassment'},64
Family & Friends,"{'Hate Speech', 'Harassment'}",50
Family & Friends,"{'Content Warnings', 'Images'}",49
Family & Friends,"{'Advertising & Commercialization', 'Spam'}",45
Family & Friends,{'Content Warnings'},43
Family & Friends,{'NSFW'},34
Family & Friends,{'Spam'},29
Family & Friends,{'Doxxing/ Personal Info'},24
Family & Friends,{'Images'},21
Family & Friends,{'Copyright/ Piracy'},19
Family & Friends,"{'Harassment', 'Trolling'}",19
Family & Friends,"{'Illegal Content', 'NSFW'}",19
Family & Friends,"{'NSFW', 'Content Warnings', 'Images'}",19
Family & Friends,"{'NSFW', 'Images'}",18
Family & Friends,{'Impersonation'},16
Family & Friends,{'Automated tools'},14
Family & Friends,"{'Dogpiling', 'Harassment', 'Doxxing/ Personal Info'}",14
Family & Friends,"{'Dogpiling', 'Harassment'}",13
Family & Friends,"{'Illegal Content', 'Hate Speech'}",13
Family & Friends,{'Off-topic/topic specific'},13
Family & Friends,{'Advertising & Commercialization'},12
Family & Friends,"{'Hate Speech', 'Incitement of Violence'}",11
Family & Friends,"{'Mis/Disinformation/Conspiracy', 'Hate Speech'}",10
Family & Friends,"{'Illegal Content', 'Copyright/ Piracy'}",7
Family & Friends,"{'Mis/Disinformation/Conspiracy', 'Incitement of Violence'}",7
Family & Friends,"{'Spam', 'Automated tools'}",7
Family & Friends,{'Links & Outside Content'},6
Family & Friends,"{'Hate Speech', 'Off-topic/topic specific'}",5
Family & Friends,"{'Illegal Content', 'Incitement of Violence'}",5
Family & Friends,"{'Not Applicable', 'Automated tools'}",5
Family & Friends,"{'Reposting/Crossposting', 'Automated tools'}",5
Family & Friends,"{'Harassment', 'Incitement of Violence'}",4
Family & Friends,"{'Harassment', 'Spam'}",4
Family & Friends,"{'Illegal Content', 'Mis/Disinformation/Conspiracy'}",4
Family & Friends,"{'Off-topic/topic specific', 'Content Warnings'}",4
Family & Friends,"{'Off-topic/topic specific', 'Harassment'}",4
Family & Friends,"{'Dogpiling', 'Harassment', 'Trolling'}",3
Family & Friends,"{'Harassment', 'Doxxing/ Personal Info', 'Incitement of Violence'}",3
Family & Friends,"{'Hate Speech', 'Content Warnings'}",3
Family & Friends,"{'Mis/Disinformation/Conspiracy', 'Impersonation'}",3
Family & Friends,"{'NSFW', 'Harassment'}",3
Family & Friends,"{'Not Applicable', 'Doxxing/ Personal Info'}",3
Family & Friends,"{'Not Applicable', 'Hate Speech'}",3
Family & Friends,"{'Advertising & Commercialization', 'Not Applicable'}",2
Family & Friends,"{'Automated tools', 'Spam'}",2
Family & Friends,"{'Content Warnings', 'Incitement of Violence'}",2
Family & Friends,"{'Dogpiling', 'Harassment', 'Doxxing/ Personal Info', 'Trolling'}",2
Family & Friends,"{'Hate Speech', 'Harassment', 'Trolling'}",2
Family & Friends,"{'Hate Speech', 'Spam'}",2
Family & Friends,"{'Hate Speech', 'Trolling'}",2
Family & Friends,"{'Illegal Content', 'Doxxing/ Personal Info'}",2
Family & Friends,"{'Illegal Content', 'Harassment'}",2
Family & Friends,"{'Illegal Content', 'Links & Outside Content'}",2
Family & Friends,"{'Links & Outside Content', 'Copyright/ Piracy'}",2
Family & Friends,"{'Links & Outside Content', 'Illegal Content'}",2
Family & Friends,"{'Links & Outside Content', 'Reposting/Crossposting'}",2
Family & Friends,"{'Links & Outside Content', 'Spam'}",2
Family & Friends,"{'Mis/Disinformation/Conspiracy', 'Spam'}",2
Family & Friends,"{'NSFW', 'Hate Speech'}",2
Family & Friends,"{'NSFW', 'Incitement of Violence'}",2
Family & Friends,"{'Not Applicable', 'Content Warnings'}",2
Family & Friends,"{'Not Applicable', 'Images'}",2
Family & Friends,"{'Not Applicable', 'Mis/Disinformation/Conspiracy'}",2
Family & Friends,"{'Not Applicable', 'Reposting/Crossposting'}",2
Family & Friends,"{'Off-topic/topic specific', 'Spam'}",2
Family & Friends,"{'Off-topic/topic specific', 'Trolling'}",2
Family & Friends,"{'Reposting/Crossposting', 'Copyright/ Piracy'}",2
Family & Friends,"{'Reposting/Crossposting', 'Spam'}",2
Family & Friends,{'Trolling'},2
Family & Friends,"{'Advertising & Commercialization', 'Hate Speech'}",1
Family & Friends,"{'Advertising & Commercialization', 'Links & Outside Content'}",1
Family & Friends,"{'Advertising & Commercialization', 'Spam', 'Automated tools'}",1
Family & Friends,{'Dogpiling'},1
Family & Friends,"{'Doxxing/ Personal Info', 'NSFW', 'Hate Speech', 'Trolling', 'Harassment'}",1
Family & Friends,"{'Harassment', 'Doxxing/ Personal Info', 'Impersonation'}",1
Family & Friends,"{'Harassment', 'Impersonation'}",1
Family & Friends,"{'Harassment', 'Incitement of Violence', 'Spam'}",1
Family & Friends,"{'Harassment', 'Trolling', 'Incitement of Violence'}",1
Family & Friends,"{'Harassment', 'Trolling', 'Spam'}",1
Family & Friends,"{'Hate Speech', 'Harassment', 'Doxxing/ Personal Info'}",1
Family & Friends,"{'Hate Speech', 'Harassment', 'Incitement of Violence'}",1
Family & Friends,"{'Hate Speech', 'Harassment', 'Trolling', 'Incitement of Violence'}",1
Family & Friends,"{'Hate Speech', 'Images'}",1
Family & Friends,"{'Illegal Content', 'Harassment', 'Spam'}",1
Family & Friends,"{'Illegal Content', 'Hate Speech', 'Spam'}",1
Family & Friends,"{'Illegal Content', 'Images', 'Copyright/ Piracy'}",1
Family & Friends,"{'Illegal Content', 'Images'}",1
Family & Friends,"{'Illegal Content', 'NSFW', 'Content Warnings'}",1
Family & Friends,"{'Illegal Content', 'NSFW', 'Hate Speech', 'Advertising & Commercialization', 'Spam', 'Harassment', 'Incitement of Violence'}",1
Family & Friends,"{'Illegal Content', 'NSFW', 'Hate Speech', 'Spam'}",1
Family & Friends,"{'Illegal Content', 'NSFW', 'Spam', 'Incitement of Violence'}",1
Family & Friends,"{'Images', 'Copyright/ Piracy'}",1
Family & Friends,"{'Impersonation', 'Automated tools'}",1
Family & Friends,"{'Impersonation', 'Copyright/ Piracy'}",1
Family & Friends,"{'Links & Outside Content', 'Illegal Content', 'Spam'}",1
Family & Friends,"{'Links & Outside Content', 'Images', 'Copyright/ Piracy'}",1
Family & Friends,"{'Links & Outside Content', 'Mis/Disinformation/Conspiracy', 'Hate Speech', 'Incitement of Violence'}",1
Family & Friends,"{'Links & Outside Content', 'NSFW', 'Content Warnings'}",1
Family & Friends,"{'Links & Outside Content', 'Not Applicable'}",1
Family & Friends,"{'Mis/Disinformation/Conspiracy', 'Copyright/ Piracy'}",1
Family & Friends,"{'Mis/Disinformation/Conspiracy', 'Doxxing/ Personal Info'}",1
Family & Friends,"{'Mis/Disinformation/Conspiracy', 'Trolling', 'Incitement of Violence'}",1
Family & Friends,"{'NSFW', 'Content Warnings', 'Images', 'Incitement of Violence'}",1
Family & Friends,"{'NSFW', 'Copyright/ Piracy'}",1
Family & Friends,"{'NSFW', 'Harassment', 'Spam'}",1
Family & Friends,"{'NSFW', 'Hate Speech', 'Trolling', 'Harassment', 'Incitement of Violence'}",1
Family & Friends,"{'NSFW', 'Off-topic/topic specific', 'Spam'}",1
Family & Friends,"{'NSFW', 'Spam'}",1
Family & Friends,"{'Not Applicable', 'Harassment'}",1
Family & Friends,"{'Not Applicable', 'Off-topic/topic specific'}",1
Family & Friends,"{'Off-topic/topic specific', 'Content Warnings', 'Spam'}",1
Family & Friends,"{'Off-topic/topic specific', 'Harassment', 'Trolling'}",1
Family & Friends,"{'Off-topic/topic specific', 'Reposting/Crossposting', 'Spam'}",1
Family & Friends,"{'Off-topic/topic specific', 'Reposting/Crossposting'}",1
Fediverse,{'Hate Speech'},262
Fediverse,{'Illegal Content'},149
Fediverse,{'Mis/Disinformation/Conspiracy'},93
Fediverse,"{'Advertising & Commercialization', 'Spam'}",69
Fediverse,{'Incitement of Violence'},68
Fediverse,"{'Harassment', 'Doxxing/ Personal Info'}",67
Fediverse,"{'NSFW', 'Content Warnings'}",56
Fediverse,{'Harassment'},54
Fediverse,"{'Hate Speech', 'Harassment'}",49
Fediverse,{'NSFW'},44
Fediverse,"{'Content Warnings', 'Images'}",43
Fediverse,{'Spam'},43
Fediverse,{'Copyright/ Piracy'},36
Fediverse,{'Doxxing/ Personal Info'},34
Fediverse,{'Content Warnings'},31
Fediverse,{'Advertising & Commercialization'},27
Fediverse,"{'NSFW', 'Images'}",27
Fediverse,"{'Hate Speech', 'Incitement of Violence'}",25
Fediverse,"{'Illegal Content', 'NSFW'}",23
Fediverse,{'Impersonation'},22
Fediverse,{'Automated tools'},21
Fediverse,{'Links & Outside Content'},19
Fediverse,"{'Mis/Disinformation/Conspiracy', 'Hate Speech'}",17
Fediverse,"{'NSFW', 'Content Warnings', 'Images'}",17
Fediverse,"{'Illegal Content', 'Hate Speech'}",16
Fediverse,"{'Harassment', 'Trolling'}",15
Fediverse,{'Off-topic/topic specific'},13
Fediverse,{'Images'},10
Fediverse,"{'Not Applicable', 'Automated tools'}",10
Fediverse,"{'Illegal Content', 'Incitement of Violence'}",9
Fediverse,"{'Links & Outside Content', 'Spam'}",9
Fediverse,"{'Dogpiling', 'Harassment', 'Doxxing/ Personal Info'}",7
Fediverse,"{'Harassment', 'Incitement of Violence'}",7
Fediverse,"{'Illegal Content', 'Copyright/ Piracy'}",7
Fediverse,"{'Reposting/Crossposting', 'Automated tools'}",6
Fediverse,"{'Spam', 'Automated tools'}",6
Fediverse,"{'Dogpiling', 'Harassment'}",5
Fediverse,"{'Hate Speech', 'Harassment', 'Incitement of Violence'}",5
Fediverse,"{'NSFW', 'Hate Speech', 'Trolling', 'Spam', 'Harassment', 'Incitement of Violence'}",5
Fediverse,"{'Off-topic/topic specific', 'Harassment'}",5
Fediverse,"{'Hate Speech', 'Images'}",4
Fediverse,"{'Links & Outside Content', 'Not Applicable'}",4
Fediverse,"{'NSFW', 'Hate Speech'}",4
Fediverse,"{'Not Applicable', 'Harassment'}",4
Fediverse,"{'Reposting/Crossposting', 'Spam'}",4
Fediverse,{'Trolling'},4
Fediverse,"{'Advertising & Commercialization', 'Automated tools'}",3
Fediverse,"{'Automated tools', 'Spam'}",3
Fediverse,"{'Harassment', 'Spam'}",3
