,Category,Language Assessment 
"'Beiträge, die gegen deutsches Recht verstoßen, sind nicht erlaubt. Dies betrifft insbesondere, aber nicht ausschließlich, Belästigung, Beleidigung, Verleumdung, Drohung und Doxing. ', ",,
"'Für Verschwörungsmythen außerhalb eines vernünftigen Diskussionsrahmens bieten wir keine Plattform.', ",,
"'Wissenschaftliche Diskussionen sollen auf der Basis von Evidenz geführt werden, sofern diese vorhanden ist.\r\nEntsprechende Falschaussagen und deren Verbreitung haben auf dieser Instanz keinen Platz.', ",,
"'Ein Verstoß kann durch Entfernen des Beitrags, Verwarnung, zeitweise Sperrung oder Löschung des Kontos sanktioniert werden.', ",,
"'Alle* haben das Recht, via Beitragsmeldung oder E-Mail an kontakt@medibubble.org zeitnah Hilfe zu erhalten.\r\nIm Streitfall gilt hier das gleiche wie bei Munchkin: ob gegen eine Regel verstoßen wurde, entscheidet das Moderationsteam.', ",,
"'Vor der zeitweisen Sperrung oder Löschung eines Kontos soll die betroffene Person gehört werden. Widerspruch gegen Sanktionen wird im Vieraugenprinzip entschieden. Die Gründe werden mitgeteilt. Transparente Moderationsrichtlinien sollen nach und nach erarbeitet werden. ', ",,
"'Instanzen, die gegen o.g. Regeln verstoßen oder solche Verstöße fördern, werden instanzweit gesperrt. \r\nTwitter-Relays werden instanzweit stummgeschaltet, sodass sie auffindbar sind, aber nicht aktiv angeboten werden. Einzelne dieser Botkonten werden nach Meldung des/der Betroffenen gesperrt.']",,
,,
"['No racism, sexism, homophobia, transphobia, able-ism, etc.', ",hate speech,
"'No serious dishonesty that is hurtful to others (e.g. falsely representing oneself as a member of a minority; services offering to write academic papers to help students cheat; vaccine denialism; predatory conferences or journals; overt pseudoscience such as flat-earther-ism etc.)', ",??,
"No spam',",spam,
" 'No impersonating other people', ",identity theft ,
"'No harassment of any kind', ",harassment,
"'No bots or ""institutional"" accounts operated by non-members (Scholar Social is for individuals)', ",bots,
"'No automated cross-posters from Twitter, RSS, etc. on Public privacy setting (includes other 3rd party ""timed posting"" platforms)', ",bots,
"'No providing unsolicited advice to strangers', ",??,
"'No un-described images or video on Public privacy setting', ",??,
"'No shortened links, e.g. bit.ly, t.ly, goo.gl, ift.tt, lnkd.in, is.gd or t.co (These are malicious because link-shorteners track users without their consent and obscure the destination address, which also prevents users from being able to decide whether they want to visit the link beforehand)', ",,
"No advertisements or apologia for cryptocurrencies, NFT's, or multi-level marketing schemes, ",,
"'No police officers, military, or employees of any law enforcement or intelligence agency']",,
"['Be nice to each other. No shitposting on this server.\r\nTrolls will not be tolerated. Please act in a civilized manner.', ",,
"'No porn, explicit or violent media, racism, sexism, fascism, homophobia, or any other form of abusive behavior, harassment or hate speech.', ",,
"'No incitement of violence or promotion of violent ideologies.', ",,
"'No doxxing of users. Any form of harassment will not be tolerated.', 'No content illegal in Belgium or, by extension, EU law.', ",,
"'No intentional spreading of fake news, false information or misleading content.\r\nThis includes attempts to impersonate Mastodon staff.', ",,
"'No spam or advertising.', ",,
"Politics and religion is tolerated but discouraged. Please use a Content Warning if you do post them.\r\nWhatever your political or religious view may be is your concern but we'd appreciate it if you wouldn't use this platform to plaster it in other people's faces., ",,
"Please don't bring discussions from other Social Media channels over to Mastodon.\r\nIf you want to discuss a topic, please do it on the originating side., ",,
"If you're a commercial or government entity or you represent one, please consider hosting your own Mastodon instance.\r\nThis instance is set up and paid for by volunteers in order to give users access to the Fediverse.\r\nIt's not intended to be used as a commercial or governmental platform., ",,
"'This is a private Mastodon instance, access to this server is a privilege and not a right.\r\nThe right to access and/or use this server may be revoked at any given time.\r\n', ""Interpretation of these rules is up to the server's admin discretion and is not open for discussion.\r\nThey may change without prior notice.""]",,
"['Keine rassistische, sexistische, homophobe, transphobe, beeinträchtigtenfeindliche und anderweitig diskriminierende oder hasserfüllte Sprache. ""Starke Sprache"" muss mit einer Inhaltswarnung versehen werden.', 'Kein Belästigung einzelner Personen durch ungewünschte Kontaktaufnahme, Stalking oder Doxing.', 'Keine Beiträge, die in der Republik Österreich oder in der Europäischen Union gegen geltendes Recht verstoßen.', ",,
"'Kein Verbreiten von Verschwörungserzählungen oder Fake-News.\r\n', ",,
"'Nicht jugendfreie Beiträge müssen als solche gekennzeichnet werden. \r\n', ",,
"'Profilbilder und Banner, die nicht jugendfrei sind, werden nicht toleriert.\r\n', ",,
"'Kommerzielle Werbung auf eigene Produkte muss als solche gekennzeichnet sein. Übermäßige oder automatisierte Werbung wird nicht toleriert.', 'Automatisiertes Posten von Texten und Medien dritter, sofern es nicht als Zitat behandelt und darauf Bezug genommen wird, ist nicht erlaubt. Darunter fallen insbesondere automatische Re-Tweets von Twitter.', ",,
"'Bot-Accounts, also Nutzerkonten, die größtenteils automatisierte Inhalte erstellen, müssen als solche gekennzeichnet sein, dürfen nicht auf der lokalen Timeline posten und dürfen nur mit Nutzer:innen interagieren, wenn sie dazu eingeladen worden sind.', ",,
"'Nicht als jemand anderes ausgeben (Verwechslungsgefahr)', ",,
"'Beiträge dürfen nur in deutscher oder englischer Sprache verfasst werden.', ",,
"'Rücksicht, Menschlichkeit und eine respektvolle Diskussionskultur.', ",,
"'Zusammenhängende Posts sind im Allgemeinen in Threads zusammen zu fassen. Antworten sind dabei bis auf thematische Außnahmen auf ""ungelistet"" zu setzen.']",,
"['No discrimination, including (but not limited to) racism, sexism, homophobia or transphobia.', ",,
"'No explicit (NSFW) content without content warnings and/or sensitive media markers. Explicit content must not be used in user avatars or header images.', 'No harassment of other users on this or other servers.', ",,
"'No disinformation regarding public health issues or political/military campaigns.', ",,
"'No spam. This includes commercial advertising, promotional campaigns, and SEO.', ",,
"'No incitement of violence or promotion of violent ideologies.', ",,
"'This is a dedicated space for Black humans, our voices, and our experiences.']",,
"['16+ und CH-Bezug: Für Personen ab 16 Jahren aus der Schweiz und solche, die sich mit der Schweiz verbunden fühlen. Für juristische Personen braucht es einen Geschäftssitz in der Schweiz.', ",,
"'Wir stehen ein für Inklusion: Diskriminierung (Rassismus, Sexismus, Homophobie. Transphobie oder andere Formen) sind bei uns nicht geduldet.', 'Inhaltswarnungen: Explizite Inhalte müssen hinter Inhaltswarnungen (inkl. sinnvoller Beschreibung) verborgen sein und sind in Profilbildern nicht erlaubt. Dazu gehören beispielsweise Nacktbilder und Gewaltdarstellungen.\r\nExplizit pornografische Darstellungen sind nicht erlaubt.', ",,
"'Respektvoller Umgang: Belästigungen von anderen Benutzern werden nicht geduldet. Dazu gehört auch Doxing, Cyberbullying, Stalking und ähnliches Verhalten.', ",,
"'Gesetzeskonform: Es sind nur Inhalte gemäss Schweizer Recht erlaubt.', ",,
"'Aufruf zum Frieden: Aufstachelung zur Gewalt oder Verbreitung und Förderung von Gewaltideologien sind nicht geduldet. Auch sämtliche Formen von Hatespeech sind nicht geduldet.', ",,
"'Wahrheitsgebot: Kritische Diskussionen sind erwünscht, doch es werden keine Desinformationen geduldet. Dazu gehören unter anderem Fake News oder Verschwörungstheorien.', ",,
"'Inhalte von Menschen für Menschen: Werbung ist unerwünscht, wird aber im kleinen Rahmen toleriert. Accounts, die nur Werbung liefern, werden geblockt. SEO, Bots und Crossposting ohne Interaktion wollen wir nicht.', ",,
"'Lokale und föderierte Timeline: Accounts, die regelmässig explizite Inhalte posten, können aus der lokalen und der föderierten Timeline für eine unbestimmte Dauer ausgeblendet werden. Das Ermessen hierzu liegt beim Mod-Team.', ",,
"'Hausrecht: Dies ist eine privat betriebene Instanz. Wir halten uns deshalb das Recht vor, einzelne Accounts ohne Angaben von Gründen auszuschliessen.']",,
"['You assume all liability for what you post.', ",,
"Don't do anything illegal in the US or government goons are going to send me letters and force me, at gunpoint, to look for information about you.]",,
['Pas de contenu illicite.'],,
,,
"['Sexually explicit or violent media must be marked as sensitive when posting', ",,
"'No racism, sexism, homophobia, transphobia, xenophobia, or casteism', 'No incitement of violence or promotion of violent ideologies', ",,
"'No harassment, dogpiling or doxxing of other users', ",,
'No content illegal in Germany or France'],,
"["" Act like an adult  (This is not a catch all for reporting content that you don't want to see)"", ",,
"' No illegal content', ",,
" Post only safe for work content (and don't follow NSFW accounts, as it pollutes the global feed)]",,
"['*About this node*', ",,
"'https://venera.social/friendica', ",,
"'*Nutzungsbedingungen, Datenschutz und Datensicherheit*', ",,
"'Version 1.2, vom 17. März 2021.', 'Betreiberinformationen gemäß § 5 TMG', ",,
"'Steffen Krumbholz', ",,
"'Olbrichtstraße 6a', ",,
"'04157 Leipzig', ",,
"'Deutschland', 'E-Mail: hostmaster(at)libranet(dot)de', ",,
"'Info: https://venera.social/friendica', ",,
"'Spenden/Donations', ",,
"'If you want to donate something to support venera.social 🍀, please follow the link to Liberapay or Paypal (associated with libranet.de).', ",,
"'1. Vorwort', 'venera.social 🍀 ist eine Installation der Software des Friendica-Projektes. Der Quellcode der Software ist für jeden offen zugänglich und kann eingesehen, heruntergeladen, genutzt und verteilt werden.', ",,
"'Friendica ist ein dezentrales soziales Netzwerk, welches Nutzern erlaubt, Inhalte miteinander zu teilen, Informationen auszutauschen und Spaß zu haben.', ",,
"'2. Haftung für Inhalte, Links und alles andere', 'Der Betreiber der Plattform möchte einen freien Informationsaustausch gewährleisten. Die Haftung für Inhalte, die durch Nutzer erstellt werden - Beiträge, Nachrichten und mehr - liegt beim Nutzer. Der Betreiber ist keinesfalls haftbar.', ",,
"'Die Nutzer sind angehalten, in einer respektvollen Art und Weise zu kommunizieren. Insbesondere, aber nicht ausschließlich, werden Belästigungen, Hassreden, Rassismus und Gewalt nicht geduldet.', ",,
"'Die Nutzer werden aufgefordert, keine Inhalte zu veröffentlichen, die gegen in der Bundesrepublik Deutschland anwendbares Recht verstoßen. Sollten Inhalte gegen Gesetze verstoßen und wird der Betreiber darauf aufmerksam gemacht, wird der Betreiber den Nutzer, auch öffentlich, kontaktieren und um Klärung des Problems und ggf. die Löschung der Inhalte bitten. Sollte keine andere Möglichkeit bestehen, wird der Betreiber die Inhalte löschen.', ",,
"'Zusätzlich zur Entfernung strafrechtlich relevanter Beiträge behält sich der Betreiber das Recht vor, Inhalte, welche sich am Rande der Legalität bewegen oder nicht klar einzustufen sind, nach einer Ankündigung zu entfernen. Diese Definition umfasst insbesondere aber nicht ausschließlich pornografische (und ggf. erotische) Darstellungen minderjähriger Personen, auch wenn diese nicht der gesetzlichen Definition von ""kinderpornographischen Schriften"" entsprechen.', ",,
"'3. Haftung für Ausfälle und Datenverlust', 'Der Betreiber gibt sich Mühe, die Plattform möglichst unterbrechungs- und verlustfrei zu betreiben. Hierfür wird allerdings keinerlei Haftung übernommen.', ",,
"'4. Urheberrecht', 'Das Urheberrecht für Texte, Bilder und sonstige Medien, die ein Benutzer auf libranet.de hochladen kann, bleibt beim Nutzer. Eine Übertragung auf den Betreiber des Servers findet nicht statt.', ",,
"'Sollte ein Nutzer wissentlich oder unwissentlich gegen gültiges Urheberrecht verstoßen, ist dieser darauf hinzuweisen. Entsprechende Kontaktdaten können beim Betreiber erfragt werden.', ",,
"'5. Datenschutz und Datensicherheit', 'Dem Betreiber ist es wichtig, die Daten der Nutzer zu schützen. Es werden keinerlei Daten durch den Betreiber ausgewertet oder an dritte Personen weitergegeben, außer die Weitergabe wird rechtlich erzwungen. In einem solchen Fall können folgende Daten weitergegeben werden:', ",,
"'* Benutzername', '* E-Mail-Adresse', ",,
"'* IP-Adresse und Zeitpunkt der letzten Anmeldung', 'Für Daten, die an andere Friendica-Knoten oder an externe Dienste wie Twitter gesendet werden, kann der Betreiber keinerlei Aussagen treffen. Hier sind die Datenschutzbestimmungen der jeweiligen Plattform zu beachten.', ",,
"'Um einen sicheren und störungsarmen Betrieb zu erreichen, werden automatisiert Serverprotokolle (Logfiles) erstellt. Diese werden typischerweise nach drei, spätestens jedoch nach sieben Tagen gelöscht. Darüber hinaus werden durch den Betreiber regelmäßig Datensicherungen (Backups) der Anwendungen, Dateien und der Datenbank erstellt, um die Nutzer vor Datenverlust zu schützen. Diese werden typischerweise nach sieben Tagen, spätenstens jedoch nach einem Monat gelöscht.', ",,
"'Leider ist nichts perfekt, auch Friendica nicht. Der Betreiber kann daher nicht ausschließen, dass Daten durch Sicherheitslücken und Angriffe auf die Systeme abgegriffen werden. Im Falle eines Datenverlustes wird der Betreiber die Nutzer darüber informieren.', ",,
"'Hinweise', 'Diese Nutzungsbedingungen basieren auf der Vorlage des Geraspora Teams, welche unter der CC-BY veröffentlicht wurde.', ",,
"'*Datenschutzerklärung gemäß DSGVO*', ",,
"'Diese Datenschutzerklärung klärt Sie über die Art, den Umfang und Zweck der Verarbeitung von personenbezogenen Daten (nachfolgend kurz „Daten“) innerhalb unseres Onlineangebotes und der mit ihm verbundenen Webseiten, Funktionen und Inhalte sowie externen Onlinepräsenzen, wie z.B. unser Social Media Profile auf. (nachfolgend gemeinsam bezeichnet als „Onlineangebot“). Im Hinblick auf die verwendeten Begrifflichkeiten, wie z.B. „Verarbeitung“ oder „Verantwortlicher“ verweisen wir auf die Definitionen im Art. 4 der Datenschutzgrundverordnung (DSGVO).', 'Verantwortlicher', 'Steffen Krumbholz', 'Olbrichtstraße 6a', ",,
"'04157 Leipzig', ",,
"'Deutschland', ",,
"'E-Mail: hostmaster(at)libranet(dot)de', ",,
"'Info: https://venera.social/friendica', ",,
"'Arten der verarbeiteten Daten:', ",,
"'* Bestandsdaten (z.B. Namen, Adressen)', ",,
"'* Kontaktdaten (z.B. E-Mail, Telefonnummern)', ",,
"'* Inhaltsdaten (z.B. Texteingaben, Fotografien, Videos)', ",,
"'* Nutzungsdaten (z.B. besuchte Webseiten, Interesse an Inhalten, Zugriffszeiten)', ",,
"'* Meta-/Kommunikationsdaten (z.B. Geräte-Informationen, IP-Adressen)', 'Zweck der Verarbeitung', ",,
"'* Zurverfügungstellung des Onlineangebotes, seiner Funktionen und Inhalte', ",,
"'* Beantwortung von Kontaktanfragen und Kommunikation mit Nutzern', ",,
"'* Sicherheitsmaßnahmen', ",,
"'Verwendete Begrifflichkeiten', ",,
"'„Personenbezogene Daten“ sind alle Informationen, die sich auf eine identifizierte oder identifizierbare natürliche Person (im Folgenden „betroffene Person“) beziehen; als identifizierbar wird eine natürliche Person angesehen, die direkt oder indirekt, insbesondere mittels Zuordnung zu einer Kennung wie einem Namen, zu einer Kennnummer, zu Standortdaten, zu einer Online-Kennung (z.B. Cookie) oder zu einem oder mehreren besonderen Merkmalen identifiziert werden kann, die Ausdruck der physischen, physiologischen, genetischen, psychischen, wirtschaftlichen, kulturellen oder sozialen Identität dieser natürlichen Person sind.', ",,
"'„Verarbeitung“ ist jeder mit oder ohne Hilfe automatisierter Verfahren ausgeführten Vorgang oder jede solche Vorgangsreihe im Zusammenhang mit personenbezogenen Daten. Der Begriff reicht weit und umfasst praktisch jeden Umgang mit Daten.', 'Als „Verantwortlicher“ wird die natürliche oder juristische Person, Behörde, Einrichtung oder andere Stelle, die allein oder gemeinsam mit anderen über die Zwecke und Mittel der Verarbeitung von personenbezogenen Daten entscheidet, bezeichnet.', ",,
"'Maßgebliche Rechtsgrundlagen', ",,
