,rules
107,日本法またはeu圏の法律で違法とされるものはトゥートブーストお気に入りにしないでください注 このインスタンスはeu圏内に設置されています
108,人々の感情を動かし良い気持ちにさせることを心がけましょう
109,仲良く楽しくマストドンを
110,
111,
112,
113,
114,dont harrass others
115,use tools user block instance block user report for dealing with problems adminsmods will take care of reports
116,punch nazis they are not welcome here
117,keine belästigung stalking oder doxxing
118,kein rassismus sexismus beschimpfungen oder deren befürwortung
119,keine diskriminierung von geschlechtern und minderheiten
120,keine gewalttätige nationalistische propaganda nazisymbolismus oder förderung der ideologie des nationalsozialismus
121,keine kontaktaufnahme zu menschen die deutlich gemacht haben dass sie keinen kontakt wollen dogpiling
122,kein posten und verbreiten von sexuellem inhalt gewaltdarstellungen oder falschinformationen
123,werbung muss als solche gekennzeichnet sein keine übermäßige oder automatisierte werbung
124,keine inhalte die gegen die gesetze der bundesrepublik deutschland verstoßen
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,公序良俗に反する行為はしないでください
138,日本国内の法律条例に違反する投稿はしないでください
139,誹謗中傷など他の人への精神的経済的な負担を与える投稿はしないでください
140,他の人の著作権を尊重し侵害しないよう心がけてください
141,アフィリエイトなど商業利用はできません
142,その他にもいくつかルールがあるので利用規約を確認してください
143,no racism
144,no sexism
145,no discrimination
146,no stalking
147,no content illegal in germany such as holocaust denial or nazi symbolism
148,much fluff
149,much gay
150,respectezvous les uns les autres
151,ne pas envoyer de spamflood
152,pas de racisme de xénophobie de sexisme de discrimination de propagande ️
153,veuillez ne pas publier de contenu illégal ou de liens vers en france
154,pour le contenu nsfw utilisez lavertissement de contenu ou le filtre nsfw sinon veuillez afficher votre toot comme non listé
155,utilisez lavertissement de contenu pour les spoilers
156,les bots et les comptes commerciaux sont autorisés uniquement si ils ne sont pas spamflood
157,un compte local peut être suspendu ou banni sil ne respecte pas les règles
158,nous ne bloquonssuspendons les comptes et les instances étrangères que pour des raisons juridiques
159,les comptes inactifs depuis 1 mois aucune connexion au compte seront supprimés
160,amusezvous bien
161,nfswlewdadult content must be hidden behind a cw
162,do not post content owned by someone else without permission
163,no posts promoting excessive or extremist levels of violence
164,no distribution of malware or other potentially unwanted software through the service
165,no hurtful or targeted language to attack a certain group or user
166,no excessive trolling
167,no misappropriating memes as use as hate symbols this includes posting memes that are largely considered to be hate symbols
168,no stalking or harassment
169,no intentional attempts to mislead or impersonate a specific user or group
170,利用規約 httpsplusminusiomstdnplusminusiotermsofservice
171,die verwaltung und moderation wird so neutral wie möglich gehandhabt
172,die ergriffenen maßnahmen beschränken sich auf das nötigste um den betrieb des netzes aufrechtzuerhalten und die fähigkeit der nutzer der instanzen mit anderen personen in verbindung zu treten nicht zu beeinträchtigen
173,kommunikation vor aktionen es wird zuerst versucht über probleme und lösungen zu sprechen
174,wir empfehlen keine blocks
175,keine schuld durch assoziationverband
176,bleibt freundlich und höflich behandle andere mit respekt
177,halte dich an die in österreich geltenden gesetze
178,keine belästigung stalking undoder doxxing von anderen
179,rassismus sexismus oder beschimpfungen haben hier nichts verloren
180,nicht markierter sexueller inhalt undoder gewaltdarstellungen in jeglicher form sind nicht erlaubt
181,bots die ohne ihre expliziten anfragen mit nutzer interagieren werden gelöscht
182,übermässige werbung spam spamflut von wiederholenden tröts sind nicht erwünscht
183,日本国内で違法とされている行為をしないこと 実写エロ無修正や犯罪教唆著作権法違反不正指令電磁的記録の頒布など
184,過剰にサーバーに負荷をかける行為をしないこと 大量のリクエスト呼び出し限度を超えて反復する巨大ファイルのアップロードなど他人の利用に影響が出かねない行為をしないこと
185,コミュニティに荒らさないこと 荒れた反応をしたくなる相手は自発的にミュートブロックすること また過度な煽り機能の濫用cwの無設定など人に優しくないtlを作らないこと
186,性的r18コンテンツ政的コンテンツについてはcwすること せいてきこんてんつはcwと覚えてください職場で見ても大丈夫なtlにしましょう
187,使い方を読んでから始めること httpshackmdioepuhmvyrgibcyndhfk3pqsj93ltqta
188,1 preamble
189,friendica is a decentralised communications platform that integrates social communication the website at httpsfriendicahubuppro known as hubuppro collective is an independent notforprofit service that uses friendicas source code we the owner and operator of the website provide this service to you under these terms
190,by accessing the website at httpsfriendicahubuppro you are agreeing to be bound by these terms of service all applicable laws and regulations and agree that you are responsible for compliance with any applicable local laws if you do not agree with any of these terms you are prohibited from using or accessing this website
191,this website is available only to individuals who are at least 15 years old
192,2 username password security
193,if you create an account on this website you agree to be entirely responsible for maintaining the confidentiality of your password you are entirely responsible for all activities that occur underor with your username and password you agree to notify immediately the website administrator at infohubuppro of any unauthorized uses of your account or any other breaches of security
194,we will not be liable for any loss that you may incur as a result of someone else using your username or password either with or without your knowledge
195,3 content
196,all content posted via this website is the sole responsibility of the person who originated such content we may not monitor or control the content posted via this website and we cannot take responsibility for such content
197,if you are exposed to spamming online harassment grossly offensive content or illegal content you may notify the website administrator
198,your posts
199,you are responsible for any content you provide including compliance with applicable laws rules and regulations
200,content that you provide may be removed if it is perceived as not complying with applicable laws rules and regulations
201,other peoples posts
202,any use or reliance on content posted via this website is at your own risk we do not endorse support represent or guarantee the completeness truthfulness accuracy or reliability of any content posted via this website or endorse any opinions expressed via this website and any other linked website
203,you understand that by using this website you may be exposed to content that might be offensive harmful inaccurate or otherwise inappropriate or in some cases postings that have been mislabelled or are otherwise deceptive
204,4 provision of service
205,we provide this service in good faith and to the best of our ability we have a long performance record however we cannot guarantee an uninterrupted service and or a service entirely free of data loss
206,you can follow the website administrator who in the unlikely event of a service disruption will post status notifications
207,5 termination of service
208,we may terminate your access to all or any part of this website at any time we usually inform you if we disable your login or delete your account
209,we routinely delete inactive user accounts in the following cases
210,user has never logged in and account was created more than 5 days ago
211,user has never had a single public post and has not logged in for more than 30 days
212,user has not logged in for more than 180 days
213,you can request an exemption from these inactivity restrictions by contacting the website administrator
214,we routinely remove dedicated spam accounts that were created on this website this includes profile spamming and link spamming if you engage in such activities we may or may not inform you of deleting your account
215,all account deletions are permanent and will result in a loss of user identity and content
216,6 modifications
217,we may revise these terms of service at any time you can hear about such changes by following the website administrator
218,by using this website you are agreeing to be bound by the then current version of these terms of service
219,7 governing law
220,these terms and conditions are governed by and construed in accordance with irish law and you irrevocably submit to the exclusive jurisdiction of the courts of the republic of ireland
221,cats rule and dogs drool addendum my cat drools sometimes so enforcement is subjective
222,if you dont get a registration email directly reach out via httpsdrasticalnetcontact and let me know
223,no incitement of violence or promotion of violent ideologies
224,please be kind and courteous apply the silver rule dont treat others like you wouldnt like to treated
225,harassment of any kind is unacceptable and a direct violation of the communickcom terms of service
226,absolutely no content that would be considered illegal in germany
227,sexually explicit or violent media must be marked as sensitive when posting
228,no bot account unless explicit permission from the server admins is granted
229,nic nezákonnýho dle zákonů české republiky
230,respect finnish law
231,no spamming or mass advertising
232,no nazism national socialism discrimination or graphic violence
233,this isnt a place for pornography
234,no harrasment of other users or promotion of violence
235,nudité et pornographie sont strictement interdites nous désactiverons ou bloquerons les comptes sans mise en garde
236,tous propos haineux discriminatoire peu importe la forme ne sont pas tolérés sur cette instance et entraînera une suppression ou un blocage immédiat du compte responsable de ces infractions
237,toutes formes de harcèlement envers dautres utilisateurs de cette instance ou dautres instances ou envers une personne physique ou moral ne sont pas non plus tolérées ici
238,le contenu illégal qui ne respecte pas les droits dauteurs ou plus largement la loi française sera supprimé et le compte responsable de ces infractions sera soumis à examen
239,si latelier du numérique venait à être saisie par la justice française pour non respect de la loi nous nous réserverons le droit de dénoncer la personne responsable des faits incriminés envers latelier du numérique
240,les spams ne sont pas acceptés
241,la publicité est acceptée dans la mesure ou elle nest pas rébarbative et ou elle ne forme pas le contenu exclusif du compte
242,aucune action haineuse racisme sexisme homophobie etc
243,pas de doxxing
244,si vous ne le feriez pas en tant quinvité chez quelquun ne le faites pas ici
245,注册后7天内无任何操作如发嘟换头像的账号将被删除
246,请不要发布对性取向性癖爱好信仰宗教政治立场民族地域等的侮辱性言论 来自cmx
247,请不要对任何用户发送具有骚扰猥亵恐吓威胁诱骗霸凌性质的内容不受欢迎的性暗示内容或其他令他人感到不安或不适打扰他人正常生活的内容 来自cmx
248,请不要发布种族主义性别主义性少数群体恐惧跨性别恐惧仇外和或暴力民族主义言论以及其他形式的歧视煽动仇恨人身威胁的 cmx和gov5站
249,请不要发布与本站用户完全不相干的推广内容cmx
250,严禁对其他用户实施任何人肉行为包括公开发布他人在其他平台上的涉及他人隐私个人信息或资料的内容违反本条的用户将被直接执行封禁操作相应嘟文会被删除cmx
251,严禁使用包括但不限于任何形式的自动化程序等手段大量获取本站的数据例如您不得使用本站的api或任何类似于爬虫的软件或设备将数据用于正常交流以外的用途违反本条的用户将被直接执行冻结操作 cmx
252,在宇宙联邦别站或者其他任何地方的不当行为和或言论也会导致你在皮卡站的号被封因此如果你在别的网站或者线下有骚扰歧视仇恨言论等等等等你在本站的号也会没有
253,请不要把本站当成图床
254,不可以发布真实存在的未成年的成人内容不管是文字还是媒体未成年人的rpf在本站不被允许 但是纸片人可以随你喜欢不过要记得打cw且不能出现在公开轴上
255,请遵守用户本人所在国及服务器所在国德国法律歪站 加一句在中国的用户不必遵守中国法律只需要遵守服务器所在的德国法律恶法非法欢迎随意评论时事
256,no illegal content
257,no spamads nor spamad accounts
258,no crapposting posting nonsense constantly
259,用户交流禁止发布对性取向性癖爱好信仰宗教政治立场民族地域等的侮辱性言论
260,用户交流禁止对任何用户发送具有骚扰猥亵恐吓威胁诱骗霸凌性质的内容不受欢迎的性暗示内容或其他令他人感到不安或不适打扰他人正常生活的内容
261,用户交流请不要发布种族主义性别主义同性恋恐惧以及跨性别恐惧言论
262,敏感内容只要涉及成人内容包括文字及媒体均需使用恰当的cw标签及隐藏内容警告
263,敏感内容请不要发布违反伦理及社会共识的成人内容如由真实的儿童参与制作的色情内容
264,使用行为禁止对其他用户实施任何人肉行为
265,使用行为禁止使用包括但不限于任何形式的自动化程序等手段大量获取本站的数据
266,使用行为机器人账户不得滥用服务器资源
267,使用行为禁止冒用他人身份注册账号或发布冒用他人身份的嘟文
268,使用行为禁止将本站服务用于正常交流以外的用途的滥用行为
269,使用行为禁止散布计算机恶意程序
270,广告及推广请不要推广虚假诈骗或违反本站服务条款的内容
271,广告及推广请不要发布重复推广内容或重复刷屏
272,广告及推广请不要发布与本站用户完全不相干的推广内容
273,知识产权请不要发布盗版内容
274,知识产权请不要在未经作者授权的情况下发布他人作品
275,规则明细 使用本站前请详细阅读实例细则服务承诺 等段落httpsel5netabout 和 隐私政策httpsel5netprivacypolicy使用本站代表您同意了这些规则与政策
276,新用户注册需求 1请使用中文告诉我们加入本实例的理由请使用至少10个汉字描述理由人工审核将尽量在一周内完成如被批准您会收到一封欢迎邮件如没有按照上述要求填写注册会被拒绝
277,新用户注册需求 2同时请在通过审核后的两周内修改头像或者发送一条嘟文等相关的操作未进行任何操作的账号将在下次清理僵尸账号时被冻结请联系站长或管理员解冻
278,be respectful of one another
279,if someone asks you to stop stop ignoring such a request especially from a mod will result at minimum in a timeout
280,if there is an issue use the reporting tools so moderators and admins can handle it
281,no bigotry or harassment grandmaspace has a zero tolerance policy for the instigation or perpetuation of hateful speech and ideology disrespect of its members or staff incendiary behavior or other such inappropriate conduct
282,provide appropriate content warnings on potentially sensitive posts and use nsfw tags liberally on adult images spoilers and other content that not everyone may want to see
283,current event discussion is permitted but you are highly encouraged to use a current event or politics contentwarning
284,seid lieb zueinander
285,sexually explicit or violent media must be marked as sensitive when posting
286,no racism sexism homophobia transphobia xenophobia or casteism
287,no incitement of violence or promotion of violent ideologies
288,no harassment dogpiling or doxxing of other users
289,no content illegal in germany
290,do not share false or misleading information that may lead to physical harm
291,no snake oil no alternative medicine we keep it evidence based
292,were here to interact meaning we do not allow botonly accounts and view accounts autoposting without any interaction in the comments or others content with suspicion
293,hate speech any form of discrimination anything that violates the first law do no harm is strictly forbidden and will lead to a ban
294,trage zu einer einladenden freundlichen und respektvollen umgebung und atmosphäre bei
295,kein rassismus sexismus beschimpfungen oder deren befürwortung
296,kein belästigen stalking doxxing oder kontaktaufnahme zu menschen die deutlich gemacht haben dass sie keinen kontakt wollen
297,kein posten und verbreiten von sexuellem inhalt oder gewaltdarstellungen
298,kein vortäuschen einer falschen identität
299,wir sind christinnen und christen sei daher nicht überrascht wenn du vielen inhalten zum glauben begegnest
300,no homophobia transphobia racism bigotry or related epithets
301,nsfw content should be tagged with a content warning further use of content warnings is up to the poster
302,no doxxingharassmentetc this is meant to be a space for friends to hang out and it should be comfortable for anyone present
303,do not automatically scrape or index this server post visibility and what may or may not be indexed is controlled by the users and the protocol do not violate those decisions
304,no hate speech incitement of violence or promotion of violent ideologies
305,no racism sexism homophobia transphobia xenophobia or casteism
306,no illegal content under australian law since this site is not age restricted that includes pornography
307,no harassment or doxxing of other users
308,content that may be considered nsfw such as sexually suggestive or violent media must be marked as sensitive when posting
309,be nice to each other
310,no racism sexism homophobia transphobia xenophobia or casteism
311,no incitement of violence or promotion of violent ideologies
312,no harassment dogpiling or doxxing of other users
313,do not share intentionally false or misleading information do not publish conspiracy myths
314,no content illegal in germany
315,dogs not cats
316,you should be older than 16 years
317,keine beleidigungen drohungen und verunglimpfungen aller art
318,keine aufforderungen zu gewalt
319,kein radikales gedankengut rassismus und hasspropaganda
320,keine pornografie und obszönitäten
321,keine verletzungen von rechten dritter
322,keine veröffentlichung von privaten korrespondenzen und privaten daten anschriften emailadressen oder telefonnummern
323,kein missbrauch der kommentarfunktion für werbliche zwecke
324,nur deutsch oder englischsprachige accounts erlaubt bei anderen sprachen können wir die moderation nicht gewährleisten
325,seid nett
326,only natural persons may have accounts no corporate shared or bot accounts
327,respect peoples identities pronouns and boundaries targeted misgendering deadnaming or promotion of socalled conversion therapy is prohibited
328,no racism sexism homophobia transphobia xenophobia ableism casteism etc
329,no incitement of violence or promotion of violent ideologies
330,no harassment dogpiling or doxxing of other users
331,no ad hominem attacks
332,no undescribed images or video on public privacy setting
333,sexually explicit or violent media must be hidden behind a content warning when posting
334,no content illegal in the united states
335,do not share intentionally false or misleading information
336,no shortened links links always count for 23 characters regardless of length
337,rechtswidrige inhalte werden von moderatoren entfernt und grundsätzlich zur anzeige gebracht
338,das verbreiten nachweislicher falschnachrichten ist untersagt
339,höflichkeit und anstand sollten die regel sein nicht die ausnahme
340,no fascism
341,no white supremacy
342,no religious extremism
343,no nationalism
344,no racism
345,no homophobia
346,no transphobia
347,no illegal things
348,be nice
349,keine belästigung stalking undoder doxxing von anderen
350,rassismus sexismus oder beschimpfungen haben hier nichts verloren
351,diskriminierung von geschlechtern und sexuellen minderheiten haben hier auch nichts verloren
352,nationalistische propaganda nazisymbolismus oder förderung der ideologie des nationalsozialismus ist verboten
353,aufrufe zu gewalttaten sind verboten
354,leute kontaktieren die klar gemacht haben dass sie keinen kontakt wollen wollen wir auch nicht
355,nicht markierter sexueller inhalt undoder gewaltdarstellungen in jeglicher form sind nicht erlaubt
356,bots die ohne ihre expliziten anfragen mit nutzer interagieren werden gelöscht
357,übermässige werbung spam spamflut von wiederholenden tröts sind nicht erwünscht
358,achte auf einen respektvollen umgang und faire diskussionskultur
359,belästige niemanden und unterlasse persönliche angriffe das veröffentlichen oder die androhung von veröffentlichung von personenidentifizierenden informationen wird als belästigung aufgefasst
360,nachgewiesene falschinformationen fakenews und verschwörungsmythen sind hier unerwünscht
361,rassistische sexistische homophobe transphobe beeinträchtigtenfeindliche und anderweitig diskriminierende oder hasserfüllte sprache sind nicht geduldet
362,die bewerbung von menschenfeindlichen und hasserfüllten ideologien wird nicht geduldet
363,diskutiere moderationsentscheidungen zuerst mit den moderatorinnen und gib ihnen eine chance der erläuterung kommunikation mit der moderation ist direkte persönliche kommunikation und erfolgt via direktnachrichten ein öffentliches verbreiten dieser kommunikation ist zu unterlassen
364,veröffentliche keinen spam ein toot mit nichts als einem link wird als spam ausgelegt ebenso wie jedwede kommerzielle werbung kommerzielle werbung in diesem zusammenhang bedeutet wenn die veröffentlichten inhalte keinen persönlichen bezug aufweisen
365,nutze inhaltswarnungen bei sensitiven kontroversen oder vermutlich triggernden themen
366,pornographische und stark sexualisierte inhalte sind unerwünscht
367,halte dich an die in deutschland geltenden gesetze
368,sexually explicit or violent media must be marked as sensitive when posting
369,no racism sexism homophobia transphobia xenophobia or casteism
370,no incitement of violence or promotion of violent ideologies
371,no harassment dogpiling or doxxing of other users
372,no content illegal in the state of ohio or the united states of america
373,do not share intentionally false or misleading information
374,you are from or live in dayton ohio or the surrounding area
375,be civil treat others with respect like you would if we were in the same meatspace this includes intolerance against minorities were here to discuss and learn not to hate
376,assume good will were all here for the same reason to learn to socialize to discuss our passions and ideas
377,sexuell explizite oder gewalttätige medien müssen beim posten als sensibel gekennzeichnet werden
378,kein rassismus sexismus homophobie transphobie fremdenfeindlichkeit
379,keine anstiftung zu gewalt oder förderung gewalttätiger ideologien
380,keine belästigung oder doxing anderer benutzer
381,keine illegale inhalte
382,keine absichtlich falschen oder irreführenden informationen verbreiten
383,sexually explicit or violent media must be marked as sensitive when posting
384,no racism sexism homophobia transphobia xenophobia or casteism
385,no incitement of violence or promotion of violent ideologies
386,no harassment dogpiling or doxxing of other users
387,no content illegal in germany sorry for that but there is no right life in the wrong one
388,do not share intentionally false or misleading information
389,currently in test mode registrations are welcome but stability cannot be guaranteed at the moment
390,
391,
392,
393,
394,
395,be kind rewind
396,keep your stick on the ice
397,keep your head up
398,sexually explicit or violent media must be marked as sensitive when posting
399,no racism sexism homophobia transphobia xenophobia or casteism
400,no incitement of violence or promotion of violent ideologies
401,no harassment dogpiling or doxxing of other users
402,do not share false or misleading information that may lead to physical harm
403,no illegal content
404,no rightwing lunatics healthy political debate is fine but this server is antifascist
405,no antivaccine propaganda or fear mongering the mods know people who have died from covid19
406,nothing illegal belongs here no drug dealing child pornography death threats or anything else that would be illegal in whatever country or jurisdiction you live in
407,no hate speech here period ever its 2022 and i cant believe i have to say that
408,no minors there are some jurisdictions where material posted by nonadults falls under some very strict legal constraints i want no part of that so if you are under 18 then sorry please look for another server
409,
410,
411,
412,
413,
414,
415,
416,restez courtois dans vos échanges
417,les contenus illégaux sont interdits
418,les messages haineux discriminants seront modérés et peuvent déclencher la fermeture de votre compte
419,les messages et contenus liés à la pédopornographie seront signalées aux autorités compétentes
420,sexually explicit or violent media must be marked as sensitive when posting
421,no racism sexism homophobia transphobia xenophobia or casteism
422,no incitement of violence or promotion of violent ideologies
423,no harassment dogpiling or doxxing of other users
424,do not share intentionally false or misleading information
425,do not impersonate well known people especially in vut context
426,sexually explicit or violent media must be marked as sensitive when posting
427,no racism sexism homophobia transphobia xenophobia or casteism
428,no incitement of violence or promotion of violent ideologies
429,no harassment dogpiling or doxxing of other users
430,no content illegal in germany
431,do not share intentionally false or misleading information
432,no nazis
433,this instance is invite only
434,if your actions are causing the moderation load to become too high you will be removed even if it isnt your fault
435,please report bad actors users or instances so they can be blocked from federation
436,this server does not require cws on things like politics uncomfortable subjects etc however know that if you interact with people or instances that do you may be blocked or you may cause this instance to be blocked
437,any illegal content will be moderated and will likely result in your being banned just dont do it
438,1 dont make john need to do any moderation
439,violence you may not threaten violence against an individual or a group of people we also prohibit the glorification of violence
440,terrorismviolent extremism you may not threaten or promote terrorism or violent extremism
441,child sexual exploitation we have zero tolerance for child sexual exploitation
