,rules
345,no hate speech
346,access is a privilege not a right
347,言论自由是第一自由本站不做审查但请记住和而不同
348,theres only one rule here follow wheatons law httpsknowyourmemecommemeswheatonslaw
349,be polite
350,dont insult anyone
351,this is a private server so its rules dont apply to you dont feel bad here have an interrobang
352,be nice be helpful
353,no promoting violence or hate
354,no doxxing
355,no fascismcolonialismnationalismreligious extremism
356,no harrassmentunwelcome attention
357,no racism no homophobia no transphobia
358,no spamminggratuitous advertising reasonable self promotion is fine
359,no graphic violent overtly sexual or political content without a content warning content warnings are like spoiler alerts trigger warnings or plain old politeness please use them
360,no automatedunattended crosspostingbackfilling from another site
361,no derogatory commentsbullying
362,
363,
364,seid lieb danke
365,this is a private site and does not permit user signups
366,be kind
367,norma 1
368,日本の法律を遵守します
369,他のサーバー運営に迷惑をかける行為をしません
370,be nice be polite be understanding otherwise youll be banned p
371,this server is not open to new users respect peace
372,no bot accounts allowed
373,dont be a dick
374,no violence
375,no fascism
376,no colonialism
377,no white supremacy
378,no religious extremism
379,no nationalism
380,no racism
381,no transphobia
382,no homophobia
383,no sexism
384,no doxxingstalking
385,no harassment
386,no hatespeech
387,no things that are illegal in germany for example nazisymbols and slogans
388,be cthos
389,follow appropriate codes of conduct for federated servers hachyderm for one
390,zero tolerance for terfs any terf behavior will get you banned immediately
391,for employees of sisulink
392,no racism sexism homophobia transphobia xenophobia or casteism
393,do not post anything sexually explicit porn or graphically violent gore
394,no incitement of violence or promotion of violent ideologies
395,do not share intentionally false or misleading information
396,no harassment or doxxing of other users
397,sexually explicit or violent media must be marked as sensitive when posting
398,no racism sexism homophobia transphobia xenophobia or casteism
399,no incitement of violence or promotion of violent ideologies
400,no harassment dogpiling or doxxing of other users and people in general
401,no content illegal in germany
402,do not share intentionally false or misleading information
403,dont be a jerk
404,this server is about big ideas kindness and great experiences please be excellent to each other
405,discussion of ideas are great personal attacks will not be tolerated
406,cursing is okay but no one wants to see any nsfw images if you wouldnt show your mom the photo dont post it here
407,what constitutes offensive speech or behavior including but not limited to race gender identity and expression national origin religion disability marital status age sexual orientation or other protected categories is entirely up to us plenty of other servers if youre not cool with that
408,you are joining a community so youll be subscribing to our email newsletter as well as the server here you dont have to stay subscribed but youll be getting a welcome and a newsletter every other week
409,no racism
410,dont suck
411,日本国の国内法に基づきます
412,ネガディブな話題よりポジティブな話題を心がける
413,相模地域の話題推奨ですが強い縛りはありません
414,no bad things
415,mmasuda のおひとり様インスタンスです非常用
416,no hate speech bigotry violent threats harassment csam fascism terf gamergate or other heinous bullshit
417,self promotion and publicity is aok
418,private server for nif
419,pas de contenu illégal
420,文月郁の個人用インスタンスのため新規登録は受け付けておりません
421,禁止发布对性取向性癖爱好信仰宗教政治立场民族地域等的侮辱性言论
422,禁止对任何用户发送具有骚扰猥亵恐吓威胁诱骗霸凌性质的内容不受欢迎的性暗示内容或其他令他人感到不安或不适打扰他人正常生活的内容
423,请不要发布种族主义性别主义同性恋恐惧以及跨性别恐惧言论
424,只要涉及成人内容包括文字及媒体均需使用恰当的cw标签及隐藏内容警告
425,请不要发布违反伦理及社会共识的成人内容如由真实的儿童参与制作的色情内容
426,禁止对其他用户实施任何人肉行为
427,禁止将本站服务用于正常交流以外的用途的滥用行为
428,请不要在未经作者授权的情况下发布他人作品
429,日本国の法律に違反するような書き込み画像映像の添付は禁止します
430,サーバの性能がしょぼいため負荷が高くなるような操作短期間に大量の画像つき投稿などは控えてください
431,その他管理人が問題だと思った行動を取り続けた場合アカウント停止などの対処を行います
432,またよくわからないアカウントも管理人の独断でアカウント停止削除を行います
433,上記以外は自由に楽しんでください
434,ルールは管理人の独断で変更される場合があります
435,
436,sexually explicit or violent media must be marked as sensitive when posting
437,no racism sexism homophobia transphobia xenophobia or casteism
438,no incitement of violence or promotion of violent ideologies
439,no harassment dogpiling or doxxing of other users
440,no content illegal in germany
441,do not share intentionally false or misleading information
442,to be expanded but for now please be respectful play nicely
443,anyone who is not me is banned
444,dont be a jerk dont be hatful or a bigot as this is my own personal instance for now hopefully it wont be too hard for me to follow these rules
445,kein rassismus sexismus beschimpfungen
446,keine belästigung stalking doxxing
447,keine diskriminierung von geschlechtsspezifischen und sexuellen minderheiten
448,kein spam oder werbung
449,crossposting ist nicht erwünscht
450,keine illegalen inhalte
451,enthusiasm yes hate no we dont care if your loved one is 8 16 32bit male female feline furry or anything else we just want enthusiasm compassion and love to thrive here while hate speech and lack of respect will keep you out
452,no illegal content posting pornographic content with a minor or content that may facilitate the commission of a crime will result in immediate and permanent ban
453,dont be harmful repeatedly posting content that can evoke negative emotions in the recipients or promote behavior that is dangerous to healthlife can also result in a ban examples violent content aggressive behavior content encouraging selfharm suicide and other selfdestructive behavior
454,this is a private instance so i dont need to write rules only for me
455,no right wing shit
456,no bigotry
457,lewd stuff should be cwd at least one admin is a minor lol
458,at the moment this is a singleuser server this is a list of standards to which i hold myself and anyone else i would let use this server to
459,i will clearly mark any nsfw content
460,i am not sexist racist transphobic or homophobic do not plan to post content that is i reserve the right to discuss such content may include screenshots in this case content warnings will be applied discussion of harassment is important but it may be triggering
461,nothing thats illegal in new zealand see httpswwwlegislationgovtnzactpublic19930094550dlm313407html
462,if you spam me i will block you if a lot of spam is coming from another instance and i am unable to resolve the issue with the administrator of the instance in a timely manner i will black hole that entire instance
463,the same goes for disinformation on anything importantpolitics public health etc
464,this is my instance if i block you theres no appeal dont threaten to sue me over free speechfirst amendment rights i dont live in the us and my server isnt hosted in the us and if you try in nz not only will it be thrown out you will probably get some kind of fine
465,oh and any bot i create will be clearly marked as such
466,nebuď kretén
467,please keep all discussion polite
468,posted content must be legal
469,there must be no confidential information posted
470,this server is a lowtraffic server for ellie mostly if youre a friend of ellie and would like an account feel free to reach out
471,no nazis
472,no transphobia
473,capitalism must be destroyed
474,dont be an asshole
475,all public posts from this instance are indexed by tootfinderch
476,法令順守日本国の法律に触れることはしないでください
477,公序良俗に反する行為の禁止公序良俗の定義は運営者の判断によります映画で言えばpg13を目安にしてください
478,差別的言動の禁止何が差別的かの線引きも難しいですが運営者の判断によります
479,german laws regulations apply
480,einhaltung deutscher rechtsnormen urheberrecht kunsturheberrecht strafrecht
481,zivilisierter umgang miteinander der hooligan wird zur tür geleitet
482,kurzum vor der veröffentlichung einfach das hirn einschalten
483,
484,vær ålreit med hverandre hold samtaler positive og konstruktive uenighet kan oppstå men det er likevel ingen grunn til å gå til personangrep
485,nsfw er ikke tillatt unngå pornografi nakenhet og voldelig innhold i denne serveren
486,ingen hat rasisme eller annen diskriminering
487,you must be me to use this instance the rest of these rules are for me to follow
488,no bigotry of any kind eg racism transphobia nazi beliefs etc
489,dont harass people or promote violence
490,dont spread disinformation please make some effort to verify news
491,dont be a dick
492,no hacking
493,no violence
494,no fascism
495,no colonialism
496,no white supremacy
497,no religious extremism
498,no nationalism
499,no racism
500,no homophobia
501,no transphobia
502,safe space lgtbqia
503,safe space neurodivergent adhd autism etc
504,be courteous be kind treat others as you wish to be treated
505,se prohíbe la transfobia homofobia lgbtqiafobia en general machismo especismo racismo nazismo y fascismo discursos que promuevan estas ideas serán razón de baneo
506,no se aceptarán cuentas de partidos políticos instituciones públicas empresas privadas y medios de comunicación privados sí se aceptarán cuentas de medios de comunicación comunitarios o autogestionados cooperativas organizaciones sociales yo civiles sin fines de lucro yo cuyos propósitos estén de acuerdo con las reglas de la instancia
507,no bigotry
508,私人领地未经同意请勿穿越
509,no illegal content or conduct content or conduct that is illegal in the united states is strictly prohibited
510,racism sexism homophobia transphobia and other discrimination is prohibited users who engage in such conduct are not welcome on our platform
511,dont stalk or harass other users respect other users of our service and other federated instances
512,use content warnings cw liberally cw are required for nsfw content political discussion and debate religious promotion and debate and drug mentions
513,misinformation scams nfts ponzi schemes and other deceptive content is prohibited
514,spam is not permitted this includes creating spam accounts that only serve to provide profile links or advertise products and services
515,no harassment in the form of continued engagement after a person has requested contact to stop
516,lack of a specific rule against a certain behavior does not indicate acceptance of that behavior each of us has a limited amount of time in this world dont be a jerk
517,violating one or more of these rules may result in an immediate permanent ban without notice or warning
518,use the report system if a user or instance is breaking the rules we recommend just reporting the content and not engaging
519,access to nomadicsocial data by meta inc its subsidiary organizations or 3rd party organizations working on their behalf is strictly prohibited
520,no racism
521,treat others as you would like to be treated
522,no 18porn material
523,no hate speech
524,all nsfw content must be marked as such cw
525,treat others here with the same respect you would treat your own grandmother
526,no commercial advertising
527,olemme vähemmistömyönteisiä ole lempeä
528,keskustele asiasta älä mene henkilökohtaisuuksiin
529,ei lakeja rikkovaa materiaalia suomi ja euroopan unioni
530,älä kiusaa älä ahdistele muita
531,älä levitä disinformaatiota ei salaliittoteorioita
532,ei syrjintää ei rasismia ei fasismia ei seksismiä ei homofobiaa ei transfobiaa
533,käytä sisältövaroitusta arkaluontoiselle sisällölle ei arkaluontoista sisältöä julkisissa kuvissa kuten avatareissa
534,älä koettele sääntöjen rajoja palvelimen ylläpito pidättää oikeuden sääntömuutoksiin
535,ei spammia ei kaupallista mainontaa ei hakukoneoptimointia varten luotua sisältöä
536,älä tekeydy toiseksi julkisuuden henkilöksi tai järjestöksi älä luo parodiatilejä tälle palvelimelle muilla palvelimilla sijaitsevien selkeästi merkittyjen parodiatilien seuraaminen on sallittua
537,you must be a matthew
538,be kind
539,familysize instance with next to noone no open subscription invite only
540,blocks threadsnet
541,content warning and labeling any content that is adultoriented graphic or sensitive in nature must be obscured behind a content warning and must be clearly labeled as such this is to ensure that users are adequately informed and can consent prior to their exposure to such content
542,prohibition of misleading or deceptive content the posting of content that is misleading deceptive or false is strictly prohibited this includes but is not limited to content that is intended to deceive mislead or defraud others
543,prohibition of harassment and antagonistic behavior engaging in spamming stalking harassment or any form of antagonistic behavior towards others is strictly prohibited this includes but is not limited to unsolicited communications unwanted attention and behavior that is intended to annoy threaten or intimidate others
544,workplace appropriateness of avatars and headers all avatars and headers must be appropriate for a work environment this includes but is not limited to images symbols and text that are not offensive explicit or inappropriate
545,bot delisting except for certain exceptions like news outlets all bots must be delisted from the public timeline this ensures a more humancentric interaction environment on our platform
546,compliance with laws and regulations all content must comply with the general data protection regulation gdpr applicable united states federal laws and the laws of the state of south carolina this includes but is not limited to content that does not infringe upon the rights of others violate privacy laws or engage in illegal activities
547,federation compliance the aforementioned rules apply both locally and to any social networks federating with our network any federated social networks found to be in violation of these rules may face defederation this ensures a consistent and respectful environment across all platforms
548,private server private rules
549,no spam
550,be agatha rules for users on this instance will be added if registrations ever open
551,any instances not moderating any kind of harassment or bigotry are suspended on sight
