,rules
45,no republican politicians especially from florida or texas the first amendment overrules dumb state laws
46,no covid19 misinformation see httpsblogfreeradicalzonenewjunkmedicaladvicepolicy for more information
47,pas de pédopornographie
48,pas de contenu sensible sans marquage comme tel
49,pas de contenu inapproprié comme toots racistes sexistes homophobes ou transphobes désinformation avec intention de tromper harcèlement propos injurieux etou diffamatoires calmonieux doxxing ou le retournement dune oppression systémique
50,pas de spam à part les comptes promotionnels sils ne sont pas intruisifs ne mentionnent personne et sont en phase avec le thème de linstance par exemple jeux vidéo animemanga etc
51,no illegal stuff according to belgian law
52,no spamming which includes using our instance for referencing
53,be respectful to other people
54,no bully no harassment
55,respect peoples gender pronouns
56,assume good faith
57,respect peoples privacy no scraping the timelines dont post privatedirect messages public
58,avoid posting graphic violence and porn in public timelines without content warning
59,avoid crossposting retweets use the followersonly mode if you post often on twitter
60,bots and community managed accounts are tolerated as long as you dont post on the public timeline
61,sexually explicit or violent media must be marked as sensitive when posting
62,no racism sexism homophobia transphobia xenophobia or casteism
63,no incitement of violence or promotion of violent ideologies
64,no harassment dogpiling or doxxing of other users
65,no content illegal in germany andor france andor the netherlands
66,לא להטריד להתקיף להשפיל או לאיים
67,אם מישהוי מבקשת להפסיק אינטראקציה כלשהי להפסיק מיד
68,לנסות לאפשר מרחב נעים ומכיל עבור כולןם ולהשתמש באזהרות תוכן כמפורט בכללי הקהילה
69,לא להציג באופן גלוי תכנים פורנוגרפיים או ייצוגים של אלימות פיזית
70,אפס סובלנות לגזענות בפרט כל התבטאות כהניסטית או נאצית
71,הפרה שיטתית של הנהגים המקובלים בתווותים ובקהילה הפדרטיבית שלה
72,אפס סובלנות להכחשת או הצדקת אלימות בכלל ואלימות מינית בפרט
73,
74,
75,
76,
77,日本の法律や判例で禁止されてることはダメですただし親告罪は関係者からの通報がない場合は黙認する場合があります
78,ネット上のアバターを含む実在する人格へのなりすましを禁止します
79,サーバ運営を妨害する行為はダメですこれはアカウント大量作成無差別フォロー無差別ブースト無差別ファボを含みます
80,gdpr免責 あなたがデータを削除したい場合我々は可能な範囲で対応しますしかし連合先のサーバ上のデータの削除について完全な責任を持つことは非常に困難ですこれはeuのgdprに厳密には適合しませんユーザはこれに同意した上でアカウントを作成したものとみなします
81,公開tlからのサイレンス対象セールス政治活動宗教勧誘seo目的の投稿が多い人公開tlに自動投稿するボットオカルトやスピリチュアルや愚痴ばかり書いて住民からの呼びかけにはほとんど答えない人アバターアイコンや名前が食事時に見たくない感じの人その他管理者が公開tlに不適切であると判断したアカウントはサイレンス凍結停止などの処置を行う場合があります
82,年齢が14歳未満のユーザはこのサーバを利用できません
83,sei immer freundlich und höflich behandle andere mit respekt grundsätzlich gilt dass verstöße gegen das deutsche und eurecht auch hier nicht erlaubt sind
84,belästige und beleidige niemanden und unterlasse persönliche angriffeweder allein noch als gruppe das veröffentlichen oder die androhung von veröffentlichung von personenidentifizierenden informationen doxing wird als belästigung ausgelegt
85,die nutzung oder befürwortung von rassistischer sexistischer homophober transphober behindertenfeindlicher und anderweitig diskriminierender oder hasserfüllter sprache wird nicht geduldet
86,nachgewiesene falschinformationenfakenews inkl verschwörungstheorien sind hier unerwünscht dazu gehört auch sich als eine andere zb prominente person auszugeben und in deren namen zu posten das recht auf freie meinungsäußerung endet dort wo gesetze gebrochen werden
87,werbung wird ausschließlich als klar ersichtliche ausnahme toleriert dh nur in dem spezialfall dass ein nutzer hier üblicherweise beiträge mit nicht werbenden hauptinhalten veröffentlicht im sinne aller nutzer können adminseitig ausnahmen mit sponsoren zur kostendeckung vereinbart werden
88,verbreitung auch teilen insbesondere von äußerungen die faschistischem oder dem sog qanonumfeld zuzurechnen sind führt ohne distanzierung davon unter berücksichtigung sonstiger postings des jeweiligen users ggf zur sofortigen unwideruflichen löschung des verbreitenden userkontos
89,beiträge die nicht in lateinischen buchstaben verfasst sind werden nur ausnahmsweise geduldet in jedem fall werden in größerer zahl am stück auftretende beiträge in anderen buchstaben ggf ohne inhaltliche prüfung gelöscht da ihre moderation nicht zumutbar ist
90,posts in form von linklisten die als werbung anzusehen sind werden gelöscht accounts die als erste oder einzige posts solche listen enthalten werden ohne vorwarnung gesperrt
91,no accounts of casino bitcoin lotto or any gambling else no accounts of noneuropean language non latin letters will be apperoved any spamming accounts are deleted immedetely
92,all registrations of users using noneuropean letters will be deleted immediately
93,all registrations of bet platforms or any other spam platforms esp vietnamese thai chinese russian will be deleted immediately
94,all obviously onlycommercial registrations obviously without any benefit for the community will be deleted immediately
95,日本向けであり日本語以外で利用された場合スパムとの区別ができないのでアカウントが削除されることがあります
96,当サーバーが不適切であると判断した場合予告なくアカウントの削除が行われる場合があります
97,権利侵害はダメです
98,法律に違反するのは当然ダメです
99,あなたが投稿した内容はだれでもコピーできます
100,公序良俗国内法に反する投稿犯罪に加担するような投稿はやめましょう
101,荒らしは放置が基本です ブロックやミュートも活用しましょう
102,新規さんは宝です率先して囲みましょう
103,強い言葉は争いの種になることがあるので慎重にcwも活用しましょう
104,スプラトゥーンを楽しみましょう
105,ケモノ系に理解があればどなたでも歓迎です
106,自由に発言してくださいただし迷惑を掛けたり不快感を与える投稿をしないでください
107,適切なcwやnsfwの設定をしてください
108,日本国の法律に従ってください
109,code of conduct all members of the wandering shop agree to read and abide by our code of conduct these rules summarize the code of conduct coc for reporting purposes if reporting something that violates the coc in a way not listed in these rules select this option
110,harassment threats or aggressive behaviour are not permitted inciting actions against others including in retaliation is not permitted this includes but is not limited to encouraging selfharm or sharing personal information that could result in an individual being targeted
111,wandering shop does not tolerate promotion of fascist white supremacist violent or hateful ideology or symbolism this includes but is not limited to holocaust denial nazi symbolism and antitrans misogynistic antisemitic andor racist harassment including in usernames avatars and profiles
112,wandering shop does not permit the willful or persistent promotion of misinformation disinformation or conspiracy theories this includes but is not limited to bigoted conspiracy theories and misinformation about elections and vaccines
113,on public timelines wandering shop does not permit graphic sexual violent or otherwise disturbing images without a contentmedia warning also not permitted gratuitous advertising spam and crosspostingautomated posting of content that is irrelevant or disruptive
114,wandering shop does not permit sustained disruption of conversation including on the local timeline in hashtags or in replies only use tags that are relevant to your posts and do not disrupt conversation with excessive tags or replies if you are asked to leave someone alone leave them alone
115,スパムはおことわりno spam
116,パスワードの使い回しは厳禁dont reuse passwords
117,みんな仲良くlets all be friends
118,서로 사이좋게 지내세요
119,다른 사람을 괴롭히거나 상처를 주지 마세요
120,다른 사람의 취향을 존중해주세요
121,성적 묘사 잔혹한 표현 등 다른 사람이 불쾌감을 느끼거나 논란이 될 수 있는 게시물을 cw 없이 작성하지 마세요
122,日本国内の法律に違反する行為
123,公序良俗に反する行為
124,他者への誹謗中傷
125,他者の著作物を無断転載
126,サーバへの極端な負荷は禁止
127,act like an adult this is not a catch all for reporting content that you dont want to see
128,no illegal content
129,post only safe for work content and dont follow nsfw accounts as it pollutes the global feed
130,
131,
132,法に触れる行為や医療行為をしない
133,名指しするしないに関わらずインスタンスの関係者に攻撃的な発言をしない
134,自傷の画像を含む写実的な暴力描写および成年向けに該当するコンテンツを投稿しない
135,botによる自動投稿botと間違われるような同じ内容の連続投稿を行わない
136,インスタンス内のトゥートのテキストやスクリーンショットをユーザーの許可なく転載利用しない
137,不快に感じたユーザーにはブロックミュートによる対応を原則とし過度の反応や報復行為を行わない
138,登録するメールアドレスは管理人からのメールが受信して確認できるものを使用する
139,その他管理人から本サーバーの利用に関して指示があった場合には従う
140,no use of violence threats of violence or violent language directed against another person
141,no harassment defined as continuing to interact with or post about another person after having been asked to stop including but not limited to unwelcome sexual attention deliberate intimidation stalking and dogpiling
142,no offensive harmful or abusive comments or insults particularly in relation to diverse traits as referenced in our values
143,always use content warnings cws when sharing content that is likely to be distressing or hurtful to others should require consent to view includes discussions or depictions of violence sexually explicit material andor common pt triggers includes flashing or rapidly changing images
144,no posting of personally identifiable information about others doxing
145,no posting of sexual material that is without consent
146,no posting of sexual material that depicts individuals appearing to be under age 18 including loli
147,no excessive frequent promotions of a product or service ie spam
148,no material that promotes bigotry including fascist racist misogynistic homophobic or transphobic content
149,respect norms as described in socialcoops code of conduct here httpswikisocialcoopwikicode_of_conduct
150,no racism sexism homophobia transphobia ableism etc
151,no serious dishonesty that is hurtful to others eg falsely representing oneself as a member of a minority services offering to write academic papers to help students cheat vaccine denialism predatory conferences or journals overt pseudoscience such as flateartherism etc
152,no spam
153,no impersonating other people
154,no harassment of any kind
155,no bots or institutional accounts operated by nonmembers scholar social is for individuals
156,no automated crossposters from twitter rss etc on public privacy setting includes other 3rd party timed posting platforms
157,no providing unsolicited advice to strangers
158,no undescribed images or video on public privacy setting
159,no shortened links eg bitly tly googl ifttt lnkdin isgd or tco these are malicious because linkshorteners track users without their consent and obscure the destination address which also prevents users from being able to decide whether they want to visit the link beforehand
160,no advertisements or apologia for cryptocurrencies nfts or multilevel marketing schemes
161,no police officers military or employees of any law enforcement or intelligence agency
162,no advertising of commercial goods and services
163,no automated cross posting from twitter rss etc
164,no spam
165,no harassment racism sexism homophobia transphobia ableism etc
166,no bots other than those used by the site administrators to support the community
167,no impersonating other people
168,descriptions required for images and video alt tag unless participating in a scavenger hunt course activity
169,in the event of a dispute site administrators decisions are made on a good faith basis but are final
170,we do not accept racism in all its forms incl hate against muslims antisemitism apartheid and casteism see our terms of service for our complete definition
171,we do not accept hate against lesbians gays bisexuals pansexuals transgenders nonbinary people intersexual people queer people in general etc
172,sexism misogyny and hate against black women misogynoir
173,we do not accept ableism incl covid19 denialdownplaying and antivax and bodyshaming
174,we do not accept harassment and trolling
175,we also do not accept other forms of hate speech
176,we do not accept sexual abuse of minors adults and animals also not virtual
177,we do not accept glorification of violence calls for murder death threats terrorism and militarism
178,we do not accept neocolonialism incl zionism imperialism in all forms and nationalism above all nationalism of nation states incl flagssymbols of those on todon see our terms of service
179,we do not accept fascism rightwing populism and rightwing and religious extremism
180,we do not accept evangelisation and other forms of religious propaganda local only and extreme sects and cults
181,we do not accept marxistleninists stalinists maoists etc or other followers of extreme authoritarian so called communistsocialist ideologiesregimes aka tankies
182,we do not accept capitalists including so called anarchocapitalists aka ancaps and neoliberals
183,we do not accept anthropogenic climate change denial downplaying the climate crisis greenwashing and deceptive climate solutions like nuclear energy
184,we do not accept rightwing conspiracy theories hoaxes fake news and other forms of disinformation
185,another rule in our terms of service at wikitodoneutodonterms_en explain in the final step
186,illegal content under french and european law including offsite links is not permitted you are legally responsible for the content that you post
187,hate speech is not allowed this includes racism xenophobia lgbtphobia queerphobia fatphobia etc
188,be ponylike dont harass others and dont encourage it
189,to keep the timeline easytoread dont post spam messages or excessively shitpost
190,user accounts may not be used solely for advertising you can still register as a bronyfurry convention or meetup
191,if you would like to create a bot account please contact a moderator also these accounts are not allowed to interact with users unless directly mentioned
192,you may not use a disposable mail service to create an account
193,anything that depicts nudity pornography or anything not suitable for minors must use a content warning label sexual content depicting minors is forbidden
194,impersonation is prohibited parody accounts must state that they are
195,if you post someone elses content such as fanart please credit the original creator
196,inciting danger is prohibited this applies but not limited to finance and health for example cryptocurrencies are included in this ban
197,promoting organizations or ideologies that go against our rules is prohibited for example you cant promote a political party that incites hatred or harassment in case its not already clear if youre farright youll save time by registering elsewhere
198,multiaccounts are allowed as long as they are not used to circumvent a sanction or a user block when creating a new account please enter the name of your main account to help moderation
199,用户交流禁止发布对性取向性癖爱好信仰宗教政治立场民族地域等的侮辱性言论
200,用户交流禁止对任何用户发送具有骚扰猥亵恐吓威胁诱骗霸凌性质的内容不受欢迎的性暗示内容或其他令他人感到不安或不适打扰他人正常生活的内容
201,敏感内容只要涉及成人内容包括文字及媒体均需使用恰当的 cw 标签及隐藏内容警告
202,敏感内容请不要发布违反伦理及社会共识的成人内容如由真实的儿童参与制作的色情内容
203,使用行为禁止对其他用户实施任何人肉行为
204,使用行为禁止使用包括但不限于任何形式的自动化程序等手段大量获取本站的数据
205,使用行为机器人账户不得滥用服务器资源
206,使用行为禁止冒用他人身份注册账号或发布冒用他人身份的嘟文
207,使用行为禁止将本站服务用于正常交流以外的用途的滥用行为
208,使用行为禁止散布计算机恶意程序
209,广告及推广请不要推广虚假诈骗或违反本站服务条款的内容
210,广告及推广请不要发布重复推广内容或重复刷屏
211,广告及推广请不要发布与本站用户完全不相干的推广内容
212,知识产权请不要发布盗版内容
213,知识产权请不要在未经作者授权的情况下发布他人作品
214,新用户注册要求 请使用中文告诉我们加入本社区的理由请使用至少10个汉字描述理由人工审核将尽量在一周内完成如被批准您会收到一封欢迎邮件如没有按照上述要求填写注册会被拒绝
215,保护未成年 本站不给未成年人提供服务使用本站之前请确保您已经年满 18 周岁
216,respectez la loi française le serveur est hébergé en france et est soumis à la legislation française toute publication doit donc être conforme à cette législation
217,respectez les autres les propos discriminants racisme misogynie lgbtqiphobie grossophobie putophobie ou injurieux sont formellement interdits les appels au harcelement sont strictement interdits sans exception
218,contenus limités les contenus érotiques pornographiques ou choquants gore violence sont tolérés à condition dêtre marqués dun avertissement de contenu explicite la modération se réserve le droit de supprimer les contenus quelle estime excessifs
219,pédopornographie toute représentation sexualisée de personnes ou personnages mineurs ou dapparence enfantine est interdite
220,fausses informations la diffusion de fausses informations et la promotion de thèses complotistes ou antiscience sont interdites
221,contenus haineux tout propos prenant la défense de thèses dextrêmedroite racisme antiblanc hétérophobie ou de contenus propos ou comportements illégaux ou interdits par les règles de linstance est interdit
222,dropshipping et jeux dargent le dropshipping et la promotion des jeux dargents sont strictement interdits
223,comptes publicitaires tout compte faisant la publicité de produits ou services doit contenir dans sa présentation la mention ce compte fait la publicité des produits ou services commercialisés par nom de lentreprise
224,comptes dentreprises les comptes dentreprises doivent afficher un lien vers un site contenant les coordonnées de lentreprise dans ses mentions légales
225,partage de contenus toutes les règles précitées sappliquent au partage de contenu de tiers y compris provenant dautres instances le repost sans autorisation du travail dun tiers est interdit tout contenu tiers doit créditer son auteur ou autrice dorigine
226,signalements vous êtes priées de signaler tout contenu ne respectant pas ces règles en utilisant la fonction signaler de mastodon ne partagez pas de tels contenus pour les dénoncer vous vous exposeriez aux mêmes sanctions que les auteurices des contenus incriminés
227,sanctions le non respect des règles pourra entrainer des sanctions pouvant aller jusquà la suppression définitive du compte léquipe de modération appliquera la sanction de manière proportionnée en fonction de la gravité de linfraction et des antécédants de la personne visée
228,be pervy be kind we are a kinkpositive and sexpositive community though it says rubber in the name we welcome all types of risk aware consensual kink
229,no harassment or abuse racism misogyny transphobia homophobia or body shaming will not be tolerated
230,keep it legal no child pornography users are assumed to be 18 years old or otherwise legal to view sexual content in their jurisdiction
231,use content warnings or sensitive content flags since we federate with other instances please mark any media with exposed genitals as sensitive content or with a content warning no exposed genitals in your avatar or banner image please
232,use the promo hashtag on ads or commercial posts were excited for kink vendors to participate in our community that said wed like to keep it more of a flea market than a mall so that users can easily identify them posts promoting goods andor services must use the promo hashtag
233,accounts that flood with nonoriginal or thirdparty content will be silenced
234,signup approval approval required for signup for antispam purposes dont need much just enough to show youre not a spammer just a simple i like rubber works even
235,35 photo posts per day recommended to avoid overloading the timeline
236,no illegal content no porn underage revealing etc artistic portraits are fine admins decision is final
237,keep it civil best to avoid contentious political or religious debates there are other instances for that
238,absolutely no antivaxx conspiracy theory bullshit this isnt the place for it
239,images in your posts must be your own work ok to boost others though
240,generated ai art is not permitted without being clearly labelled as such and being hidden behind a cw content warning does not refer to ai tools used in processing eg topaz dxo lightrooms denoise tools etc
241,
242,
243,
244,
245,
246,
247,
248,
249,
250,
251,차별하지 마세요 성별 및 성 정체성 성 지향성 출신 지역 신체적 특성 장애 여부 등을 이유로 다른 사람을 차별하거나 혐오 발언을 하지 마세요
252,괴롭히지 마세요 다른 사람에게 나쁜 말을 하거나 겁주는 행위 압력을 가하는 행위 등으로 공포심을 일으키지 마세요
253,귀찮게 굴지 마세요 다른 사람에게 반복적일방적으로 멘션 혹은 dm다이렉트 메시지하거나 콘텐츠에 반복적일방적으로 반응하여 알림을 유발하는 등의 행위을 하지 마세요
254,속이지 마세요 다른 사람에게 특정 개인 또는 단체에 이로운 허위 정보를 주입하거나 사기를 치지 마세요
255,cw콘텐츠 경고 기능을 사용하세요 cw콘텐츠 경고를 적용하지 않은 채로 성적인 콘텐츠 및 과도한 욕설 등의 다른 사람으로 하여금 불쾌감을 유발할 수 있는 콘텐츠를 게시하지 마세요
256,언어 변경 기능을 사용하세요 콘텐츠의 내용과 일치하지 않는 언어를 선택한 채로 콘텐츠를 게시하지 마세요
257,seid freundlich jeder hier möchte respektvoll und freundlich angesprochen werden
258,keine fakenews bitte nur infos aus seriösen quellen teilen
259,kein rassismus homo oder transphobismus klassismus keine hetze gegen minderheiten religionszugehörigkeiten oder einzelne menschen grundsätzlich keine hetze kein hass gegen gruppen
260,keine kommerzielle werbung keine toots die ausschließlich darauf abzielen ein bestimmtes produkt oder eine bestimmte dienstleistung zu kaufen
261,keine pornographie keine gewaltverherrlichung
262,es no nazis neonazis estalinistas anarco capitalistas o cualquier derecha de cualquier arealugar en no nazis neonazis stalinist anarcho capitalist or right wing from any areaplace
263,es no capitalistas por elección vivimos en una sociedad capitalista pero nosotros no la apoyamos en no capitalist by choice we live in a capitalist society but we live on it does not mean we choose it
264,es no empleados de gobiernos policías o federales de cualquier naciónarea investigadores de seguridad o trabajadores para corporaciones noéticas en no government employees police or feds from any nationarea security researchers working for a unethical corporation
265,es no hackers vendidos o que no respetan la cultura y la ética hacker en no sell out hackers not respecting the hacker culture and ethics
266,es no cibercriminales el hacking no es robar solo los pringados hacen eso en no cyber criminals hacking is not about stealing only suckers do that
267,es no links de sitios con trackers y js malos como las gafam etc usa rrss alternativas o frontends alternativos como nitter individous en no links to sites with evil trackers and bad js sites like gafam etc use alternatives sm or alternative frontends like nitter individous
268,es no hablar mal sobre las minorías esta es una instancia lgtb friendly y un lugar seguro en no talking bad about minorities this is an lgbt friendly instance and a safe place
269,es evitar subir vídeos directamente en la instancia usa peertube o odysee y envía el link esto nos ayuda a tener la instancia activa ya que nos ayuda a salvar bastante espacio de almacenamiento
270,en avoid uploading videos directly in this instance use peertube or odysee and share the link here this helps us keep the instance active and saves us a lot of storage space
271,dont be a dick
272,sexually explicit or violent media must be marked as sensitive when posting
273,no incitement of violence or promotion of violent ideologies
274,no harassment dogpiling or doxxing of other users
275,no content illegal in germany
276,do not share false or misleading information that may lead to physical harm
277,no racism sexism homophobia transphobia xenophobia or casteism
278,
279,
280,
281,
282,
283,
284,
285,
286,
287,ブラウザーで httpsgensokyotown にアクセスして登録してください
288,東方projectファン向けの日本のmastodonサーバーですa mastodon server for touhou project fans in japan
289,we use our local timeline to chat about touhou project in japanese please consider this concept
290,just trying mastodon if so you should choose other general servers like mastodonsocial masto cim and so on rather than this touhouspecific one for your initial mastodon experience
291,日本語でmastodonに触ってみたいだけの場合東方に特化したこのサーバーよりは mstdnjp や best friends のような一般サーバーをお勧めします
292,dont be a dick being nice to each other is the most important rule of this instance
293,dont post stuff you dont have the rights to without permission this is a creatorfriendly instance
294,hywel is running this instance out of his own pocket for bdsm models producers and fans if you dont like the way this instance is run start your own thats what mastodon is for
295,if you post illegal stuff youre out
296,please mark not safe for work nsfw content with the eye button for images and the cw button for text it is important to do both for every post so vanilla users on other instances know what they are getting
297,
298,
299,
300,
301,
302,
303,
304,
305,
306,
307,
308,
309,não quebre as leis brasileiras
310,tome responsabilidade pelas postagens feitas em sua conta e também por outras contas feitas por você
311,atitudes preconceituosas ou propositalmente irritantes não serão toleradas
312,não provoque brigas eou invasões online raids
313,utilize avisos de conteúdo para falar de assuntos como personalidades da política violência sexo abuso assédio suicídio eugenia epidemias incesto álcool drogas e spoilers de mídia recente veja detalhes na versão completa das regras
314,só faça contas automatizadas eou feitas para propagandear com a permissão da administração
315,não reposte mídia sem a permissão de quem criou mesmo ícones de perfil precisam ser creditados a quem desenhoueditouetc
316,não se registre caso você tenha menos de 16 anos caso você tenha menos de 18 não faça ou interaja com postagens sobre sexo fetiches parafilias ou outros assuntos inapropriados caso você tenha 18 anos ou mais não envie este tipo de conteúdo para menores de idade
317,leia a versão completa das regras abaixo ou em httpscoloridesaboutregras read our complete rules including english translations below or at httpscoloridesaboutrules
318,no speech which replicates and reinforces oppressive power structures by offending the dignity of people along the basis of socioeconomic class or occupation race ethnicity migratory status linguistic group religion sexual orientation gender physical or mental health
319,no behaviour which contravenes the law of the jurisdiction of our server france
320,no 𝙧𝙚𝙥𝙚𝙖𝙩𝙚𝙙𝙡𝙮 advocating or defending capitalism including the wage system rentseeking and private property
321,no advertising recruiting or otherwise soliciting on behalf of andor for private forprofit companies this applies to any soliciting with or without the collaboration of such companies
322,no posting lewd images without a content warning use common sense
323,no threatening the integrity of the server with malicious software or behaviour spam ddos phishing etc
324,no harassing other users on the fediverse eg dogpiling unwanted interactions or doxxing
325,nudité pornographie ou autre matériel explicite sans avertissement de contenu ou cw et description appropriée
326,sang ou extrême violence sans avertissement de contenu et description appropriée
327,publicité excessive quelle soit manuelle ou automatisée
328,poster tout et nimporte quoi de sources tierces telles que de sites dactualités
329,racisme ou plaidoyer pour le racisme
330,sexisme ou plaidoyer pour le sexisme
331,discrimination à lencontre des minorités de toute nature ou plaidoyer en faveur dune telle mesure
332,nationalisme xénophobe etou violent ou plaidoyer de celuici
333,parler ou harceler dautres utilisateurs ou encourager dautres utilisateurs à le faire
334,doxing cestàdire agréger afficher ou diffuser les données privées dun utilisateur ou encourager dautres personnes à le faire sans leur permission expresse
335,brigading ou dogpiling cestàdire engager continuellement un autre utilisateur dans une conversation ou une discussion après que ledit utilisateur a demandé que cet engagement sarrête
336,des représentations explicites denfants
337,contenu illégal en suisse tel que les discours de haine
338,promotion de lidéologie du nationalsocialisme
339,limiter laccès dautres utilisateurs dégrader les performances de cette instance
340,you must be 18 to join
341,dont be an asshole
342,all not safe for work contentnsfwnudityexplicit content must use the term nsfw in the cw field and be hidden in public toots avoid setting your banner and icon to sexually explicit content since those cannot be cwd
343,posting illegal content will result in an immediate ban the definition of illegal content is based on us laws
344,no posting of suggestivensfw content depicting minors or cub art on this instance
345,no hate material transphobia or discrimination of any kind will be tolerated on this instance
346,any instances primarily hosting or refusing to moderate section 6 content will be blocked from federating
347,these rules are subject to being amended and updated at any time without notice
348,please review our extended code of conduct andterms of service for more information at httpsyifflifeterms
349,no illegal content is allowed on the server and sharing such content will result in an immediate suspension
350,hate speech is not tolerated this includes but is not limited to racism sexism homophobia transphobia classism ableism etc please report any hate speech encountered
351,centrist and rightwing politics are not allowed the politics of hate and tolerance of hate have no place on this instance and any discussion of these policies framed in a positive light will result in the user being silenced
352,do not misuse the report system only report dangerous content pertaining to the rules above do not create frivolous reports for disagreements over discourse or leftist politics
353,posts containing nsfw content or content that users may not wish to engage with must be tagged with the content warning feature
354,sexually explicit or violent media must be marked as sensitive when posting
355,no racism sexism homophobia transphobia xenophobia or casteism
356,no incitement of violence or promotion of violent ideologies
357,no harassment dogpiling or doxxing of other users
358,no content illegal in germany or france
359,sexually explicit or violent media must be marked as sensitive when posting
360,no racism sexism homophobia transphobia xenophobia or casteism
361,no incitement of violence or promotion of violent ideologies
362,no harassment dogpiling or doxxing of other users
363,no content illegal in germany
364,do not share intentionally false or misleading information
365,dont be an ass
366,dont be a hole
367,dont be an asshole
368,no loli shit
369,you start shit you get kicked no exceptions no refunds
370,not a place for bigots start shit get kicked
371,report and block buttons are right there under three dot menu for every post do your part
372,clearly content warn 18 content politics drugs legal or otherwise slurs ableist language and other commonly tagged things
373,no content thats illegal in the us eu or germany
374,dont be a dick racist transphobic ableist etc
375,no one wants to hear about your business no nonpersonal ads
376,adminsmods reserve the right to do whatever we see fit
377,keep it civil this is a community for socializing and having fun not hurting each others feelings
378,no spam
379,no content illegal in the us
380,no doxxing
381,report people breaking rules
382,no nsfw avatar
383,mark nsfw content as sensitive
384,be excellent to each other be polite and respect everyone everyone is welcome to this instance libretooth is a safe place for all people regardless of age gender class sexual orientation appearance
385,in order to make libretooth a welcoming and safe place for everyone we are intolerant towards intolerance toxic or poisonous content behaviour that crosses the line into abuse and harassment is not welcome to this instance
386,forprofit commercial content is also not allowed whether its from spam bots or business accounts
387,
388,
389,
390,
391,we suggest using your radio callsign as your username if you dont have one yet plan to change it soon want to avoid doxing or just enjoy listening thats ok too
392,please be respectful of others their age gender sexual orientation gender identity background preference for transistors over vales etc are all _not_ reasons to be a twit
393,anyone is welcome to report inappropriate behaviour they will be listened to and action will be taken this will be anything from a warning to banning moderation decisions will be made using the paradox of tolerance
394,expect anything you post on mastodonradio to be public including direct messages that way you can never be surprised or embarrassed
395,any images or videos uploaded to mastodonradio _must_ have an appropriate textual description if you need help with this please ask
396,your right to free speech does not supersede my right to call you out and kick you out for being a dick
397,no spam no commercial advertising occasional personal listings are ok no sexually explicit or violent media yes that includes pictures of your gun no threats of violence
398,no illegal content this server is hosted in uk
399,when apply for an account if youve actually read these rules please end your why do you want to join with the phrase hippo cornflakes
400,keine belästigung stalking doxxing
