,rules
145,any content that introduces or instigates suicide sales or provides lethal substances antipersonnel weapons and methods of making them which may endanger the personal safety of other users are prohibited
146,no content that violates the law of japan and your nation is allowed
147,use the content warning cw switch for any possible sensitive nsfw content or anything that might make others uncomfortable to avoid troubles for other users
148,please note that activitypub network is not anonymous any data may be public accessible or be provided to law enforcement agencies under proper legal framework
149,please no politic conversations
150,accounts posting large amount of adult content or posting mainly adult content are not welcomed
151,administrators reserve the final right to judge whether any given content is appropriate or not
152,behave according to the laws of japan 日本の法に従ってください
153,any discrimination is not allowed いかなる差別も許容しません
154,spoilers pornography violence etc should be marked sensitive when posting ねたばらしポルノグラフィ暴力などはcwnsfwしてね
155,we do not welcome sexually explicit content エロ系の内容はあんまり歓迎しません
156,see the guideline for more detail 詳しくはガイドラインを見てね
157,babilu esperante
158,ne estu anusuloj
159,ne forgesu la akuzativon
160,no discriminatory behaviour and content promoting or advocating the oppression of members of marginalised groups
161,no threatening behaviour stalking doxxing mobbing including namecalling intentional misgendering or deadnaming
162,no harassment including brigading dogpiling or any other form of contact with a user who has stated that they do not wish to be contacted
163,no conspiracy narratives nationalist propaganda reactionary myths nazi symbolism or promoting the ideology of national socialism
164,do not publish private conversations except to the moderation team if you need to report them
165,no corporate accounts no excessive advertising no bots or automated crossposters from other networks
166,use content warnings cw for sexually explicit or violent media and other content that might be common triggers
167,no illegal content abide by laws
168,you agree to our complete code of conduct tootsiabout
169,アダルトr18コンテンツの制限 当サーバーではnsfwメディアの閲覧注意cwcontent warningの付いていないアダルトr18コンテンツの投稿を認めておりません 必ず適切に設定をしてください
170,迷惑行為の禁止 サーバーへの負荷行為他者への迷惑行為を禁止します その他上記ルールに問わず国内法に反する投稿はすべて投稿削除アカウント停止対象となります
171,使い捨てメールアドレスでのアカウント作成の禁止 使い捨てメールアドレスなど基本的に永続的に所有権のないメールアドレスでの登録を禁止します
172,be civil polite and respectful in your posts and replies
173,read the full list of rules and acceptable behaviour and content standards these are available at httpsaboutscicommxyz
174,use the content warning cw feature for your posts when necessary if you are not sure do it anyway treat it like a subject header for your message more info httpsaboutscicommxyzdokuphpidinfocws
175,avoid crossposters wherever possible if you do use a crossposter then be sure to maintain regular direct engagement with your account here more info httpsaboutscicommxyzdokuphpidinfoabout_bots
176,no language or imagery which is spam or advertising harassing pornographic violent xenophobic nationalistic racist sexist homophobic transphobic ableist or otherwise discriminatory
177,no bots this instance is for humans only more info httpsaboutscicommxyzdokuphpidinfoabout_bots
178,include an image description to all images the description should describe the content of the image more info httpsaboutscicommxyzdokuphpidinfoimage_descriptions
179,do not use url shortening services always include the full url in your posts copied from the address bar of your browser all urls count as 23 characters in your post regardless of their length long or short more info httpsaboutscicommxyzdokuphpidinfourl_shorteners
180,you will not conduct bulk recording or archiving of material from this instance without specific written consent from all users and the administration and moderation team ie do not scrape this instances data
181,important read me before you proceed please visit httpsaboutscicommxyzdokuphpidnewaccounts to understand our account registration and approval process if you do not understand the process then your account request may be rejected
182,みんな仲良く
183,beteilige dich authentisch und aktiv dadurch trägst du zur gesundheit und langlebigkeit dieser community bei
184,verhalte dich rücksichts und respektvoll in wort und tat
185,bemühe dich um zusammenarbeit damit du konflikte von anfang an vermeiden kannst
186,nimm abstand von erniedrigender diskriminierender oder belästigender sprache und verhalten
187,achte auf deine umgebung und die anderen teilnehmenden mache die admins darauf aufmerksam wenn du eine gefährliche situation jemanden in bedrängnis oder verletzungen dieses verhaltenskodexes bemerkst selbst wenn sie zunächst belanglos erscheinen
188,bot accounts are generally not permitted ask first
189,chinwag is for people not brands sign up as yourself not your project
190,dont upset the regulars the longer youve been here the more slack you get
191,no harassment or bullying allowed ever
192,were not prudes but dont get overly sexual without content warnings
193,were mostly australians and dont fucking care if you swear a bit
194,see httpsbsdnetworkterms
195,
196,
197,
198,please see the rules here httpsglaceonsocialaboutmore
199,respect the selfidentity experiences and personhood of others all kinds of plurality are welcome here as are all kinds of headmates keep in mind that others may not use the same language that you do
200,bigotry hatred and oppression have no place here exclusionary rhetoric eg asexual exclusion is also not welcome terfs swerfs white supremacists and cops can fuck right off
201,harassment trolling flaming impersonation and other kinds of abuse are not allowed please treat someone blocking one headmates account as a block of your whole system also keep in mind that public gossip subtoots may cross the line into harassment
202,use content warnings for posts about sex kink and genitals preferably more specific than nsfw please also use content warnings for common triggers longer list in about
203,no loli shota or kodocon or otherwise sexualized images of minors even if fictional
204,no spam no corporate advertisements selfpromotion is welcome please feel free to advertise your commission slots or donation link or personal work
205,dont get us into legal trouble this includes for example being under 13 years of body age full service sex work credible threats of violence doxxing selling illegal drugs
206,dont try to take advantage of the rules to harm others
207,glammrus is a space for folks interested in productive conversation about well galleries libraries archives museums memory work and records
208,we want this to be a fun pleasant and harassmentfree experience for everyone regardless of gender gender identity and expression sexual orientation disability physical appearance body size race or religion
209,we do not tolerate harassment of participants in any form participants asked to stop any harassing behavior are expected to comply immediately if someone asks you to leave them alone leave them alone
210,
211,
212,
213,httpsgoconshtootssocialinvite
214,o que queremos queremos que este seja um espaço de contacto partilha e divulgação de informação entre pessoas e coletivos de iniciativas acções e lutas
215,sejam fixes unxs com os outrxs
216,ter respeito pelxs outrxs e as suas sensibilidades no debate e troca de ideias lá só porque tu podes ser mais caceteiro ou não numa discussão não quer dizer que outrxs o também sejam ou se sintam bem com isso
217,não aceitamos racismo sexismo lesbigaytransfobia autoritarismo fascismo quaisquer formas de assédio ou opressão
218,apologia a senhorios
219,divulgação de conteúdos com fins lucrativos
220,you must be 18 years of age or older no exceptions will be granted for age of consent or similar for your region if discovered a minor your account will be suspended
221,no bigotry is permitted we do not tolerate hate speech of any kind including transphobia homophobia islamophobia or any other facet of ones being
222,be respectful treat others with respect assume good faith with everything text has limited ability to convey intent be kind with yours
223,nsfw or kinkdriven content must be behind a cw giving a short summary of the content eg nsfw art inflation while ensuring media is marked as sensitive
224,zero tolerance for attacks harassing other users whether on this instance or another is cause for immediate suspension of your account
225,copyrighted content may only be shared in fair use contexts basically if it would earn a dmca takedown request filed against us dont post it directly
226,take care in sharing sensitive information while the admins here simply dont have the time nor interest to pry in the database law enforcement could still have access as your messages are not encrypted at rest same as nearly all other platforms when in doubt use a private messaging platform
227,we believe in cyberanarchism and like any good oldfashioned anarchist collective we look out for each other therefore we will not tolerate behaviors resembling sexism nationalism racism homophobia transphobia ableism harassment doxxing you probably get the picture
228,content warnings are nice please use them when appropriate as an example posts about food violence or mental health issues should be tagged if in doubt use them people that do not want to see cws can toggle them off in their settings
229,if you use automated posts bots twitter crossposts etc please post them unlisted not appearing in the local timeline still visible to everyone social media is about interaction so we like to have some of that in our local timeline too
230,we do not like twitter please avoid links to birdside if we wanted to see it we had an account over there
231,oh and because were not really huge fans of this whole capitalism thing no ads for stupid stuff thanks
232,please use the why do you want to join box to let us know why do you want to join our instance and to convince us that youre human or a nice nonhuman to make it easier for us to filter spam registrations please also tell us about your favorite forest creature
233,be excellent to each other jwvgoethe 1932 citation needed
234,expectations for thoughtworkers using mastodon are set out in the thoughtworks code of conduct
235,sexually explicit or violent media must be marked as sensitive when posting
236,no racism sexism homophobia transphobia validism xenophobia or casteism
237,no incitement of violence or promotion of violent ideologies
238,no harassment dogpiling or doxxing of other people approach people with politeness and precaution if someone asks you to stop mentioning them or expresses their wish to be removed from a conversation stop immediately and remove them from the discussion
239,no content illegal in france
240,do not share intentionally false or misleading information
241,any reversal of systemic oppression is forbidden examples racism against whites sexism against men heterophobia cisphobia etc
242,content created by others must be attributed and use of ai must be disclosed profiles that only post aigenerated content will not be tolerated
243,use welcoming and inclusive language
244,respect differing viewpoints and experiences
245,gracefully accept constructive criticism
246,focus on what is best for the community
247,show empathy towards other community members
248,no sexualized language imagery or unwelcome sexual attention or advances
249,no trolling insultingderogatory comments or personalpolitical attacks
250,no public or private harassment
251,do not publish others private information such as a physical or electronic address without explicit permission
252,do not engage in conduct which could reasonably be considered inappropriate in a professional setting
253,do not post image video or audio with public visibility without providing a media description
254,understand and follow the full community code of conduct httpsflosssocialabout
255,dont be an asshole
256,be welcoming
257,be respectful
258,use content warnings and sensitive image tools
259,try to report problems using the report button
260,read and abide by the spirit of our code of conduct
261,you agree to the lurk terms of service by using lurk you agree to first read and stick to our tos httpslurkorgtostxt
262,help keep sealions at bay lurk is here for discussions also the difficult ones however for particularly baity topics including cryptocurrency nft vimemacs and outrage_of_the_day please use the localonly function to prevent attracting bad faith actors from across the network
263,keep the local timeline accessible and tidy local tl is our only truly shared space make toplevel posts public and subsequent posts in the same thread unlisted unless they are very important or updated at slow pace across time like a slowly updated research log or slowly built collection
264,t2f crossposting is spammy f2t is praxis no twittertofediverse cross postinghowever feel free to do fediversetotwitter
265,help avoid hellthreads if there is a discussion with many participants tagged and some are no longer answering consider untagging them especially when the discussion veers off in a completely different direction or when participants request you to do so
266,make use of content warnings mastodon has a strong culture of using those especially with regards topics such as suicide selfharm abuse mental health and the latest twitter or political outrage however they are also useful to for example summarize longer posts
267,help make this space more accessible use the available accessibility tools for instance to provide a summarydescription for images yes even for your obscure memes
268,be a kind host if you make use of your invites to get new people to lurk you are their point of contact show them around introduce them to others who they might connect with and make sure they feel at home and make other lurkers feel at home as well
269,no harassment no discrimination bigotry racism ableism or other forms defined in the coc
270,no law enforcement members of law enforcement are not welcome here
271,content warnings on sensitive images as detailed in the coc
272,dont break the law here
273,outsourced math llc friendica social terms of service
274,last updated wednesday february 6 2019
275,
276,1 terms
277,by accessing the website at httpssocialoutsourcedmathcom you are agreeing to be bound by these terms of service all applicable laws and regulations and agree that you are responsible for compliance with any applicable local laws if you do not agree with any of these terms you are prohibited from using or accessing this site the materials contained in this website are protected by applicable copyright and trademark law
278,
279,2 use license
280,a permission is granted to store and retrieve your own files and information as well as use the communications features and other media streaming services on the outsourced math llc friendica social server for personal noncommercial purposes only this is the grant of a license not a transfer of title and under this license you may not
281,i modify or copy the materials of the system or that of other users
282,ii use the materials for any commercial purpose or for any public display commercial or noncommercial
283,iii attempt to decompile or reverse engineer any software contained on the outsourced math llc friendica social server or the other systems it runs on
284,iv remove any copyright or other proprietary notations from the materials or
285,v transfer the materials to another person or mirror the materials on any other server
286,vi do anything that is or appears to be of a criminal nature or even act in the capacity of an accomplice to an actual or simulated criminal act or even store evidence of any criminal act on the system
287,b this license shall automatically terminate if you violate any of these restrictions and may be terminated by the outsourced math llc friendica social server at any time upon terminating your viewing of these materials or upon the termination of this license you must destroy any downloaded materials in your possession whether in electronic or printed format
288,
289,3 disclaimer
290,a the materials on the outsourced math llc friendica social server are provided on an as is basis the outsourced math llc friendica social server makes no warranties expressed or implied and hereby disclaims and negates all other warranties including without limitation implied warranties or conditions of merchantability fitness for a particular purpose or noninfringement of intellectual property or other violation of rights
291,b further the outsourced math llc friendica social server does not warrant or make any representations concerning the accuracy likely results or reliability of the use of the materials on its website or otherwise relating to such materials or on any sites linked to this site it is up to the user to verify any and all claims made on this site with an independent source
292,
293,4 limitations
294,in no event shall the outsourced math llc friendica social server or its suppliers be liable for any damages including without limitation damages for loss of data or profit or due to business interruption arising out of the use or inability to use the materials on the outsourced math llc friendica social server even if the outsourced math llc friendica social server or an outsourced math llc friendica social server authorized representative has been notified orally or in writing of the possibility of such damage because some jurisdictions do not allow limitations on implied warranties or limitations of liability for consequential or incidental damages these limitations may not apply to you
295,
296,5 accuracy of materials
297,the materials appearing on the outsourced math llc friendica social server website could include technical typographical or photographic errors the outsourced math llc friendica social server does not warrant that any of the materials on its website are accurate complete or current the outsourced math llc friendica social server may make changes to the materials contained on its website at any time without notice however the outsourced math llc friendica social server does not make any commitment to update the materials
298,
299,6 links
300,the outsourced math llc friendica social server has not reviewed all of the sites linked to its website and is not responsible for the contents of any such linked site the inclusion of any link does not imply endorsement by the outsourced math llc friendica social server of the site use of any such linked website is at the users own risk
301,
302,7 modifications
303,the outsourced math llc friendica social server may revise these terms of service for its website at any time without notice by using this website you are agreeing to be bound by the then current version of these terms of service
304,
305,8 governing law
306,these terms and conditions are governed by and construed in accordance with the laws of new york united states and you irrevocably submit to the exclusive jurisdiction of the courts in that state or location
307,
308,contacting us
309,if there are any questions regarding this privacy policy you may contact us using the information below
310,outsourcedmath friendica admin
311,206 harrogate square
312,amherst ny 142214046
313,united states
314,socialoutsourcedmathcom
315,
316,last edited on 20190206
317,
318,
319,
320,
321,
322,
323,
324,outsourcedmath social friendica server privacy policy at socialoutsourcedmathcom
325,last updated wednesday february 6 2019
326,
327,this privacy policy has been compiled to better serve those who are concerned with how their personally identifiable information pii is being used online pii as described in us privacy law and information security is information that can be used on its own or with other information to identify contact or locate a single person or to identify an individual in context please read our privacy policy carefully to get a clear understanding of how we collect use protect or otherwise handle your personally identifiable information in accordance with our website
328,
329,α what personal information do we collect from the people that visit our social networking communication and information sharing site
330,when registering on our site as appropriate you may be asked to enter your name email address mailing address phone number social media user ids or other details to help you with your experience
331,at the time of registration and for providing communications between the user account and their contacts the user has to provide a display name pen name a username nickname and a working email address the names will be accessible on the profile page of the account by any visitor of the page even if other profile details are not displayed the email address will only be used to send the user notifications about interactions but wont be visibly displayed the listing of an account in the nodes user directory or the global user directory is optional and can be controlled in the user settings it is not necessary for communication
332,this information is required for communication and is passed on to the nodes of the communication partners and is stored there users can enter additional personal information that may be transmitted to the communication partners accounts
333,at any point in time a loggedin user can export their account data from the account settings if the user wants to delete their account they can do so at httpsocialoutsourcedmathcomremoveme the deletion of the account will be permanent deletion of the data will also be requested from the nodes of the communication partners
334,
335,β when do we collect information
336,we collect information from you when you register on our site respond to a nonanonymous survey fill out a form specific to your identity use live chat or enter information on our site provide us with feedback on our products or services
337,
338,γ how do we use your information
339,we may use the information we collect from you when you register respond to a survey surf the website or use certain other site features in the following ways
340,to personalize your experience and to allow us to deliver the type of content and product offerings in which you are most interested
341,to allow us to better service you in responding to your customer service requests
342,to send periodic emails regarding your usage or other products and services
343,
344,δ how do we protect your information
345,we do use vulnerability scanning andor scanning to pci standards we only provide storage of your content and other information streams we never ask for credit card numbers we use regular malware scanning
346,your personal information is contained behind secured networks and is only accessible by a limited number of persons who have special access rights to such systems and are required to keep the information confidential in addition all sensitive information you supply is encrypted via secure socket layer ssl technology
347,we implement a variety of security measures when a user enters submits or accesses their information to maintain the safety of your personal information
348,
349,ε do we use cookies
350,yes cookies are small files that a site or its service provider transfers to your computers hard drive through your web browser if you allow that enables the sites or service providers systems to recognize your browser and capture and remember certain information for instance we use cookies to help us remember and process the preferences you store they are also used to help us understand your preferences based on previous or current site activity which enables us to provide you with improved services we also use cookies to help us compile aggregate data about site traffic and site interaction so that we can offer better site experiences and tools in the future
351,we use cookies to
352,understand and save users preferences for future visits
353,you can choose to have your computer warn you each time a cookie is being sent or you can choose to turn off all cookies you do this through your browser settings since each browser is a little different look at your browsers help menu to learn the correct way to modify your cookies
354,if users disable cookies in their browser
355,some of the features that make your site experience more efficient may not function properly
356,thirdparty disclosure
357,we do not sell trade or otherwise transfer to outside parties your personally identifiable information
358,thirdparty links
359,we do not include or offer thirdparty products or services on our website
360,google
361,googles advertising requirements can be summed up by googles advertising principles
362,they are put in place to provide a positive experience for users
363,httpssupportgooglecomadwordspolicyanswer1316548hlen
364,we do not use google adsense advertising on our website
365,we have implemented the following
366,california online privacy protection act
367,caloppa is the first state law in the nation to require commercial websites and online services to post a privacy policy the laws reach stretches well beyond california to require any person or company in the united states and conceivably the world that operates websites collecting personally identifiable information from california consumers to post a conspicuous privacy policy on its website stating exactly the information being collected and those individuals or companies with whom it is being shared see more at httpconsumercalorgcaliforniaonlineprivacyprotectionactcaloppasthash0fdrbt51dpuf
368,according to caloppa we agree to the following
369,users can visit our site anonymously
370,once this privacy policy is created we will add a link to it on our homepage or as a minimum on the login page for entering our website
371,our privacy policy link is identified by the words terms of service and can easily be found on the httpssocialoutsourcedmathcom page by clicking the question mark icon at the top right corner of the site
372,you will be notified of any privacy policy changes
373,via email or an affirmation window during normal use of the sites services or via the tos page at this link httpssocialoutsourcedmathcomtos
374,you can change your personal information
375,by logging in to your account and editing via the profile subtab of your home tab
376,by chatting with us or by sending us a support request via email
377,
378,ζ how does our site handle do not track signals
379,we honor do not track signals and do not track plant cookies or use advertising when a do not track dnt browser mechanism is in place
380,
381,η does our site allow thirdparty behavioral tracking
382,its also important to note that we do not allow thirdparty behavioral tracking
383,coppa children online privacy protection act
384,when it comes to the collection of personal information from children under the age of 13 years old the childrens online privacy protection act coppa puts parents in control the federal trade commission united states consumer protection agency enforces the coppa rule which spells out what operators of websites and online services must do to protect childrens privacy and safety online
385,we do not specifically market to children under the age of 13 years old
386,we do not let thirdparties including ad networks or plugins collect pii from children under 13
387,
388,θ fair information practices
389,the fair information practices principles form the backbone of privacy law in the united states and the concepts they include have played a significant role in the development of data protection laws around the globe understanding the fair information practice principles and how they should be implemented is critical to comply with the various privacy laws that protect personal information
390,in order to be in line with fair information practices we will take the following responsive action should a data breach occur
391,we will notify you via email
392,we will notify the users via insite notification within 1 business day of our discovery of the breach
393,we also agree to the individual redress principle which requires that individuals have the right to legally pursue enforceable rights against data collectors and processors who fail to adhere to the law this principle requires not only that individuals have enforceable rights against data users but also that individuals have recourse to courts or government agencies to investigate andor prosecute noncompliance by data processors
394,
395,ι canspam act
396,the canspam act is a law that sets the rules for commercial email establishes requirements for commercial messages gives recipients the right to have emails stopped from being sent to them and spells out tough penalties for violations
397,we collect your email address in order to
398,send information respond to inquiries andor other requests or questions
399,send you additional information related to your use of our service
400,to be in accordance with canspam we agree to the following
401,not use false or misleading subjects or email addresses
402,identify the message as an advertisement in some reasonable way
403,include the physical address of our business or site headquarters
404,monitor thirdparty email marketing services for compliance if one is used
405,honor optoutunsubscribe requests quickly
406,allow users to unsubscribe by using the link at the bottom of each email
407,if at any time you would like to unsubscribe from receiving future emails you can email us at
408,socialoutsourcedmathcom
409,or follow the instructions at the bottom of each email and we will promptly remove you from all correspondence
410,
411,ω contacting us
412,if there are any questions regarding this privacy policy you may contact us using the information below
413,outsourcedmath friendica admin
414,206 harrogate square
415,amherst ny 142214046
416,united states
417,socialoutsourcedmathcom
418,
419,last edited on 20190206
420,be kind to others feel free to disagree but do so respectfully
421,actual attacks on the human dignity of another person such as harassment threats of violence racism intimidation physical appearance beliefs etc are not tolerated this does not include expressing longheld religious beliefs outside of the context of any specific individual
422,unjustly accusing another person of racism bigotry nazism and the like is an attack on their dignity and is unacceptable
423,disallowed content commercial messages all spam and anything that could be considered nsfw eg pornography
424,english is preferred but not required
425,no illegal in germany where this server is located harmful offensive or fraudulent content
426,no content in support of national socialism aka nazis
427,no copyrighted content or content that misappropriates the ip of others
428,no virusesmalwarecomputer harming things
429,no child pornography or jail bait
430,no accounts for the sole purpose of advertising scraping or spamming this includes corporate accounts exceptions may apply you may ask over email before signing up
431,no automatedbot accounts that post pornography porn bots from other instances are not blocked but they are not permitted to sign up locally
432,follow the instance code of conduct httpsenosmtownabout
433,have fun
434,お酒やコーラがまずくなるようなことはお控えくださいませ
435,本站不容挑戰的最高指導原則 本站很自由內容大多可以自由發揮只嚴禁將文字文件稱為 worddoc 或 docx或將試算表稱為 excelxls 或 xlsx或將簡報稱為 powerpoint ppt 或 pptx
436,請尊重所有使用者的立場 不論你認同的是中華民國還是台灣但它目前就是個主權獨立的國家
