,Unnamed: 0,instance,rule,preprocessed rules,lang,translated rules
10,16,mastodon.motcha.tech,禁止 : 特定の相手を傷付けるための投稿（差別等）,禁止 特定の相手を傷付けるための投稿差別等,non-Englsih,"Prohibition, post discrimination, etc. to damage a specific opponent, etc."
11,17,mastodon.motcha.tech,禁止 : ユーザーとサーバーに対する迷惑行為,禁止 ユーザーとサーバーに対する迷惑行為,non-Englsih,Nobody of prohibited users and servers
12,18,inari.opencocon.org,ダンスで,ダンスで,non-Englsih,In dance
13,19,inari.opencocon.org,アフロを,アフロを,non-Englsih,Afro
14,20,inari.opencocon.org,でかくしろ,でかくしろ,non-Englsih,Big
15,21,mstdn.hokkaido.jp,特にローカルルールはありませんが、日本国の法律と公序良俗を守ってご利用下さい。,特にローカルルールはありませんが日本国の法律と公序良俗を守ってご利用下さい,non-Englsih,"There are no local rules, but please use the laws and public order and morals in Japan."
16,23,toot.works,Sexually explicit or violent media must be marked as sensitive when posting,sexually explicit or violent media must be marked as sensitive when posting,English,sexually explicit or violent media must be marked as sensitive when posting
17,24,toot.works,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih,no racism sexism homophobia transphobia xenophobia or casteism
18,25,toot.works,No incitement of violence or promotion of violent ideologies,no incitement of violence or promotion of violent ideologies,English,no incitement of violence or promotion of violent ideologies
19,26,toot.works,"No harassment, dogpiling or doxxing of other users",no harassment dogpiling or doxxing of other users,English,no harassment dogpiling or doxxing of other users
20,27,toot.works,Do not share intentionally false or misleading information,do not share intentionally false or misleading information,English,do not share intentionally false or misleading information
21,28,toot.works,No content illegal in the USA,no content illegal in the usa,English,no content illegal in the usa
22,29,toot.works,No police or military organization accounts,no police or military organization accounts,English,no police or military organization accounts
23,30,toot.works,No Louisiana residents are allowed to create new accounts (due to Louisiana Act No. 440),no louisiana residents are allowed to create new accounts due to louisiana act no 440,English,no louisiana residents are allowed to create new accounts due to louisiana act no 440
24,31,vapers.jp,法律違反しない,法律違反しない,non-Englsih,Do not violate the law
25,32,vapers.jp,サーバー攻撃をしない,サーバー攻撃をしない,non-Englsih,Do not attack server
26,33,vapers.jp,18禁などにはちゃんと CW や NSFW を適切につける,18禁などにはちゃんと cw や nsfw を適切につける,non-Englsih,Keep CW and NSFW properly for the 18 prohibitions
27,34,vapers.jp,みんな仲良く,みんな仲良く,non-Englsih,Everyone gets along
28,35,society.oftrolls.com,Malicious behaviour is not tolerated. Follow Wheaton's law and you'll be fine.,malicious behaviour is not tolerated follow wheatons law and youll be fine,English,malicious behaviour is not tolerated follow wheatons law and youll be fine
29,38,august-don.site,サーバの負荷等により、何時でもサービスが中断・終了することがあります。,サーバの負荷等により何時でもサービスが中断終了することがあります,non-Englsih,"The service may be suspended at any time due to the load on the server, etc."
30,39,august-don.site,サーバに負荷のかかる行為・他のユーザーへの迷惑行為を行うユーザーは、凍結させていただきます。,サーバに負荷のかかる行為他のユーザーへの迷惑行為を行うユーザーは凍結させていただきます,non-Englsih,"Acts that impose a load on the server If you are annoying to other users, users will freeze"
31,40,august-don.site,このインスタンスでは、BOT送信元としてのアカウント作成と利用を禁じます。,このインスタンスではbot送信元としてのアカウント作成と利用を禁じます,non-Englsih,This instance does not use account creation and use as a bot sender.
32,41,august-don.site,18禁画像などは、必ずNSFWを付与するほか、法的に認められないコンテンツのアップロードを禁じます。,18禁画像などは必ずnsfwを付与するほか法的に認められないコンテンツのアップロードを禁じます,non-Englsih,"18 For prohibited images, etc., are always granted NSFW and prohibits uploading content that is not legally recognized."
33,42,august-don.site,日本国の法律に反する利用はおやめください。,日本国の法律に反する利用はおやめください,non-Englsih,Please do not use it against the law of Japan
34,43,august-don.site,警察等による公的な情報提供要請があった場合、アクセス情報等を提出します。,警察等による公的な情報提供要請があった場合アクセス情報等を提出します,non-Englsih,"If there is a request for public information by the police, etc., access information will be submitted."
35,44,toot.krinetzki.de,Die Verwaltung und Moderation wird so neutral wie möglich gehandhabt,die verwaltung und moderation wird so neutral wie möglich gehandhabt,non-Englsih,The administration and moderation is handled as neutrally as possible
36,45,toot.krinetzki.de,"Die ergriffenen Maßnahmen beschränken sich auf das Nötigste, um den Betrieb des Netzes aufrechtzuerhalten und die Fähigkeit der Nutzer der Instanzen, mit anderen Personen in Verbindung zu treten, nicht zu beeinträchtigen",die ergriffenen maßnahmen beschränken sich auf das nötigste um den betrieb des netzes aufrechtzuerhalten und die fähigkeit der nutzer der instanzen mit anderen personen in verbindung zu treten nicht zu beeinträchtigen,non-Englsih,The measures taken are limited to the bare essentials to maintain the operation of the network and not to affect the ability of the users of the instances with other people
37,46,toot.krinetzki.de,Kommunikation vor Aktionen,kommunikation vor aktionen,non-Englsih,Communication before actions
38,47,toot.krinetzki.de,Wir empfehlen keine Blocks,wir empfehlen keine blocks,non-Englsih,We do not recommend blocks
39,48,toot.krinetzki.de,Keine Schuld durch Assoziation/Verband,keine schuld durch assoziationverband,non-Englsih,no guilt through the association association
40,52,kitty.town,"Please follow our Post Etiquette guide for topics to wrap under a Content Warning, and mark images related to those topics as sensitive. This does not apply to posts on oppression that you experience.",please follow our post etiquette guide for topics to wrap under a content warning and mark images related to those topics as sensitive this does not apply to posts on oppression that you experience,English,please follow our post etiquette guide for topics to wrap under a content warning and mark images related to those topics as sensitive this does not apply to posts on oppression that you experience
41,53,kitty.town,"No participation or promotion of oppression of any group based on gender, gender identity and expression, sexual orientation, disability, personal appearance, body size, race, ethnicity, age, religion, nationality, class, or other identity.",no participation or promotion of oppression of any group based on gender gender identity and expression sexual orientation disability personal appearance body size race ethnicity age religion nationality class or other identity,English,no participation or promotion of oppression of any group based on gender gender identity and expression sexual orientation disability personal appearance body size race ethnicity age religion nationality class or other identity
42,54,kitty.town,"No attempt to present “reverse-ism” as examples of oppression. Examples of reverse-isms include, but are not limited to “reverse racism”, “reverse sexism”, “heterophobia”, and “cisphobia”.",no attempt to present reverseism as examples of oppression examples of reverseisms include but are not limited to reverse racism reverse sexism heterophobia and cisphobia,English,no attempt to present reverseism as examples of oppression examples of reverseisms include but are not limited to reverse racism reverse sexism heterophobia and cisphobia
43,55,kitty.town,No promotion or participation of fascism in any form.,no promotion or participation of fascism in any form,English,no promotion or participation of fascism in any form
44,56,kitty.town,No sexual depictions of minors. ,no sexual depictions of minors,English,no sexual depictions of minors
45,57,kitty.town,"No conduct intended to stalk, harass, or intimidate other users, or to impede other users from utilizing the community.",no conduct intended to stalk harass or intimidate other users or to impede other users from utilizing the community,English,no conduct intended to stalk harass or intimidate other users or to impede other users from utilizing the community
46,58,kitty.town,"No aggregating, posting, and/or disseminating a person’s demographic, personal, or private data without express permission.",no aggregating posting andor disseminating a persons demographic personal or private data without express permission,English,no aggregating posting andor disseminating a persons demographic personal or private data without express permission
47,59,kitty.town,"Do not continue to engage in conversation, or incite others to engage, with a user that has specifically requested for said engagement to cease which may be considered harassment, regardless of platform-specific privacy tools employed.",do not continue to engage in conversation or incite others to engage with a user that has specifically requested for said engagement to cease which may be considered harassment regardless of platformspecific privacy tools employed,English,do not continue to engage in conversation or incite others to engage with a user that has specifically requested for said engagement to cease which may be considered harassment regardless of platformspecific privacy tools employed
48,60,kitty.town,"No trolling, insulting or derogatory comments, and/or personal attacks.",no trolling insulting or derogatory comments andor personal attacks,English,no trolling insulting or derogatory comments andor personal attacks
49,61,kitty.town,"No unapproved bots, no scrapers, and no crypto-mining operations.",no unapproved bots no scrapers and no cryptomining operations,English,no unapproved bots no scrapers and no cryptomining operations
50,62,kitty.town,"No corporate advertising. Residents of Kitty.Town are free to share their work, and ask for support (including crowdfunding or mutual aid links).",no corporate advertising residents of kittytown are free to share their work and ask for support including crowdfunding or mutual aid links,English,no corporate advertising residents of kittytown are free to share their work and ask for support including crowdfunding or mutual aid links
51,63,kitty.town,No plagiarism or posting other's work or creations without credit.,no plagiarism or posting others work or creations without credit,English,no plagiarism or posting others work or creations without credit
52,64,kitty.town,"No untagged (no use of the CW function, and/or no images marked as sensitive) pornography or sexually explicit content.",no untagged no use of the cw function andor no images marked as sensitive pornography or sexually explicit content,English,no untagged no use of the cw function andor no images marked as sensitive pornography or sexually explicit content
53,65,kitty.town,"No untagged (no use of the CW function, and/or no images marked as sensitive) gore or graphic violence.",no untagged no use of the cw function andor no images marked as sensitive gore or graphic violence,English,no untagged no use of the cw function andor no images marked as sensitive gore or graphic violence
54,66,mstdn.b-shock.org,大事なお知らせをお伝えすることがある為、 @info のフォローは外さないでください。,大事なお知らせをお伝えすることがある為 info のフォローは外さないでください,non-Englsih,Please do not remove Info follow -up because you may tell us important news.
55,67,mastodon.cl,El contenido sexual explícito o violento no está permitido,el contenido sexual explícito o violento no está permitido,non-Englsih,Explicit or violent sexual content is not allowed
56,68,mastodon.cl,"No está permitido el racismo, sexismo, homofobia, transfobia, xenofobia o cualquier otra actitud de discriminación",no está permitido el racismo sexismo homofobia transfobia xenofobia o cualquier otra actitud de discriminación,non-Englsih,Racism sexism homophobia transobia xenophobia or any other attitude of discrimination is not allowed
57,69,mastodon.cl,No incitación a la violencia ni promoción de ideologías violentas,no incitación a la violencia ni promoción de ideologías violentas,non-Englsih,No incitement to violence or promotion of violent ideologies
58,70,mastodon.cl,"No hostigamiento, dogpiling o doxxing",no hostigamiento dogpiling o doxxing,non-Englsih,No Dogpiling or Doxxing
59,71,mastodon.cl,No se permite contenido ilegal,no se permite contenido ilegal,non-Englsih,illegal content is not allowed
60,72,mastodon.cl,No compartir intencionalmente información falsa o engañosa,no compartir intencionalmente información falsa o engañosa,non-Englsih,Do not intentionally share false or misleading information
61,73,mastodon.cl,Las cuentas que no tengan actividad en 6 meses podrán ser eliminadas sin previo aviso.,las cuentas que no tengan actividad en 6 meses podrán ser eliminadas sin previo aviso,non-Englsih,Accounts that do not have activity in 6 months may be eliminated without prior notice
62,74,mastodon.cl,No está permitido el spam,no está permitido el spam,non-Englsih,spam is not allowed
63,75,nagoyadon.jp,日本国の法律を守ること,日本国の法律を守ること,non-Englsih,To protect the laws of Japan
64,76,nagoyadon.jp,"非倫理的な投稿を行わない、ブーストしないこと
（ヘイトスピーチ等）",非倫理的な投稿を行わないブーストしないこと ヘイトスピーチ等,non-Englsih,"Do not boost unethical posts Hate speech, etc."
65,77,nagoyadon.jp,"周りに迷惑をかけないこと
（スパムまがい投稿、意図的にシステムに負荷をかける行為、扇動等）",周りに迷惑をかけないこと スパムまがい投稿意図的にシステムに負荷をかける行為扇動等,non-Englsih,"Do not bother the surroundings Spam mummy posting intentionally impressing the system, etc."
66,78,nagoyadon.jp,商用利用しないこと,商用利用しないこと,non-Englsih,Do not use commercially
67,79,nagoyadon.jp,"センシティブな情報を投稿しないこと
（個人情報など）",センシティブな情報を投稿しないこと 個人情報など,non-Englsih,"Do not post sensitive information personal information, etc."
68,80,nagoyadon.jp,そのほかの事柄は「このサーバーについて」に記載されています。新規登録の前に必ずご覧ください。,そのほかの事柄はこのサーバーについてに記載されています新規登録の前に必ずご覧ください,non-Englsih,Other things are described in this server before new registration.
69,81,mstdn.mini4wd-engineer.com,法律に反していたり、犯罪行為につながるようなトゥートは禁止,法律に反していたり犯罪行為につながるようなトゥートは禁止,non-Englsih,Prohibited toot that is against the law or leads to criminal acts
70,82,mstdn.mini4wd-engineer.com,最低限のマナーや礼節を持ったトゥートを,最低限のマナーや礼節を持ったトゥートを,non-Englsih,A toot with the minimum manners and courts
71,83,mstdn.mini4wd-engineer.com,ネットストーキング行為など利用者の不利益になる行動の禁止,ネットストーキング行為など利用者の不利益になる行動の禁止,non-Englsih,Prohibition of behavior that becomes disadvantageous of users such as net stalking acts
72,84,mstdn.mini4wd-engineer.com,ブログやまとめサイト等への無断転載・無断引用はお断り,ブログやまとめサイト等への無断転載無断引用はお断り,non-Englsih,"Unauthorized reproduction unauthorized reproduction to blogs, summary sites, etc. are not allowed"
73,85,mstdn.mini4wd-engineer.com,けんかしない（しない）,けんかしないしない,non-Englsih,Don't fight
74,86,mstdn.mini4wd-engineer.com,ひとにやさしく（やさしく）,ひとにやさしくやさしく,non-Englsih,Gentle and gentle to people
75,87,mstdn.mini4wd-engineer.com,みんな仲良く（なかよく）,みんな仲良くなかよく,non-Englsih,Everyone gets along well
76,88,this.mouse.rocks,No Nudity without NSFW tag,no nudity without nsfw tag,English,no nudity without nsfw tag
77,89,this.mouse.rocks,No Pornography without NSFW tag,no pornography without nsfw tag,English,no pornography without nsfw tag
78,90,this.mouse.rocks,No Sexism,no sexism,non-Englsih,no sexism
79,91,this.mouse.rocks,No Racism,no racism,non-Englsih,no racism
80,92,this.mouse.rocks,No Spam,no spam,non-Englsih,no spam
81,93,this.mouse.rocks,No Hate Speech,no hate speech,English,no hate speech
82,94,this.mouse.rocks,No Harrassment,no harrassment,non-Englsih,no harassment
83,95,this.mouse.rocks,No Advertising (Except for personal services such as art commissions),no advertising except for personal services such as art commissions,English,no advertising except for personal services such as art commissions
84,96,mstdn.lalafell.org.,日本の法律に従ってご利用ください,日本の法律に従ってご利用ください,non-Englsih,Please use according to Japanese law
85,97,mstdn.lalafell.org.,"詳細は以下を参照のこと
https://wiki.lalafell.org/tos",詳細は以下を参照のこと httpswikilalafellorgtos,non-Englsih,See below for details httpswikilafellorgtos
86,98,assortedflotsam.com,"No bigotry, discrimination, or hatespeech. Race, religion, gender, sexual orientation, nationality, ethnicity, culture, etc. This instance is inclusive.",no bigotry discrimination or hatespeech race religion gender sexual orientation nationality ethnicity culture etc this instance is inclusive,English,no bigotry discrimination or hatespeech race religion gender sexual orientation nationality ethnicity culture etc this instance is inclusive
87,99,assortedflotsam.com,"No trolling, doxing, or flamewars.",no trolling doxing or flamewars,English,no trolling doxing or flamewars
88,100,assortedflotsam.com,"No ""sex work."" Commissioned art is fine.",no sex work commissioned art is fine,English,no sex work commissioned art is fine
89,101,assortedflotsam.com,No spam.,no spam,non-Englsih,no spam
90,102,assortedflotsam.com,"Self-promotion and spam accounts will be banned immediately. Some minor activity, like for independent artists or non-profits, is permissible.",selfpromotion and spam accounts will be banned immediately some minor activity like for independent artists or nonprofits is permissible,English,selfpromotion and spam accounts will be banned immediately some minor activity like for independent artists or nonprofits is permissible
91,103,assortedflotsam.com,"Bots are allowed, but they may be muted from the public feed if they post excessively or come across as promotional.",bots are allowed but they may be muted from the public feed if they post excessively or come across as promotional,English,bots are allowed but they may be muted from the public feed if they post excessively or come across as promotional
92,104,assortedflotsam.com,"NSFW content must be marked. This includes content containing nudity, excess profanity, or extremely graphic imagery.",nsfw content must be marked this includes content containing nudity excess profanity or extremely graphic imagery,English,nsfw content must be marked this includes content containing nudity excess profanity or extremely graphic imagery
93,105,assortedflotsam.com,Spoilers must be marked.,spoilers must be marked,non-Englsih,spoilers must be marked
94,106,assortedflotsam.com,Be mindful of copyright and fair use when posting content. Flagrant violations will be removed.,be mindful of copyright and fair use when posting content flagrant violations will be removed,English,be mindful of copyright and fair use when posting content flagrant violations will be removed
95,107,assortedflotsam.com,"Trigger warnings are permitted, but be aware that they are a bad idea. https://www.psychologytoday.com/blog/talking-about-men/201703/trigger-warnings-and-mental-health-where-is-the-evidence
",trigger warnings are permitted but be aware that they are a bad idea httpswwwpsychologytodaycomblogtalkingaboutmen201703triggerwarningsandmentalhealthwhereistheevidence,English,trigger warnings are permitted but be aware that they are a bad idea httpswwwpsychologytodaycomblogtalkingaboutmen201703triggerwarningsandmentalhealthwhereistheevidence
96,108,assortedflotsam.com,Be careful with how much you reveal about your identity.,be careful with how much you reveal about your identity,English,be careful with how much you reveal about your identity
97,109,assortedflotsam.com,Follow Wheaton's Law. http://www.wheatonslaw.com/,follow wheatons law httpwwwwheatonslawcom,English,follow wheatons law httpwwwwheatonslawcom
98,110,gamemaking.social,"There is no tolerance for harassment or discrimination of any kind, directly or indirectly. For example: racism, ableism, homophobia, transphobia and TERF shit, fascism, general channer garbage, and so on.",there is no tolerance for harassment or discrimination of any kind directly or indirectly for example racism ableism homophobia transphobia and terf shit fascism general channer garbage and so on,English,there is no tolerance for harassment or discrimination of any kind directly or indirectly for example racism ableism homophobia transphobia and terf shit fascism general channer garbage and so on
99,111,gamemaking.social,"We're here to encourage and support each other, and hopefully make pals (and make videogames less bad)!
I will remove accounts that: Are inactive for a year, haven't posted anything within two months of their creation, or are just here for promotion (it probably won't help FYI).",were here to encourage and support each other and hopefully make pals and make videogames less bad i will remove accounts that are inactive for a year havent posted anything within two months of their creation or are just here for promotion it probably wont help fyi,English,were here to encourage and support each other and hopefully make pals and make videogames less bad i will remove accounts that are inactive for a year havent posted anything within two months of their creation or are just here for promotion it probably wont help fyi
100,112,gamemaking.social,"You must use content warnings following the usual Mastodon etiquette; for example for politics, 'adult'/lewd content, eye contact, food, mental health … if in doubt ask first please!",you must use content warnings following the usual mastodon etiquette for example for politics adultlewd content eye contact food mental health if in doubt ask first please,English,you must use content warnings following the usual mastodon etiquette for example for politics adultlewd content eye contact food mental health if in doubt ask first please
101,113,retro.social,We won't tolerate the harassment or abuse of marginalized people. ,we wont tolerate the harassment or abuse of marginalized people,English,we wont tolerate the harassment or abuse of marginalized people
102,114,retro.social,We absolutely will block your nazi ass ,we absolutely will block your nazi ass,English,we absolutely will block your nazi ass
103,115,retro.social,"Don't index us, don't research us. ",dont index us dont research us,English,dont index us dont research us
104,116,don.mamemo.online,なかよくつかってね！,なかよくつかってね,non-Englsih,Please use it well
105,117,djs.social,No discriminatory behaviour and content promoting or advocating the oppression of members of marginalised groups,no discriminatory behaviour and content promoting or advocating the oppression of members of marginalised groups,English,no discriminatory behaviour and content promoting or advocating the oppression of members of marginalised groups
106,118,djs.social,"No threatening behaviour, stalking, doxxing, mobbing, including name-calling, intentional misgendering or deadnaming. ",no threatening behaviour stalking doxxing mobbing including namecalling intentional misgendering or deadnaming,English,no threatening behaviour stalking doxxing mobbing including namecalling intentional misgendering or deadnaming
107,119,djs.social,"No harassment, including brigading, dogpiling, or any other form of contact with a user who has stated that they do not wish to be contacted. ",no harassment including brigading dogpiling or any other form of contact with a user who has stated that they do not wish to be contacted,English,no harassment including brigading dogpiling or any other form of contact with a user who has stated that they do not wish to be contacted
108,120,djs.social,"No conspiracy narratives, nationalist propaganda, reactionary myths, Nazi symbolism or promoting the ideology of National Socialism. ",no conspiracy narratives nationalist propaganda reactionary myths nazi symbolism or promoting the ideology of national socialism,English,no conspiracy narratives nationalist propaganda reactionary myths nazi symbolism or promoting the ideology of national socialism
109,121,djs.social,"Do not publish private conversations, except to the moderation team if you need to report them.",do not publish private conversations except to the moderation team if you need to report them,English,do not publish private conversations except to the moderation team if you need to report them
110,122,djs.social,"No corporate accounts, no excessive advertising, no bots, or automated crossposters from other networks.",no corporate accounts no excessive advertising no bots or automated crossposters from other networks,English,no corporate accounts no excessive advertising no bots or automated crossposters from other networks
111,123,djs.social,Use content warnings (CW) for sexually explicit or violent media and other content that might be common triggers. ,use content warnings cw for sexually explicit or violent media and other content that might be common triggers,English,use content warnings cw for sexually explicit or violent media and other content that might be common triggers
112,124,djs.social,"Write descriptions to all media if possible (else ask for help: #Alt4Me, @imagecaptionpls...). ",write descriptions to all media if possible else ask for help alt4me imagecaptionpls,English,write descriptions to all media if possible else ask for help alt4me imagecaptionpls
113,125,djs.social,Do not clog the local timeline with frequent short posts. Use threads and unlisted visibility.,do not clog the local timeline with frequent short posts use threads and unlisted visibility,English,do not clog the local timeline with frequent short posts use threads and unlisted visibility
114,126,djs.social,No illegal content. Abide by laws.,no illegal content abide by laws,non-Englsih,no illegal content abide by laws
115,127,mstdn.jaws-ug.okinawa,管理人の判断で不適切またはこのサーバに相応しくないと判断した時、アカウントの停止/削除を行う場合があります,管理人の判断で不適切またはこのサーバに相応しくないと判断した時アカウントの停止削除を行う場合があります,non-Englsih,"If you judge that it is inappropriate or not suitable for this server by the manager's judgment, the account may be deleted."
116,128,mstdn.jaws-ug.okinawa,すべての参加者が楽しく参加できるよう、周りの方々にご配慮ください。,すべての参加者が楽しく参加できるよう周りの方々にご配慮ください,non-Englsih,Please consider the people around you so that all participants can participate happily.
117,129,mstdn.jaws-ug.okinawa,関係者の人種、性別、性的指向、障害の有無、見た目、政治、宗教（または無宗教）、使用言語などに係る表現は、いかなる場合も適切ではありません。,関係者の人種性別性的指向障害の有無見た目政治宗教または無宗教使用言語などに係る表現はいかなる場合も適切ではありません,non-Englsih,"In any case, the expression of the religion of racial or orientation disorders is not appropriate in any case for the political religion or the non -religious language."
118,130,mstdn.yakitamago.info,"日本語が理解できる方向けに開放しています。日本語での意思疎通が難しい場合は、登録をご遠慮ください。
",日本語が理解できる方向けに開放しています日本語での意思疎通が難しい場合は登録をご遠慮ください,non-Englsih,"It is open for those who can understand Japanese. If it is difficult to communicate in Japanese, please refrain from registering."
119,131,mstdn.yakitamago.info,各種法律等を遵守し、善良な振る舞いを心がけてください。,各種法律等を遵守し善良な振る舞いを心がけてください,non-Englsih,Please comply with various laws and try to make good behavior.
120,132,mstdn.yakitamago.info,「詳細説明」の注意事項にも目を通してください。,詳細説明の注意事項にも目を通してください,non-Englsih,Please also look at the precautions in the detailed explanation
121,133,mastodooooooon.xyz,常識の範囲内で,常識の範囲内で,non-Englsih,Within the range of common sense
122,134,claris.cf,"法律を守りましょう。
守らなかった人がこの前哀れにも敗れ去り、トイレットペーパーを食べる生活をする羽目になった。",法律を守りましょう 守らなかった人がこの前哀れにも敗れ去りトイレットペーパーを食べる生活をする羽目になった,non-Englsih,Let's protect the law. The person who did not protect the law was lost in the past and had to live in eating toilet paper.
123,135,claris.cf,"他者の権利を侵害しないでね。
ウッ俺の存在が！！！！！高次存在に塩を振りかけられている！！！！！！！ぐああああああああああああ",他者の権利を侵害しないでね ウッ俺の存在が高次存在に塩を振りかけられているぐああああああああああああ,non-Englsih,Don't infringe the rights of others.
124,136,claris.cf,"公序良俗も守ってください。
超えちゃいけないライン考えろよ",公序良俗も守ってください 超えちゃいけないライン考えろよ,non-Englsih,"Please protect public order and morals, think about the line that should not exceed"
125,137,claris.cf,"ハラスメントもやめよう。
世の中にどんな人もいるよね👍",ハラスメントもやめよう 世の中にどんな人もいるよね,non-Englsih,"Let's stop harassment, right?"
126,138,mastodon.mg,"Cette instance étant hébergée à Madagascar, sa vocation est plutôt orientée vers des utilisateurs ayant un lien avec ce pays.",cette instance étant hébergée à madagascar sa vocation est plutôt orientée vers des utilisateurs ayant un lien avec ce pays,non-Englsih,This body being hosted in Madagascar its vocation is rather oriented towards users with a link with this country
127,139,mastodon.mg,"Restez courtois dans vos propos, nous essayons de garder un endroit sain, sans agressivité ni discrimination.",restez courtois dans vos propos nous essayons de garder un endroit sain sans agressivité ni discrimination,non-Englsih,Stay courteous in your words we try to keep a healthy place without aggressiveness or discrimination
128,140,yukari.cafe,法律、法令や公序良俗に反する行為は禁止します。,法律法令や公序良俗に反する行為は禁止します,non-Englsih,The laws and regulations and acts against public order and morals are prohibited
129,141,yukari.cafe,全年齢対象です。（いわゆる“R18”を含むトゥートやブーストは禁止します。）,全年齢対象ですいわゆるr18を含むトゥートやブーストは禁止します,non-Englsih,All -aged toot and boost including so -called R18 are prohibited.
130,142,yukari.cafe,閲覧に注意が必要な投稿には CW機能 (Content Warning) をご利用ください。,閲覧に注意が必要な投稿には cw機能 content warning をご利用ください,English,閲覧に注意が必要な投稿には cw機能 content warning をご利用ください
131,143,yukari.cafe,閲覧に注意が必要な画像には NSFW機能 (Not Safe For Work) をご利用ください。,閲覧に注意が必要な画像には nsfw機能 not safe for work をご利用ください,non-Englsih,Please use the NSFW function Not Safe for Work for images that require attention to browsing.
132,144,yukari.cafe,不適切な投稿を見かけた場合は「通報」機能をご利用ください。,不適切な投稿を見かけた場合は通報機能をご利用ください,non-Englsih,"If you see inappropriate posts, please use the reporting function"
133,145,yukari.cafe,当サービスのご使用、または当サービスを使用できなかったことにより生じた、いかなる損害や不利益について一切責任を負いません。,当サービスのご使用または当サービスを使用できなかったことにより生じたいかなる損害や不利益について一切責任を負いません,non-Englsih,We are not responsible for any damages or disadvantages caused by using this service or being unable to use this service.
134,146,researchbuzz.masto.host,Be kind and don't talk shit about people or I'll kick you off. ,be kind and dont talk shit about people or ill kick you off,English,be kind and dont talk shit about people or ill kick you off
135,147,comics.town,"Comics Town is a place where anyone interested in making comics can come to share their work, connect with other creators, and learn.  To grow a safe, inclusive community, the following rules are in place:",comics town is a place where anyone interested in making comics can come to share their work connect with other creators and learn to grow a safe inclusive community the following rules are in place,English,comics town is a place where anyone interested in making comics can come to share their work connect with other creators and learn to grow a safe inclusive community the following rules are in place
136,148,comics.town,"Harassment, hate speech, dog-piling, doxxing, and similar behaviors are not welcome.
",harassment hate speech dogpiling doxxing and similar behaviors are not welcome,English,harassment hate speech dogpiling doxxing and similar behaviors are not welcome
