,Unnamed: 0,instance,rule,preprocessed rules,lang,translated rules
13,16,mastodon.white-void.net,"(個人利用専用) このサーバは個人利用専用です。

自分(@nya2510)以外からの登録は受け付けません。",個人利用専用 このサーバは個人利用専用です 自分nya2510以外からの登録は受け付けません,non-Englsih,This server for personal use is for personal use. We do not accept registration from NYA2510.
14,17,mastodon.white-void.net,"(実験用) このサーバは実験用です。

無くなると管理者が困るので極力正しい状態を維持しますが、突然爆発して無くなるかもしれません。 ",実験用 このサーバは実験用です 無くなると管理者が困るので極力正しい状態を維持しますが突然爆発して無くなるかもしれません,non-Englsih,"This server for experiments is an experimental use, so if it is gone, the administrator will be troubled, so it will maintain the correct condition as much as possible, but it may disappear suddenly."
15,18,mastodon.breiteberg.de,"keine illegalen Inhalte, keine Pornografie",keine illegalen inhalte keine pornografie,non-Englsih,No illegal content no pornography
16,19,mastodon.breiteberg.de,keine Hassreden,keine hassreden,non-Englsih,no hate speeches
17,20,mastodon.breiteberg.de,zivilisierter Umgang miteinander ist Pflicht,zivilisierter umgang miteinander ist pflicht,non-Englsih,civilized interaction with each other is a must
18,21,unitedmastodon.com,No hate speech or harmful behavior.,no hate speech or harmful behavior,English,no hate speech or harmful behavior
19,22,unitedmastodon.com,Be polite.,be polite,non-Englsih,be polite
20,23,unitedmastodon.com,No discrimination.,no discrimination,non-Englsih,no discrimination
21,24,unitedmastodon.com,NSFW content (including nudity) MUST be marked as sensitive AND behind a content warning.,nsfw content including nudity must be marked as sensitive and behind a content warning,English,nsfw content including nudity must be marked as sensitive and behind a content warning
22,25,unitedmastodon.com,No content with unnecessary violence or gore.,no content with unnecessary violence or gore,English,no content with unnecessary violence or gore
23,26,unitedmastodon.com,No illegal content or activity.,no illegal content or activity,English,no illegal content or activity
24,27,unitedmastodon.com,No sharing of personal information that Is not your own.,no sharing of personal information that is not your own,English,no sharing of personal information that is not your own
25,28,social.futurnumerique.com,"No discrimination, including (but not limited to) racism, sexism, homophobia or transphobia.",no discrimination including but not limited to racism sexism homophobia or transphobia,English,no discrimination including but not limited to racism sexism homophobia or transphobia
26,29,social.futurnumerique.com,No explicit (NSFW) content without content warnings and/or sensitive media markers. Explicit content must not be used in user avatars or header images.,no explicit nsfw content without content warnings andor sensitive media markers explicit content must not be used in user avatars or header images,English,no explicit nsfw content without content warnings andor sensitive media markers explicit content must not be used in user avatars or header images
27,30,social.futurnumerique.com,No harassment of other users on this or other instances.,no harassment of other users on this or other instances,English,no harassment of other users on this or other instances
28,31,social.futurnumerique.com,"No content illegal in the following countries: United Kingdom, Germany, France, Canada, USA",no content illegal in the following countries united kingdom germany france canada usa,English,no content illegal in the following countries united kingdom germany france canada usa
29,32,social.futurnumerique.com,No incitement of violence or promotion of violent ideologies.,no incitement of violence or promotion of violent ideologies,English,no incitement of violence or promotion of violent ideologies
30,33,social.futurnumerique.com,No disinformation regarding public health issues or political/military campaigns.,no disinformation regarding public health issues or politicalmilitary campaigns,English,no disinformation regarding public health issues or politicalmilitary campaigns
31,34,social.futurnumerique.com,"No spam. This includes commercial advertising, promotional campaigns, and SEO.",no spam this includes commercial advertising promotional campaigns and seo,English,no spam this includes commercial advertising promotional campaigns and seo
32,35,social.futurnumerique.com,"Moderation works on a 'best efforts' basis. Unless indicated otherwise, all decisions should be considered final.",moderation works on a best efforts basis unless indicated otherwise all decisions should be considered final,English,moderation works on a best efforts basis unless indicated otherwise all decisions should be considered final
33,36,provo.lol,Sexually explicit or violent media must be marked as sensitive when posting,sexually explicit or violent media must be marked as sensitive when posting,English,sexually explicit or violent media must be marked as sensitive when posting
34,37,provo.lol,"No racism, sexism, homophobia, transphobia, xenophobia, ableism, or casteism",no racism sexism homophobia transphobia xenophobia ableism or casteism,non-Englsih,no racism sexism homophobia transphobia xenophobia ableism or casteism
35,38,provo.lol,No incitement of violence or promotion of violent ideologies,no incitement of violence or promotion of violent ideologies,English,no incitement of violence or promotion of violent ideologies
36,39,provo.lol,"No harassment, dogpiling or doxxing of other users",no harassment dogpiling or doxxing of other users,English,no harassment dogpiling or doxxing of other users
37,40,provo.lol,No content illegal in The Netherlands,no content illegal in the netherlands,English,no content illegal in the netherlands
38,41,provo.lol,Do not share intentionally false or misleading information,do not share intentionally false or misleading information,English,do not share intentionally false or misleading information
39,42,provo.lol,No covid denialism or covid minimising,no covid denialism or covid minimising,non-Englsih,no covid denialism or covid minimising
40,43,luna.vg,Rule is not a list,rule is not a list,English,rule is not a list
41,44,kclc.us,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism. ",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih,no racism sexism homophobia transphobia xenophobia or casteism
42,45,kclc.us,No content illegal in the United States.,no content illegal in the united states,English,no content illegal in the united states
43,46,kclc.us,"No harassment, dogpiling or doxxing of other users. ",no harassment dogpiling or doxxing of other users,English,no harassment dogpiling or doxxing of other users
44,47,kclc.us,No incitement of violence or promotion of violent ideologies.,no incitement of violence or promotion of violent ideologies,English,no incitement of violence or promotion of violent ideologies
45,48,kclc.us,"Bots must be marked as bots in their profile preferences, and automated posts should be unlisted.",bots must be marked as bots in their profile preferences and automated posts should be unlisted,English,bots must be marked as bots in their profile preferences and automated posts should be unlisted
46,49,kclc.us,Do not share intentionally false or misleading information. ,do not share intentionally false or misleading information,English,do not share intentionally false or misleading information
47,50,kclc.us,Do not spam or abuse network features.,do not spam or abuse network features,English,do not spam or abuse network features
48,51,kclc.us,"Public posts which contain nudity, sexually explicit, or violent content must be marked with an ""NSFW"" content warning and media marked as sensitive when posting. ",public posts which contain nudity sexually explicit or violent content must be marked with an nsfw content warning and media marked as sensitive when posting,English,public posts which contain nudity sexually explicit or violent content must be marked with an nsfw content warning and media marked as sensitive when posting
49,52,social.aaroncrocco.com,Be excellent to each other.,be excellent to each other,English,be excellent to each other
50,53,calamity.world,No hate speech or discrimination of any kind.,no hate speech or discrimination of any kind,English,no hate speech or discrimination of any kind
51,54,calamity.world,"No harassment, stalking, or doxxing.",no harassment stalking or doxxing,non-Englsih,no harassment stalking or doxxing
52,55,calamity.world,NSFW posts are permitted ONLY behind a content warning and NSFW media must be marked as sensitive.,nsfw posts are permitted only behind a content warning and nsfw media must be marked as sensitive,English,nsfw posts are permitted only behind a content warning and nsfw media must be marked as sensitive
53,56,calamity.world,No sexual depictions or content involving anyone under 18 years.,no sexual depictions or content involving anyone under 18 years,English,no sexual depictions or content involving anyone under 18 years
54,57,calamity.world,No spam accounts and no using irrelevant hashtags to promote your posts.,no spam accounts and no using irrelevant hashtags to promote your posts,English,no spam accounts and no using irrelevant hashtags to promote your posts
55,58,sociala.me,"Vade Retro, ici c'est mon mien !",vade retro ici cest mon mien,non-Englsih,vade retro here is my mine
56,59,mastodon.rzgierskopp.de,"Keine Beleidigung, Diskriminierung und Belästigung.
No insult, discrimination and harassment.",keine beleidigung diskriminierung und belästigung no insult discrimination and harassment,non-Englsih,No insult discrimination and harassment no insult discrimination and harassment
57,60,mastodon.rzgierskopp.de,"Keine Anstiftung zu Straftaten.
No incitement to crime.",keine anstiftung zu straftaten no incitement to crime,non-Englsih,No incitement to criminal offenses No Incitement to Crime
58,61,mastodon.rzgierskopp.de,"Keine extremistischen Inhalte.
No extremist content.",keine extremistischen inhalte no extremist content,non-Englsih,No extremist content no extremist content
59,62,mastodon.rzgierskopp.de,"Sexuelle Inhalte sind entsprechend zu kennzeichnen.
Sexual content must be marked accordingly.",sexuelle inhalte sind entsprechend zu kennzeichnen sexual content must be marked accordingly,non-Englsih,Sexual content must be marked accordingly sexual content must be marked accordingly
60,63,mastodon.rzgierskopp.de,"Gewaltdarstellende Inhalte sind entsprechend zu kennzeichnen.
Content depicting violence must be marked accordingly.",gewaltdarstellende inhalte sind entsprechend zu kennzeichnen content depicting violence must be marked accordingly,non-Englsih,Content -portraying content must be marked accordingly.
61,64,masto.phoenixlair.net,No hate!,no hate,non-Englsih,no hate
62,65,masto.phoenixlair.net,LBGTQ+ friendly,lbgtq friendly,non-Englsih,lgbtq friendly
63,66,mastodon.sprawl.club,"Don't be a jerk, all right? ",dont be a jerk all right,English,dont be a jerk all right
64,67,mastodon.sprawl.club,Don't spam people,dont spam people,non-Englsih,dont spam people
65,68,mastodon.sprawl.club,Harassment or discrimination of any kind will not be tolerated here. ,harassment or discrimination of any kind will not be tolerated here,English,harassment or discrimination of any kind will not be tolerated here
66,69,mastodon.sprawl.club,"By programmatically crawling and/or scraping content generated by the users of this instance, you agree to donate $1,000 (one thousand United States dollars) to a charity of the administrator's choice every time your automated scraper is used on this instance. You can opt-out at any time. ",by programmatically crawling andor scraping content generated by the users of this instance you agree to donate 1000 one thousand united states dollars to a charity of the administrators choice every time your automated scraper is used on this instance you can optout at any time,English,by programmatically crawling andor scraping content generated by the users of this instance you agree to donate 1000 one thousand united states dollars to a charity of the administrators choice every time your automated scraper is used on this instance you can optout at any time
67,70,sn.rongyi.io,禁止一切政党相关议题，尤其是涉及某东方大国的，出于风控考虑，讨论请去别处,禁止一切政党相关议题尤其是涉及某东方大国的出于风控考虑讨论请去别处,non-Englsih,"Related issues related to all parties, especially the discussion of a major oriental country out of risk control, please go elsewhere elsewhere"
68,71,sn.rongyi.io,禁止通过自动化方式大规模抓取本站信息；除非用户本人同意，禁止一切形式的博文搬运出站,禁止通过自动化方式大规模抓取本站信息除非用户本人同意禁止一切形式的博文搬运出站,non-Englsih,It is forbidden to grasp the information of this site on a large scale unless the user agrees to prohibit all forms of blog posts from getting out of the station out of the station
69,72,hips.social,Be a good human being. ,be a good human being,non-Englsih,be a good human being
70,73,hips.social,"Do not be: a Nazi, a Bigot, a Sexist, a Racist, a Conspiracy Nut, or a Self-Promoting Multi-Level Marketing Magnate",do not be a nazi a bigot a sexist a racist a conspiracy nut or a selfpromoting multilevel marketing magnate,English,do not be a nazi a bigot a sexist a racist a conspiracy nut or a selfpromoting multilevel marketing magnate
71,74,hips.social,Do not spread the propaganda of the aforementioned bad actors.,do not spread the propaganda of the aforementioned bad actors,English,do not spread the propaganda of the aforementioned bad actors
72,75,hips.social,"In general, no NSFW content.",in general no nsfw content,non-Englsih,in general no nsfw content
73,76,hips.social,"If you must post adult-oriented content, mark it as *sensitive*",if you must post adultoriented content mark it as sensitive,English,if you must post adultoriented content mark it as sensitive
74,77,hips.social,"Most other rules follow from #1 and #2, but I reserve the right to intervene in any situation that a user might flag as problematic.",most other rules follow from 1 and 2 but i reserve the right to intervene in any situation that a user might flag as problematic,English,most other rules follow from 1 and 2 but i reserve the right to intervene in any situation that a user might flag as problematic
75,79,social.1bitsquared.com,Be kind and courteous to others,be kind and courteous to others,English,be kind and courteous to others
76,80,social.1bitsquared.com,Use welcoming and inclusive language,use welcoming and inclusive language,English,use welcoming and inclusive language
77,81,social.1bitsquared.com,Be respectful of differing viewpoints and experiences,be respectful of differing viewpoints and experiences,English,be respectful of differing viewpoints and experiences
78,82,social.1bitsquared.com,Collaborate with other community members,collaborate with other community members,English,collaborate with other community members
79,83,social.1bitsquared.com,Accept constructive criticism gracefully,accept constructive criticism gracefully,non-Englsih,accept constructive criticism gracefully
80,84,social.1bitsquared.com,Focus on what is best for the community,focus on what is best for the community,English,focus on what is best for the community
81,85,social.1bitsquared.com,Show empathy towards other community members,show empathy towards other community members,English,show empathy towards other community members
82,86,mwtaylor.social,Follow all rules on https://mastodon.social/about,follow all rules on httpsmastodonsocialabout,English,follow all rules on httpsmastodonsocialabout
83,87,social.danpalmer.me,Respect and empathy.,respect and empathy,English,respect and empathy
84,88,mastodon.xcsdm.com,Don't be an asshole,dont be an asshole,English,dont be an asshole
85,89,mastodon.xcsdm.com,Don't discriminate against anyone,dont discriminate against anyone,non-Englsih,dont discriminate against anyone
86,90,mastodon.xcsdm.com,No excessive advertising,no excessive advertising,non-Englsih,no excessive advertising
87,91,mastodon.xcsdm.com,Use Content Warnings for content that might be common triggers,use content warnings for content that might be common triggers,English,use content warnings for content that might be common triggers
88,92,mastodon.xcsdm.com,Avoid posting sexually explicit or violent content,avoid posting sexually explicit or violent content,English,avoid posting sexually explicit or violent content
89,93,mastodon.xcsdm.com,You must be 16 or older to join this instance,you must be 16 or older to join this instance,English,you must be 16 or older to join this instance
90,94,mastodon.xcsdm.com,Abide by applicable laws unless it's the moral thing to do.,abide by applicable laws unless its the moral thing to do,English,abide by applicable laws unless its the moral thing to do
91,95,compound.social,"Invite only, for family and friends.",invite only for family and friends,English,invite only for family and friends
92,96,compound.social,"Keep it family friendly. Use content warnings for anything that might be for limited audiences (politics, spicy food, she wants her rocks)",keep it family friendly use content warnings for anything that might be for limited audiences politics spicy food she wants her rocks,English,keep it family friendly use content warnings for anything that might be for limited audiences politics spicy food she wants her rocks
93,97,compound.social,Don't do anything to get us defederated! ,dont do anything to get us defederated,English,dont do anything to get us defederated
94,98,pic.krashboyz.org,TO BE DONE,to be done,non-Englsih,to be done
95,99,pic.krashboyz.org,Pas de diffusion des idées d’extrême droite,pas de diffusion des idées dextrême droite,non-Englsih,No dissemination of right -wing ideas
96,100,pic.krashboyz.org,Pas de racisme,pas de racisme,non-Englsih,no racism
97,101,pic.krashboyz.org,Pas de xénophobie en général,pas de xénophobie en général,non-Englsih,No xenophobia in general
98,102,pic.krashboyz.org,Pas de confusionnisme,pas de confusionnisme,non-Englsih,No confusionism
99,103,pic.krashboyz.org,Utilisation du CW pour la nudité ou la pornographie,utilisation du cw pour la nudité ou la pornographie,non-Englsih,Use of CW for nudity or pornography
100,104,pic.krashboyz.org,Pas de spam,pas de spam,non-Englsih,no spam
101,105,pic.krashboyz.org,Principalement francophone,principalement francophone,non-Englsih,Mainly French -speaking
102,106,pic.krashboyz.org,Discussions dans le respect des autres utilisateurs,discussions dans le respect des autres utilisateurs,non-Englsih,discussions with respect for other users
103,107,twinports.us,Sexually explicit or violent media must be marked as sensitive when posting,sexually explicit or violent media must be marked as sensitive when posting,English,sexually explicit or violent media must be marked as sensitive when posting
104,108,twinports.us,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih,no racism sexism homophobia transphobia xenophobia or casteism
105,109,twinports.us,No incitement of violence or promotion of violent ideologies,no incitement of violence or promotion of violent ideologies,English,no incitement of violence or promotion of violent ideologies
106,110,twinports.us,"No harassment, dogpiling or doxxing of other users",no harassment dogpiling or doxxing of other users,English,no harassment dogpiling or doxxing of other users
107,111,twinports.us,No content illegal in the United States,no content illegal in the united states,English,no content illegal in the united states
108,112,twinports.us,Do not share intentionally false or misleading information,do not share intentionally false or misleading information,English,do not share intentionally false or misleading information
109,113,spaceup.city,Do not share intentionally false or misleading information,do not share intentionally false or misleading information,English,do not share intentionally false or misleading information
110,114,spaceup.city,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih,no racism sexism homophobia transphobia xenophobia or casteism
111,115,spaceup.city,"No harassment, dogpiling or doxxing of other people",no harassment dogpiling or doxxing of other people,English,no harassment dogpiling or doxxing of other people
112,116,spaceup.city,No incitement of violence or promotion of violent ideologies,no incitement of violence or promotion of violent ideologies,English,no incitement of violence or promotion of violent ideologies
113,117,spaceup.city,Sexually explicit or violent media must be marked as sensitive when posting,sexually explicit or violent media must be marked as sensitive when posting,English,sexually explicit or violent media must be marked as sensitive when posting
114,118,chocot.art,居心地の良さを大切にするため、他の人には干渉しない,居心地の良さを大切にするため他の人には干渉しない,non-Englsih,Do not interfere with others to value comfort
115,119,chocot.art,他のSNSと違い、繋がりを求める場所ではない,他のsnsと違い繋がりを求める場所ではない,non-Englsih,"Unlike other SNS, it's not a place to seek connections"
116,120,chocot.art,嘘をつかない。未来の自分を守るために,嘘をつかない未来の自分を守るために,non-Englsih,To protect yourself in the future that does not lie
117,121,chocot.art,「こうあるべき」という正義心は他人を苦しめるので捨てる,こうあるべきという正義心は他人を苦しめるので捨てる,non-Englsih,"The justice that this should be, it torments others, so throw it away"
118,122,chocot.art,見返りを求めない。期待は自分と他人の両方を苦しめるため,見返りを求めない期待は自分と他人の両方を苦しめるため,non-Englsih,Expectations that do not require a reward are to afflict both yourself and others
119,123,chocot.art,「〜みたい」と決めつけない。自他の可能性を奪わないため,みたいと決めつけない自他の可能性を奪わないため,non-Englsih,In order not to take the possibility of self and others who do not decide
120,124,chocot.art,他人をコケにしない。醜くなる自分が未来を苦しめるから,他人をコケにしない醜くなる自分が未来を苦しめるから,non-Englsih,"Don't moss the moss of others, because you become ugly and afflict the future"
121,125,mastodon.afromunkee.live,Sexually explicit or violent media must be marked as sensitive when posting.,sexually explicit or violent media must be marked as sensitive when posting,English,sexually explicit or violent media must be marked as sensitive when posting
122,126,mastodon.afromunkee.live,No spam or advertising.,no spam or advertising,non-Englsih,no spam or advertising
123,127,mastodon.afromunkee.live,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism.",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih,no racism sexism homophobia transphobia xenophobia or casteism
124,128,mastodon.afromunkee.live,No incitement of violence or promotion of violent ideologies.,no incitement of violence or promotion of violent ideologies,English,no incitement of violence or promotion of violent ideologies
125,129,mastodon.afromunkee.live,"No harassment, dogpiling or doxxing of other users.",no harassment dogpiling or doxxing of other users,English,no harassment dogpiling or doxxing of other users
126,130,mastodon.afromunkee.live,No illegal content.,no illegal content,non-Englsih,no illegal content
127,131,m.campfi.rs,Don't be rude to anyone here,dont be rude to anyone here,English,dont be rude to anyone here
128,132,social.transpeak.lgbt,"No homophobia, racism, ableism, transphobia, etc.
(i.e. don’t discriminate against minorities and treat people like humans)",no homophobia racism ableism transphobia etc ie dont discriminate against minorities and treat people like humans,English,no homophobia racism ableism transphobia etc ie dont discriminate against minorities and treat people like humans
129,133,social.transpeak.lgbt,Be excellent to each other.,be excellent to each other,English,be excellent to each other
130,134,social.transpeak.lgbt,Harassment of other users is prohibited.,harassment of other users is prohibited,English,harassment of other users is prohibited
131,135,social.transpeak.lgbt,Do not post content that endangers or exploits children or vulnerable adults.,do not post content that endangers or exploits children or vulnerable adults,English,do not post content that endangers or exploits children or vulnerable adults
132,136,social.transpeak.lgbt,Do not post content that glorifies abusing children or vulnerable adults.,do not post content that glorifies abusing children or vulnerable adults,English,do not post content that glorifies abusing children or vulnerable adults
133,137,social.transpeak.lgbt,"All posts containing commonly triggering content (such as suicide, self-harm, sexual assault, CSA, etc.) should have an appropriate content warning. If you do not know how to use content warnings, please see the Mastodon documentation.",all posts containing commonly triggering content such as suicide selfharm sexual assault csa etc should have an appropriate content warning if you do not know how to use content warnings please see the mastodon documentation,English,all posts containing commonly triggering content such as suicide selfharm sexual assault csa etc should have an appropriate content warning if you do not know how to use content warnings please see the mastodon documentation
134,138,social.transpeak.lgbt,Please hide all NSFW content behind a CW.,please hide all nsfw content behind a cw,English,please hide all nsfw content behind a cw
135,139,yulran.masto.host,"This is a single-person instance so I'm not motivated enough to try to make an exhaustive list, but the majority of my interactions are with weirder.earth and scholar.social so you can expect that I'm following about the same standards as people there.",this is a singleperson instance so im not motivated enough to try to make an exhaustive list but the majority of my interactions are with weirderearth and scholarsocial so you can expect that im following about the same standards as people there,English,this is a singleperson instance so im not motivated enough to try to make an exhaustive list but the majority of my interactions are with weirderearth and scholarsocial so you can expect that im following about the same standards as people there
136,140,coach.masto.host,Sexually explicit or violent media must be marked as sensitive when posting.,sexually explicit or violent media must be marked as sensitive when posting,English,sexually explicit or violent media must be marked as sensitive when posting
137,141,coach.masto.host,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism.",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih,no racism sexism homophobia transphobia xenophobia or casteism
138,142,coach.masto.host,No incitement of violence or promotion of violent ideologies.,no incitement of violence or promotion of violent ideologies,English,no incitement of violence or promotion of violent ideologies
139,143,coach.masto.host,"No harassment, dogpiling or doxxing of other users.",no harassment dogpiling or doxxing of other users,English,no harassment dogpiling or doxxing of other users
140,144,coach.masto.host,No content illegal in USA,no content illegal in usa,non-Englsih,no content illegal in usa
141,145,coach.masto.host,Do not share false or misleading information that may lead to physical harm.,do not share false or misleading information that may lead to physical harm,English,do not share false or misleading information that may lead to physical harm
142,146,coach.masto.host,No spamming or aggressive promotion. If you want to promote something do it responsibly with supporting facts and never only links.,no spamming or aggressive promotion if you want to promote something do it responsibly with supporting facts and never only links,English,no spamming or aggressive promotion if you want to promote something do it responsibly with supporting facts and never only links
143,147,coach.masto.host,Bots must be marked as Bot in their profile,bots must be marked as bot in their profile,English,bots must be marked as bot in their profile
144,148,coach.masto.host,Agree to the Code of Conduct and Terms of Services,agree to the code of conduct and terms of services,English,agree to the code of conduct and terms of services
145,149,diddlyfx.space,no sex or p0rn - use content warnings wisely ,no sex or p0rn use content warnings wisely,English,no sex or p0rn use content warnings wisely
146,150,diddlyfx.space,no spam or advertising,no spam or advertising,non-Englsih,no spam or advertising
147,151,diddlyfx.space,"no racism, sexism, homophobia, transphobia",no racism sexism homophobia transphobia,non-Englsih,no racism sexism homophobia transphobia
148,152,diddlyfx.space,no illegal content,no illegal content,non-Englsih,no illegal content
149,153,diddlyfx.space,no incitement or promotion of violence or harm,no incitement or promotion of violence or harm,English,no incitement or promotion of violence or harm
150,154,diddlyfx.space,no harassment or doxing,no harassment or doxing,non-Englsih,no harassment or doxing
151,155,diddlyfx.space,"no fake news, disinformation",no fake news disinformation,English,no fake news disinformation
152,156,diddlyfx.space,"No theft of user’s IP (content, connections, profile) for monetorisation or advertising. ",no theft of users ip content connections profile for monetorisation or advertising,English,no theft of users ip content connections profile for monetorisation or advertising
153,157,diddlyfx.space,No profiling for advertising,no profiling for advertising,non-Englsih,no profiling for advertising
154,158,diddlyfx.space,No use of user data for training of AI / LLM / Algorithms,no use of user data for training of ai llm algorithms,English,no use of user data for training of ai llm algorithms
155,159,don.rag.pub,"It's one rule for me, and well, that's it.",its one rule for me and well thats it,English,its one rule for me and well thats it
156,160,acc4e.com,"Engage in respectful constructive conversations.
We are all allowed and welcome to disagree.
What is not acceptable is intolerance, harassment, hate, disrespect and illegal content.",engage in respectful constructive conversations we are all allowed and welcome to disagree what is not acceptable is intolerance harassment hate disrespect and illegal content,English,engage in respectful constructive conversations we are all allowed and welcome to disagree what is not acceptable is intolerance harassment hate disrespect and illegal content
157,161,wellduck.me,"Be kind. (Rewind?)

Be nice to people, and when you can't be nice, be firm but polite. Then move on. Block/mute if you gotta. 
Past that, use best judgement and/or pester your friendly neighborhood admin.",be kind rewind be nice to people and when you cant be nice be firm but polite then move on blockmute if you gotta past that use best judgement andor pester your friendly neighborhood admin,English,be kind rewind be nice to people and when you cant be nice be firm but polite then move on blockmute if you gotta past that use best judgement andor pester your friendly neighborhood admin
158,162,wellduck.me,"Not Up For Debate

Insofar as politics may come up, they should be CW'd appropriate and such posts are not to be taken as invitations to start a ""debate."" Period.",not up for debate insofar as politics may come up they should be cwd appropriate and such posts are not to be taken as invitations to start a debate period,English,not up for debate insofar as politics may come up they should be cwd appropriate and such posts are not to be taken as invitations to start a debate period
159,163,3rdwall.net,Don't be a jerk.,dont be a jerk,non-Englsih,dont be a jerk
160,164,3rdwall.net,No hacking.,no hacking,non-Englsih,no hacking
161,165,3rdwall.net,No violence.,no violence,non-Englsih,no violence
162,166,3rdwall.net,No fascism.,no fascism,non-Englsih,no fascism
163,167,3rdwall.net,No colonialism.,no colonialism,non-Englsih,no colonialism
164,168,3rdwall.net,"No white supremacy.
",no white supremacy,English,no white supremacy
165,169,3rdwall.net,No religious extremism.,no religious extremism,non-Englsih,no religious extremism
166,170,3rdwall.net,No nationalism.,no nationalism,non-Englsih,no nationalism
167,171,3rdwall.net,No racism.,no racism,non-Englsih,no racism
168,172,3rdwall.net,No homophobia.,no homophobia,non-Englsih,no homophobia
169,173,3rdwall.net,No transphobia.,no transphobia,non-Englsih,no transphobia
170,174,3rdwall.net,Safe Space: LGTBQIA+,safe space lgtbqia,non-Englsih,safe space lgtbqia
171,175,3rdwall.net,"Safe Space: neurodivergent (ADHD, Autism, etc.)",safe space neurodivergent adhd autism etc,non-Englsih,safe space neurodivergent adhd autism etc
172,176,3rdwall.net,No speaking over the lived experiences of others.,no speaking over the lived experiences of others,English,no speaking over the lived experiences of others
173,177,social.nerdyfam.tech,Please follow Wheaton's Law,please follow wheatons law,English,please follow wheatons law
174,178,social.nerdyfam.tech,"There's supposedly a line between dark humor and being offensive, but we've yet to find it. Though many of us personally are not offended by dark humor, please do not publicly post bigotry here. This is meant to be a safe place. If you are blatantly offensive, you will be banned. ",theres supposedly a line between dark humor and being offensive but weve yet to find it though many of us personally are not offended by dark humor please do not publicly post bigotry here this is meant to be a safe place if you are blatantly offensive you will be banned,English,theres supposedly a line between dark humor and being offensive but weve yet to find it though many of us personally are not offended by dark humor please do not publicly post bigotry here this is meant to be a safe place if you are blatantly offensive you will be banned
175,179,teldarpaper.com,Be Kind ❤️,be kind ️,non-Englsih,be kind ️
176,180,mastodon.darkflame.dev,Rule is not a list,rule is not a list,English,rule is not a list
